CNTYVTD,VTDKEY,HegarD_18P_U.S. Rep 31,LesterD_18P_U.S. Rep 31,MannD_18P_U.S. Rep 31,ClarkD_18P_U.S. Rep 31
0270101,189,40,28,24,11
0270102,190,58,49,31,12
0270103,191,27,12,10,2
0270104,192,55,25,26,10
0270105,193,12,5,15,3
0270106,194,95,22,57,19
0270107,195,12,2,10,3
0270108,196,9,4,8,1
0270109,197,62,17,33,8
0270110,198,12,0,3,1
0270111,199,47,16,33,10
0270113,200,45,29,21,10
0270114,201,49,23,38,10
0270115,202,58,34,38,15
0270116,203,35,13,22,8
0270117,204,0,0,0,0
0270118,205,28,14,10,3
0270119,206,22,11,13,5
0270201,207,52,10,29,10
0270202,208,86,23,46,13
0270203,209,42,19,36,7
0270204,210,33,11,19,6
0270205,211,161,30,57,21
0270206,212,51,16,21,15
0270207,213,56,14,40,15
0270208,214,133,46,67,14
0270209,215,93,30,49,17
0270210,216,68,17,31,7
0270211,217,15,5,13,4
0270212,218,21,6,15,5
0270213,219,54,18,39,9
0270214,220,79,30,34,16
0270215,221,111,36,63,20
0270216,222,65,17,30,11
0270301,223,35,13,14,9
0270302,224,83,51,36,20
0270303,225,89,69,53,23
0270304,226,5,1,4,3
0270305,227,37,13,24,9
0270306,228,56,27,27,12
0270307,229,87,23,37,15
0270308,230,65,32,49,15
0270309,231,20,4,9,6
0270310,232,6,2,1,4
0270311,233,30,2,17,2
0270312,234,13,3,3,2
0270313,235,70,32,58,19
0270314,236,54,14,20,13
0270315,237,45,20,21,7
0270317,238,29,8,19,4
0270318,239,54,25,28,11
0270319,240,56,25,37,15
0270401,241,19,2,9,3
0270402,242,28,6,16,7
0270404,243,76,38,44,19
0270405,244,0,0,0,0
0270406,245,53,17,31,18
0270408,246,94,31,33,18
0270409,247,38,16,20,11
0270410,248,31,12,14,12
0270412,249,23,7,9,2
0270414,251,0,0,0,0
0270415,252,79,28,34,21
0270419,253,19,5,10,3
4910116,9460,55,21,52,17
4910116,9461,0,0,0,0
4910117,9462,133,22,120,34
4910118,9463,186,31,144,37
4910119,9464,128,21,148,28
4910122,9465,15,2,16,5
4910123,9466,113,22,82,30
4910135,9467,103,18,86,30
4910136,9468,6,1,4,1
4910138,9469,61,14,46,18
4910139,9470,95,12,74,34
4910143,9471,13,5,12,4
4910144,9472,25,3,15,7
4910145,9473,88,20,61,24
4910146,9474,202,33,131,40
4910147,9475,233,44,166,72
4910149,9476,79,8,55,14
4910150,9477,151,29,100,50
4910151,9478,239,45,179,61
4910155,9479,133,15,79,26
4910162,9480,227,33,168,54
4910163,9481,101,17,70,26
4910164,9482,14,3,11,4
4910166,9483,61,11,49,16
4910173,9484,114,31,91,26
4910174,9485,67,8,59,16
4910175,9486,159,29,107,35
4910180,9487,194,30,111,43
4910181,9488,91,13,51,22
4910182,9489,32,5,31,8
4910184,9490,29,10,26,11
4910186,9491,87,19,71,33
4910189,9492,142,19,126,33
4910191,9493,23,6,19,7
4910192,9494,19,3,14,5
4910198,9495,3,1,3,1
4910201,9496,97,23,95,29
4910202,9497,12,3,14,5
4910203,9498,4,0,4,0
4910204,9499,103,27,94,31
4910205,9500,5,1,4,2
4910206,9501,26,7,18,10
4910207,9502,33,5,46,19
4910208,9503,24,3,15,4
4910209,9504,44,8,49,19
4910210,9505,17,3,21,6
4910216,9506,58,20,47,18
4910229,9507,5,1,5,2
4910230,9508,148,40,156,34
4910231,9509,42,8,40,16
4910243,9510,22,0,15,7
4910244,9511,29,2,22,6
4910245,9512,28,1,38,14
4910251,9513,1,0,1,1
4910252,9514,65,10,57,24
4910253,9515,117,31,91,34
4910254,9516,87,30,80,20
4910255,9517,26,3,24,4
4910256,9518,25,3,16,5
4910257,9519,70,12,47,23
4910258,9520,1,0,1,0
4910259,9521,31,7,25,9
4910261,9522,47,8,50,14
4910262,9523,40,10,38,14
4910263,9524,60,8,43,12
4910264,9525,62,11,59,12
4910266,9526,91,18,79,24
4910267,9527,21,3,17,4
4910276,9528,68,20,43,20
4910277,9529,174,51,117,47
4910278,9530,215,57,147,53
4910279,9531,6,0,2,0
4910283,9532,119,25,89,17
4910284,9533,118,26,128,22
4910287,9534,75,19,82,16
4910301,9535,137,26,122,25
4910302,9536,18,1,16,2
4910303,9537,90,7,69,19
4910305,9538,19,2,15,10
4910306,9539,81,10,74,33
4910307,9540,16,3,12,6
4910308,9541,18,4,14,6
4910309,9542,64,11,54,18
4910310,9543,26,6,19,13
4910311,9544,1,0,0,1
4910312,9545,30,5,21,8
4910314,9546,108,25,111,20
4910317,9547,33,3,36,12
4910318,9548,16,2,12,4
4910319,9549,8,1,5,1
4910320,9550,49,11,42,17
4910321,9551,2,0,0,0
4910322,9552,48,10,48,20
4910323,9553,3,1,3,1
4910331,9554,24,3,18,9
4910332,9555,64,8,51,16
4910333,9556,12,2,17,4
4910338,9557,87,18,62,20
4910340,9558,84,11,72,30
4910341,9559,77,13,70,24
4910342,9560,29,4,52,8
4910343,9561,82,16,82,22
4910344,9562,32,3,21,8
4910345,9563,19,4,20,6
4910346,9564,27,2,20,8
4910360,9565,173,28,166,35
4910367,9566,2,0,4,0
4910368,9567,63,7,80,13
4910369,9568,61,16,66,19
4910370,9569,58,15,57,14
4910371,9570,69,17,51,26
4910372,9571,121,18,125,36
4910379,9572,76,14,53,23
4910380,9573,3,1,3,0
4910381,9574,199,31,133,39
4910390,9575,117,26,91,42
4910390,9576,0,0,0,0
4910391,9577,47,5,29,9
4910392,9578,95,16,56,24
4910393,9579,192,31,121,48
4910394,9580,216,23,124,51
4910395,9581,6,1,6,3
4910396,9582,116,16,63,21
4910397,9583,117,18,63,23
4910398,9584,121,43,114,40
4910399,9585,29,7,26,7
4910401,9586,93,25,70,19
4910402,9587,102,19,76,22
4910403,9588,28,4,27,6
4910409,9589,0,0,5,1
4910410,9590,26,5,45,8
4910411,9591,37,11,41,11
4910412,9592,7,0,7,3
4910413,9593,53,7,30,17
4910415,9594,35,23,17,6
4910418,9595,0,0,0,0
4910419,9596,10,2,9,4
4910420,9597,47,6,42,12
4910421,9598,25,2,23,12
4910422,9599,60,15,62,20
4910424,9600,123,21,79,21
4910425,9601,8,2,3,3
4910426,9602,24,2,19,5
4910427,9603,82,18,39,25
4910428,9604,77,10,34,41
4910429,9605,82,10,40,23
4910432,9606,8,1,10,3
4910433,9607,95,17,125,32
4910434,9608,17,2,16,5
4910436,9609,16,4,8,5
4910437,9610,139,25,126,26
4910456,9611,33,9,22,24
4910468,9612,19,4,34,5
4910470,9613,42,8,36,7
4910471,9614,6,0,3,0
4910472,9615,10,3,11,3
4910473,9616,23,6,18,6
4910482,9617,101,17,83,30
4910484,9618,71,15,70,20
4910485,9619,39,5,46,10
4910486,9620,25,6,30,7
4910487,9621,4,0,2,0
4910488,9622,84,9,62,17
4910489,9623,114,28,86,25
4910490,9624,107,23,84,29
4910491,9625,126,18,85,25
