CNTYVTD,VTDKEY,KimbroughD_18P_U.S. Sen,HernandezD_18P_U.S. Sen,O'RourkeD_18P_U.S. Sen
0010001,1,21,17,17
0010002,2,17,10,20
0010003,3,8,11,14
0010004,4,16,4,16
0010005,5,0,0,1
0010006,6,30,27,29
0010007,7,54,18,27
0010008,8,14,6,10
0010009,9,21,10,19
0010010,10,3,2,6
0010011,11,29,11,9
0010013,12,19,17,26
0010015,13,6,1,15
0010016,14,10,7,7
0010017,15,9,7,15
0010018,16,12,5,21
0010019,17,24,22,16
0010020,18,7,8,15
0010021,19,11,10,16
0010022,20,11,5,17
0010023,21,5,2,10
0010024,22,7,4,4
0030001,23,4,7,9
0030002,24,2,4,6
0030003,25,2,6,11
0030004,26,0,1,0
0050001,27,4,3,11
0050002,28,61,47,62
0050003,29,14,9,21
0050004,30,30,28,22
0050005,31,35,23,56
0050006,32,8,2,8
0050007,33,3,3,11
0050008,34,3,1,8
0050009,35,2,2,6
0050010,36,23,20,31
0050010,37,2,1,3
0050011,38,7,2,13
0050012,39,4,5,8
0050013,40,8,2,31
0050014,41,14,10,54
0050015,42,1,5,10
0050016,43,10,21,35
0050017,44,10,4,15
0050018,45,2,5,18
0050019,46,8,10,46
0050020,47,70,67,118
0050021,48,7,2,16
0050022,49,12,6,24
0050023,50,3,1,6
0050024,51,13,4,31
0050025,52,12,10,22
0050026,53,8,9,17
0050027,54,5,1,2
0050028,55,6,6,23
0050029,56,4,3,21
0050030,57,1,2,4
0050031,58,1,1,4
0050032,59,0,0,0
0050033,60,7,1,10
0050034,61,6,7,43
0050035,62,24,10,34
0050037,63,3,3,14
0050038,64,2,3,3
0050039,65,5,5,12
0050040,66,9,3,31
005011,67,14,7,19
005017,68,2,3,1
0070001,69,7,6,50
0070002,70,11,32,58
0070003,71,15,38,110
0070004,72,13,23,121
007001,73,5,11,24
007004,74,7,10,21
0090001,75,3,1,11
0090002,76,2,2,13
0090003,77,1,0,0
0090004,78,1,2,2
0090005,79,2,0,1
0090006,80,1,4,17
0090007,81,5,2,2
0090008,82,2,2,6
0090009,83,0,1,1
0090010,84,3,2,16
0090011,85,0,0,1
0090012,86,0,1,1
0090013,87,0,1,2
0110101,88,3,0,1
0110201,89,1,0,0
0110202,90,2,0,0
0110301,91,0,1,1
0110303,92,0,0,0
0110401,93,0,0,0
0110402,94,0,0,0
0110404,95,0,0,0
0130001,96,1,10,17
0130003,97,5,21,26
0130004,98,2,14,15
0130005,99,0,28,21
0130006,100,1,5,7
0130007,101,8,21,18
0130008,102,4,14,9
0130009,103,8,41,22
0130010,104,2,13,5
0130011,105,6,37,36
0130012,106,6,54,29
0130013,107,9,43,38
0130014,108,1,5,1
0130015,109,16,60,42
0130017,110,11,76,61
0130018,111,7,37,24
0130019,112,2,6,7
0130020,113,16,29,68
0130021,114,5,12,14
0130022,115,2,11,13
0150101,116,8,9,17
0150102,117,13,9,22
0150103,118,4,8,16
0150104,119,5,4,4
0150205,120,14,5,47
0150206,121,3,7,16
0150207,122,4,2,11
0150208,123,6,1,12
0150309,124,2,1,8
0150310,125,9,15,44
0150311,126,17,7,20
0150412,127,8,16,13
0150413,128,1,5,10
0150414,129,5,6,13
0150415,130,9,14,21
0170001,131,0,2,2
0170002,132,1,3,4
0170003,133,4,4,4
0170004,134,1,10,6
0170004,135,0,1,0
0190101,136,3,5,32
0190102,137,11,9,60
0190203,138,8,12,68
0190204,139,6,18,30
0190305,140,14,14,41
0190306,141,9,5,30
0190407,142,6,11,39
0190408,143,1,3,23
0190409,144,2,4,17
0190410,145,1,1,22
0211001,146,2,4,21
0211002,147,4,7,33
0211003,148,14,32,117
0211004,149,26,44,137
0211005,150,10,22,51
0211006,151,20,37,85
0211007,152,15,28,81
0211008,153,10,19,62
0211009,154,24,29,99
0212010,155,8,8,28
0212011,156,12,26,79
0212012,157,10,13,55
0212013,158,22,46,153
0212014,159,18,39,97
0212015,160,40,35,170
0212016,161,26,18,84
0213017,162,29,31,97
0213018,163,25,15,72
0213019,164,21,22,99
0213020,165,23,40,113
0214021,166,22,47,168
0214022,167,19,41,107
0214023,168,11,18,49
0214024,169,17,30,71
0214025,170,14,33,112
0214026,171,23,48,107
0230001,172,2,4,1
0230002,173,4,2,5
0230003,174,3,2,2
0230004,175,1,1,3
0250001,176,11,35,38
0250002,177,2,1,8
0250003,178,21,21,27
0250004,179,5,24,12
0250005,180,6,3,5
0250006,181,32,71,23
0250009,182,13,40,20
0250010,183,9,34,17
0250013,184,16,20,24
0250016,185,9,11,11
0250017,186,11,28,27
0250018,187,7,17,22
0250019,188,2,18,10
0270101,189,14,20,71
0270102,190,18,26,109
0270103,191,7,8,34
0270104,192,10,21,86
0270105,193,5,11,21
0270106,194,39,74,83
0270107,195,6,9,12
0270108,196,6,8,10
0270109,197,26,40,50
0270110,198,1,5,11
0270111,199,15,31,60
0270113,200,15,21,70
0270114,201,16,42,62
0270115,202,16,24,109
0270116,203,18,31,30
0270117,204,0,0,0
0270118,205,7,9,40
0270119,206,7,16,28
0270201,207,15,38,47
0270202,208,28,55,85
0270203,209,17,20,73
0270204,210,16,24,29
0270205,211,51,108,113
0270206,212,22,46,35
0270207,213,26,62,37
0270208,214,48,124,90
0270209,215,34,80,76
0270210,216,17,60,49
0270211,217,8,16,13
0270212,218,8,20,20
0270213,219,15,22,88
0270214,220,33,62,65
0270215,221,41,91,96
0270216,222,20,39,64
0270301,223,13,14,44
0270302,224,31,49,110
0270303,225,43,52,143
0270304,226,2,8,4
0270305,227,4,20,62
0270306,228,24,40,58
0270307,229,37,59,62
0270308,230,24,42,100
0270309,231,9,14,16
0270310,232,3,3,8
0270311,233,7,13,31
0270312,234,3,6,14
0270313,235,21,35,129
0270314,236,19,13,74
0270315,237,10,20,61
0270317,238,5,13,44
0270318,239,15,24,81
0270319,240,19,27,91
0270401,241,13,24,32
0270402,242,25,53,51
0270404,243,47,77,90
0270405,244,39,66,71
0270406,245,24,51,43
0270408,246,35,73,75
0270409,247,17,42,25
0270410,248,12,26,29
0270412,249,30,66,50
0270413,250,21,49,34
0270414,251,32,67,66
0270415,252,34,62,67
0270419,253,7,12,18
0291001,254,1,15,71
0291002,255,7,23,17
0291003,256,4,38,166
0291004,257,4,36,50
0291005,258,6,20,33
0291006,259,8,82,88
0291007,260,2,70,55
0291008,261,7,44,279
0291009,262,4,19,43
0291010,263,3,28,62
0291011,264,6,46,41
0291012,265,23,82,77
0291013,266,12,93,103
0291014,267,8,43,30
0291015,268,3,42,31
0291016,269,3,34,40
0291017,270,2,8,8
0291018,271,5,33,33
0291019,272,4,25,50
0291020,273,7,63,74
0291021,274,9,47,83
0291022,275,6,33,22
0291023,276,8,74,56
0291024,277,24,89,116
0291025,278,2,13,15
0291026,279,4,43,47
0291027,280,1,1,1
0291028,281,2,21,25
0291029,282,7,79,80
0291030,283,0,3,0
0291031,284,10,49,49
0291032,285,8,89,54
0291033,286,11,44,37
0291034,287,10,47,85
0291035,288,2,1,4
0291036,289,24,69,117
0291037,290,10,73,81
0291038,291,18,74,113
0291039,292,8,43,32
0291040,293,8,92,70
0291041,294,8,65,57
0291042,295,3,42,35
0291043,296,6,46,44
0291044,297,11,95,85
0291045,298,11,120,114
0291046,299,10,100,103
0291047,300,5,71,63
0291048,301,12,99,83
0291049,302,20,98,101
0291050,303,4,28,28
0291051,304,11,80,79
0291052,305,11,57,70
0291053,306,0,4,14
