CNTYVTD,VTDKEY,AllredD_18P_U.S. Rep 32,MaternowskiD_18P_U.S. Rep 32,ShippD_18P_U.S. Rep 32,MarshallD_18P_U.S. Rep 32,SalernoD_18P_U.S. Rep 32,RodriguezD_18P_U.S. Rep 32,MeierD_18P_U.S. Rep 32
850027,1660,40,4,34,3,35,14,13
850056,1689,41,2,23,7,25,14,17
850083,1716,57,4,30,6,24,8,17
850133,1766,37,3,22,4,9,19,13
850148,1781,8,0,4,1,4,2,2
850153,1786,105,2,43,11,44,12,26
850159,1792,82,3,45,16,34,19,16
850170,1803,27,1,16,6,21,10,7
850174,1807,49,3,41,12,38,23,18
850196,1829,22,0,12,4,16,14,11
850217,1850,34,1,20,4,10,9,9
850232,1865,32,2,20,5,21,12,16
850233,1866,23,2,12,4,10,6,8
850237,1870,31,2,16,5,10,6,5
1131004,2031,61,5,28,9,43,6,21
1131006,2032,121,4,26,3,31,6,18
1131007,2033,7,0,7,1,6,1,7
1131040,2035,78,5,43,13,40,28,27
1131041,2036,6,0,4,7,2,6,1
1131043,2037,106,2,45,2,30,16,35
1131050,2044,11,1,4,0,3,1,4
1131129,2105,1,0,3,1,2,2,1
1131139,2111,0,0,0,0,0,0,0
1131141,2113,32,0,32,4,15,5,14
1131147,2118,22,0,19,1,11,2,12
1131162,2123,0,0,0,0,0,0,0
1131164,2125,85,8,48,6,66,12,68
1131165,2126,169,5,38,0,47,3,62
1131168,2127,186,10,89,6,88,18,65
1131171,2130,131,7,80,4,79,21,65
1131172,2131,96,6,71,11,50,9,30
1131324,2152,59,3,55,13,35,20,24
1131325,2153,52,5,32,16,35,23,25
1131700,2170,34,1,22,7,23,13,9
1131701,2171,27,5,30,9,32,17,7
1131702,2172,56,8,48,8,26,18,19
1131703,2173,42,7,50,11,19,16,23
1131704,2174,31,5,17,3,21,12,8
1131705,2175,33,6,27,5,27,17,15
1131706,2176,37,7,24,8,30,27,12
1131708,2178,18,3,10,2,13,6,5
1131709,2179,100,8,27,23,68,54,34
1131710,2180,49,4,24,8,24,18,14
1131711,2181,20,3,18,2,20,14,12
1131712,2182,45,3,27,4,24,6,19
1131713,2183,35,4,17,8,24,18,12
1131714,2184,15,1,17,3,9,6,5
1131715,2185,16,2,13,5,12,20,8
1131716,2186,46,5,47,5,26,18,36
1131717,2187,66,5,50,15,46,39,30
1131718,2188,25,6,21,7,21,15,9
1131721,2191,58,5,33,6,32,19,22
1131722,2192,60,2,33,21,47,20,20
1131723,2193,4,0,0,3,2,2,3
1131724,2194,3,0,2,0,1,0,2
1131725,2195,10,0,12,1,7,3,8
1131726,2196,33,1,26,3,16,19,10
1131727,2197,1,0,1,1,7,6,0
1131729,2199,34,3,16,2,18,11,4
1131732,2202,21,4,13,9,13,6,2
1131733,2203,66,5,45,9,47,18,20
1131734,2204,26,3,22,7,7,9,13
1131735,2205,124,11,66,17,55,35,38
1131736,2206,50,1,30,3,25,5,15
1131737,2207,128,8,62,17,60,27,39
1131738,2208,22,3,21,3,20,10,16
1131739,2209,90,8,49,18,42,26,32
1131740,2210,93,9,39,29,68,37,38
1131741,2211,122,11,68,28,65,40,46
1131742,2212,99,13,62,24,67,33,40
1131743,2213,126,9,66,27,62,54,42
1131745,2215,62,7,33,9,25,33,19
1131746,2216,46,2,27,11,21,16,23
1131747,2217,84,10,31,12,33,27,24
1131748,2218,39,5,32,8,32,16,28
1131749,2219,82,6,41,17,67,28,22
1131750,2220,83,4,31,8,34,15,20
1131751,2221,130,11,53,8,59,31,26
1131752,2222,109,9,39,14,59,34,27
1132007,2230,177,5,49,2,41,8,47
1132008,2231,97,6,27,0,18,3,37
1132011,2234,89,1,39,4,38,9,38
1132016,2236,174,7,60,6,67,11,53
1132017,2237,44,2,16,2,31,14,12
1132018,2238,41,0,20,2,16,0,20
1132019,2239,89,2,26,3,34,8,41
1132020,2240,204,5,78,3,67,13,54
1132021,2241,164,4,61,4,52,8,81
1132022,2242,49,0,13,1,8,6,24
1132023,2243,69,2,50,3,35,6,27
1132024,2244,86,3,35,1,21,7,18
1132025,2245,126,2,49,1,49,7,66
1132026,2246,103,3,41,2,40,10,55
1132027,2247,59,1,20,3,21,4,35
1132030,2249,51,2,19,2,15,4,26
1132031,2250,117,13,47,10,75,17,42
