CNTYVTD,VTDKEY,HegarD_18P_U.S. Rep 31,LesterD_18P_U.S. Rep 31,MannD_18P_U.S. Rep 31,ClarkD_18P_U.S. Rep 31,HegarD_18P_U.S. Rep 31_Percentage,LesterD_18P_U.S. Rep 31_Percentage,MannD_18P_U.S. Rep 31_Percentage,ClarkD_18P_U.S. Rep 31_Percentage
270101,189,40,28,24,11,0.3883495145631068,0.27184466019417475,0.23300970873786409,0.10679611650485436
270102,190,58,49,31,12,0.38666666666666666,0.32666666666666666,0.20666666666666667,0.08
270103,191,27,12,10,2,0.5294117647058824,0.23529411764705882,0.19607843137254902,0.0392156862745098
270104,192,55,25,26,10,0.47413793103448276,0.21551724137931033,0.22413793103448276,0.08620689655172414
270105,193,12,5,15,3,0.34285714285714286,0.14285714285714285,0.42857142857142855,0.08571428571428572
270106,194,95,22,57,19,0.49222797927461137,0.11398963730569948,0.29533678756476683,0.09844559585492228
270107,195,12,2,10,3,0.4444444444444444,0.07407407407407407,0.37037037037037035,0.1111111111111111
270108,196,9,4,8,1,0.4090909090909091,0.18181818181818182,0.36363636363636365,0.045454545454545456
270109,197,62,17,33,8,0.5166666666666667,0.14166666666666666,0.275,0.06666666666666667
270110,198,12,0,3,1,0.75,0.0,0.1875,0.0625
270111,199,47,16,33,10,0.44339622641509435,0.1509433962264151,0.3113207547169811,0.09433962264150944
270113,200,45,29,21,10,0.42857142857142855,0.2761904761904762,0.2,0.09523809523809523
270114,201,49,23,38,10,0.4083333333333333,0.19166666666666668,0.31666666666666665,0.08333333333333333
270115,202,58,34,38,15,0.4,0.23448275862068965,0.2620689655172414,0.10344827586206896
270116,203,35,13,22,8,0.44871794871794873,0.16666666666666666,0.28205128205128205,0.10256410256410256
270117,204,0,0,0,0,0.0,0.0,0.0,0.0
270118,205,28,14,10,3,0.509090909090909,0.2545454545454545,0.18181818181818182,0.05454545454545454
270119,206,22,11,13,5,0.43137254901960786,0.21568627450980393,0.2549019607843137,0.09803921568627451
270201,207,52,10,29,10,0.5148514851485149,0.09900990099009901,0.2871287128712871,0.09900990099009901
270202,208,86,23,46,13,0.5119047619047619,0.13690476190476192,0.27380952380952384,0.07738095238095238
270203,209,42,19,36,7,0.40384615384615385,0.18269230769230768,0.34615384615384615,0.0673076923076923
270204,210,33,11,19,6,0.4782608695652174,0.15942028985507245,0.2753623188405797,0.08695652173913043
270205,211,161,30,57,21,0.5985130111524164,0.11152416356877323,0.21189591078066913,0.07806691449814127
270206,212,51,16,21,15,0.49514563106796117,0.1553398058252427,0.20388349514563106,0.14563106796116504
270207,213,56,14,40,15,0.448,0.112,0.32,0.12
270208,214,133,46,67,14,0.5115384615384615,0.17692307692307693,0.25769230769230766,0.05384615384615385
270209,215,93,30,49,17,0.49206349206349204,0.15873015873015872,0.25925925925925924,0.08994708994708994
270210,216,68,17,31,7,0.5528455284552846,0.13821138211382114,0.25203252032520324,0.056910569105691054
270211,217,15,5,13,4,0.40540540540540543,0.13513513513513514,0.35135135135135137,0.10810810810810811
270212,218,21,6,15,5,0.44680851063829785,0.1276595744680851,0.3191489361702128,0.10638297872340426
270213,219,54,18,39,9,0.45,0.15,0.325,0.075
270214,220,79,30,34,16,0.4968553459119497,0.18867924528301888,0.2138364779874214,0.10062893081761007
270215,221,111,36,63,20,0.4826086956521739,0.1565217391304348,0.27391304347826084,0.08695652173913043
270216,222,65,17,30,11,0.5284552845528455,0.13821138211382114,0.24390243902439024,0.08943089430894309
270301,223,35,13,14,9,0.49295774647887325,0.18309859154929578,0.19718309859154928,0.1267605633802817
270302,224,83,51,36,20,0.4368421052631579,0.26842105263157895,0.18947368421052632,0.10526315789473684
270303,225,89,69,53,23,0.3803418803418803,0.2948717948717949,0.2264957264957265,0.09829059829059829
270304,226,5,1,4,3,0.38461538461538464,0.07692307692307693,0.3076923076923077,0.23076923076923078
270305,227,37,13,24,9,0.4457831325301205,0.1566265060240964,0.2891566265060241,0.10843373493975904
270306,228,56,27,27,12,0.45901639344262296,0.22131147540983606,0.22131147540983606,0.09836065573770492
270307,229,87,23,37,15,0.5370370370370371,0.1419753086419753,0.22839506172839505,0.09259259259259259
270308,230,65,32,49,15,0.40372670807453415,0.19875776397515527,0.30434782608695654,0.09316770186335403
270309,231,20,4,9,6,0.5128205128205128,0.10256410256410256,0.23076923076923078,0.15384615384615385
270310,232,6,2,1,4,0.46153846153846156,0.15384615384615385,0.07692307692307693,0.3076923076923077
270311,233,30,2,17,2,0.5882352941176471,0.0392156862745098,0.3333333333333333,0.0392156862745098
270312,234,13,3,3,2,0.6190476190476191,0.14285714285714285,0.14285714285714285,0.09523809523809523
270313,235,70,32,58,19,0.39106145251396646,0.1787709497206704,0.3240223463687151,0.10614525139664804
270314,236,54,14,20,13,0.5346534653465347,0.13861386138613863,0.19801980198019803,0.12871287128712872
270315,237,45,20,21,7,0.4838709677419355,0.21505376344086022,0.22580645161290322,0.07526881720430108
270317,238,29,8,19,4,0.48333333333333334,0.13333333333333333,0.31666666666666665,0.06666666666666667
270318,239,54,25,28,11,0.4576271186440678,0.211864406779661,0.23728813559322035,0.09322033898305085
270319,240,56,25,37,15,0.42105263157894735,0.18796992481203006,0.2781954887218045,0.11278195488721804
270401,241,19,2,9,3,0.5757575757575758,0.06060606060606061,0.2727272727272727,0.09090909090909091
270402,242,28,6,16,7,0.49122807017543857,0.10526315789473684,0.2807017543859649,0.12280701754385964
270404,243,76,38,44,19,0.4293785310734463,0.21468926553672316,0.24858757062146894,0.10734463276836158
270405,244,0,0,0,0,0.0,0.0,0.0,0.0
270406,245,53,17,31,18,0.44537815126050423,0.14285714285714285,0.2605042016806723,0.15126050420168066
270408,246,94,31,33,18,0.5340909090909091,0.17613636363636365,0.1875,0.10227272727272728
