CNTYVTD,VTDKEY,AllredD_18P_U.S. Rep 32,MaternowskiD_18P_U.S. Rep 32,ShippD_18P_U.S. Rep 32,MarshallD_18P_U.S. Rep 32,SalernoD_18P_U.S. Rep 32,RodriguezD_18P_U.S. Rep 32,MeierD_18P_U.S. Rep 32,AllredD_18P_U.S. Rep 32_Percentage,MaternowskiD_18P_U.S. Rep 32_Percentage,ShippD_18P_U.S. Rep 32_Percentage,MarshallD_18P_U.S. Rep 32_Percentage,SalernoD_18P_U.S. Rep 32_Percentage,RodriguezD_18P_U.S. Rep 32_Percentage,MeierD_18P_U.S. Rep 32_Percentage
850027,1660,40,4,34,3,35,14,13,0.27972027972027974,0.027972027972027972,0.23776223776223776,0.02097902097902098,0.24475524475524477,0.0979020979020979,0.09090909090909091
850056,1689,41,2,23,7,25,14,17,0.3178294573643411,0.015503875968992248,0.17829457364341086,0.05426356589147287,0.1937984496124031,0.10852713178294573,0.13178294573643412
850083,1716,57,4,30,6,24,8,17,0.3904109589041096,0.0273972602739726,0.2054794520547945,0.0410958904109589,0.1643835616438356,0.0547945205479452,0.11643835616438356
850133,1766,37,3,22,4,9,19,13,0.34579439252336447,0.028037383177570093,0.205607476635514,0.037383177570093455,0.08411214953271028,0.17757009345794392,0.12149532710280374
850148,1781,8,0,4,1,4,2,2,0.38095238095238093,0.0,0.19047619047619047,0.047619047619047616,0.19047619047619047,0.09523809523809523,0.09523809523809523
850153,1786,105,2,43,11,44,12,26,0.43209876543209874,0.00823045267489712,0.17695473251028807,0.04526748971193416,0.18106995884773663,0.04938271604938271,0.10699588477366255
850159,1792,82,3,45,16,34,19,16,0.3813953488372093,0.013953488372093023,0.20930232558139536,0.07441860465116279,0.15813953488372093,0.08837209302325581,0.07441860465116279
850170,1803,27,1,16,6,21,10,7,0.3068181818181818,0.011363636363636364,0.18181818181818182,0.06818181818181818,0.23863636363636365,0.11363636363636363,0.07954545454545454
850174,1807,49,3,41,12,38,23,18,0.266304347826087,0.016304347826086956,0.22282608695652173,0.06521739130434782,0.20652173913043478,0.125,0.09782608695652174
850196,1829,22,0,12,4,16,14,11,0.27848101265822783,0.0,0.1518987341772152,0.05063291139240506,0.20253164556962025,0.17721518987341772,0.13924050632911392
850217,1850,34,1,20,4,10,9,9,0.39080459770114945,0.011494252873563218,0.22988505747126436,0.04597701149425287,0.11494252873563218,0.10344827586206896,0.10344827586206896
850232,1865,32,2,20,5,21,12,16,0.2962962962962963,0.018518518518518517,0.18518518518518517,0.046296296296296294,0.19444444444444445,0.1111111111111111,0.14814814814814814
850233,1866,23,2,12,4,10,6,8,0.35384615384615387,0.03076923076923077,0.18461538461538463,0.06153846153846154,0.15384615384615385,0.09230769230769231,0.12307692307692308
850237,1870,31,2,16,5,10,6,5,0.41333333333333333,0.02666666666666667,0.21333333333333335,0.06666666666666667,0.13333333333333333,0.08,0.06666666666666667
1131004,2031,61,5,28,9,43,6,21,0.35260115606936415,0.028901734104046242,0.16184971098265896,0.05202312138728324,0.24855491329479767,0.03468208092485549,0.12138728323699421
1131006,2032,121,4,26,3,31,6,18,0.5789473684210527,0.019138755980861243,0.12440191387559808,0.014354066985645933,0.14832535885167464,0.028708133971291867,0.0861244019138756
1131007,2033,7,0,7,1,6,1,7,0.2413793103448276,0.0,0.2413793103448276,0.034482758620689655,0.20689655172413793,0.034482758620689655,0.2413793103448276
1131040,2035,78,5,43,13,40,28,27,0.3333333333333333,0.021367521367521368,0.18376068376068377,0.05555555555555555,0.17094017094017094,0.11965811965811966,0.11538461538461539
1131041,2036,6,0,4,7,2,6,1,0.23076923076923078,0.0,0.15384615384615385,0.2692307692307692,0.07692307692307693,0.23076923076923078,0.038461538461538464
1131043,2037,106,2,45,2,30,16,35,0.4491525423728814,0.00847457627118644,0.1906779661016949,0.00847457627118644,0.1271186440677966,0.06779661016949153,0.1483050847457627
1131050,2044,11,1,4,0,3,1,4,0.4583333333333333,0.041666666666666664,0.16666666666666666,0.0,0.125,0.041666666666666664,0.16666666666666666
1131129,2105,1,0,3,1,2,2,1,0.1,0.0,0.3,0.1,0.2,0.2,0.1
1131139,2111,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1131141,2113,32,0,32,4,15,5,14,0.3137254901960784,0.0,0.3137254901960784,0.0392156862745098,0.14705882352941177,0.049019607843137254,0.13725490196078433
1131147,2118,22,0,19,1,11,2,12,0.3283582089552239,0.0,0.2835820895522388,0.014925373134328358,0.16417910447761194,0.029850746268656716,0.1791044776119403
1131162,2123,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1131164,2125,85,8,48,6,66,12,68,0.2901023890784983,0.027303754266211604,0.16382252559726962,0.020477815699658702,0.22525597269624573,0.040955631399317405,0.23208191126279865
1131165,2126,169,5,38,0,47,3,62,0.5216049382716049,0.015432098765432098,0.11728395061728394,0.0,0.14506172839506173,0.009259259259259259,0.19135802469135801
1131168,2127,186,10,89,6,88,18,65,0.4025974025974026,0.021645021645021644,0.19264069264069264,0.012987012987012988,0.19047619047619047,0.03896103896103896,0.1406926406926407
1131171,2130,131,7,80,4,79,21,65,0.3385012919896641,0.01808785529715762,0.20671834625322996,0.0103359173126615,0.2041343669250646,0.05426356589147287,0.16795865633074936
1131172,2131,96,6,71,11,50,9,30,0.3516483516483517,0.02197802197802198,0.2600732600732601,0.040293040293040296,0.18315018315018314,0.03296703296703297,0.10989010989010989
1131324,2152,59,3,55,13,35,20,24,0.2822966507177033,0.014354066985645933,0.2631578947368421,0.06220095693779904,0.1674641148325359,0.09569377990430622,0.11483253588516747
1131325,2153,52,5,32,16,35,23,25,0.2765957446808511,0.026595744680851064,0.1702127659574468,0.0851063829787234,0.18617021276595744,0.12234042553191489,0.13297872340425532
1131700,2170,34,1,22,7,23,13,9,0.3119266055045872,0.009174311926605505,0.2018348623853211,0.06422018348623854,0.21100917431192662,0.11926605504587157,0.08256880733944955
1131701,2171,27,5,30,9,32,17,7,0.2125984251968504,0.03937007874015748,0.23622047244094488,0.07086614173228346,0.25196850393700787,0.13385826771653545,0.05511811023622047
