CNTYVTD,VTDKEY,SessionsR_18G_U.S. Rep 32,AllredD_18G_U.S. Rep 32,BakerL_18G_U.S. Rep 32
850027,1660,784,663,34
850056,1689,1023,687,39
850083,1716,1315,697,52
850133,1766,646,621,31
850148,1781,119,101,5
850153,1786,1424,1233,57
850159,1792,888,1017,45
850170,1803,631,375,32
850174,1807,1190,980,58
850196,1829,571,420,31
850217,1850,653,385,28
850232,1865,905,613,29
850233,1866,480,255,18
850237,1870,384,444,13
1131004,2031,524,566,9
1131006,2032,702,572,18
1131007,2033,207,101,7
1131040,2035,412,999,29
1131041,2036,30,273,5
1131043,2037,765,724,24
1131050,2044,46,66,1
1131129,2105,3,49,2
1131139,2111,3,2,0
1131141,2113,466,405,14
1131147,2118,303,240,9
1131162,2123,0,0,0
1131164,2125,871,830,34
1131165,2126,735,755,23
1131168,2127,971,1143,41
1131171,2130,570,1034,33
1131172,2131,584,763,25
1131324,2152,752,814,31
1131325,2153,774,773,35
1131700,2170,347,638,28
1131701,2171,395,549,29
1131702,2172,529,856,38
1131703,2173,430,882,40
1131704,2174,246,451,21
1131705,2175,382,643,24
1131706,2176,420,888,29
1131708,2178,119,187,9
1131709,2179,342,1317,37
1131710,2180,67,593,10
1131711,2181,306,670,26
1131712,2182,574,568,21
1131713,2183,301,249,22
1131714,2184,433,548,27
1131715,2185,177,512,24
1131716,2186,813,556,36
1131717,2187,633,1052,47
1131718,2188,455,405,17
1131721,2191,612,644,40
1131722,2192,453,953,42
1131723,2193,23,59,4
1131724,2194,10,42,0
1131725,2195,201,124,9
1131726,2196,441,555,22
1131727,2197,38,74,7
1131729,2199,221,499,16
1131732,2202,240,366,18
1131733,2203,754,1009,51
1131734,2204,428,345,18
1131735,2205,1290,1306,53
1131736,2206,780,425,21
1131737,2207,2031,1237,47
1131738,2208,553,764,29
1131739,2209,673,930,37
1131740,2210,816,1364,49
1131741,2211,1077,1468,59
1131742,2212,805,1410,52
1131743,2213,914,1296,56
1131745,2215,604,765,38
1131746,2216,302,551,21
1131747,2217,627,781,16
1131748,2218,370,723,22
1131749,2219,610,1134,41
1131750,2220,791,789,26
1131751,2221,1269,1290,38
1131752,2222,761,1125,50
1132007,2230,1282,914,20
1132008,2231,664,470,9
1132011,2234,817,659,14
1132016,2236,1363,927,23
1132017,2237,281,602,23
1132018,2238,367,271,8
1132019,2239,695,587,13
1132020,2240,765,1036,22
1132021,2241,1669,1009,26
1132022,2242,283,253,4
1132023,2243,435,458,15
1132024,2244,497,547,18
1132025,2245,1158,734,21
1132026,2246,1430,747,19
1132027,2247,773,423,13
1132030,2249,1043,367,16
1132031,2250,778,1407,51
1132032,2251,369,736,39
1132033,2252,565,756,30
1132035,2253,378,607,28
1132037,2254,308,355,7
1132038,2255,877,1363,48
1132039,2256,731,1198,32
1132040,2257,578,659,22
1132042,2259,954,1198,23
1132043,2260,707,865,18
1132044,2261,340,356,13
1132045,2262,576,771,16
1132046,2263,741,592,15
1132047,2264,836,812,39
1132049,2266,503,598,21
1132050,2267,532,570,28
1132051,2268,920,828,30
1132052,2269,657,372,12
1132056,2273,553,393,11
1132057,2274,214,159,7
1132058,2275,345,411,12
1132077,2278,454,438,9
1132080,2280,35,83,5
1132082,2282,267,1169,43
1132083,2283,288,676,20
1132085,2285,47,121,4
1132086,2286,496,1327,38
