CNTYVTD,VTDKEY,CarterR_18G_U.S. Rep 31,HegarD_18G_U.S. Rep 31,HopeL_18G_U.S. Rep 31,CarterR_18G_U.S. Rep 31_Percentage,HegarD_18G_U.S. Rep 31_Percentage,HopeL_18G_U.S. Rep 31_Percentage
270101,189,1172,448,27,0.7115968427443837,0.27200971463266543,0.01639344262295082
270102,190,1572,624,34,0.704932735426009,0.27982062780269057,0.015246636771300448
270103,191,562,283,9,0.65807962529274,0.33138173302107726,0.01053864168618267
270104,192,1423,488,25,0.7350206611570248,0.25206611570247933,0.012913223140495868
270105,193,716,146,6,0.8248847926267281,0.16820276497695852,0.0069124423963133645
270106,194,487,1004,23,0.32166446499339496,0.6631439894319683,0.015191545574636724
270107,195,185,87,3,0.6727272727272727,0.31636363636363635,0.01090909090909091
270108,196,744,174,12,0.8,0.1870967741935484,0.012903225806451613
270109,197,375,578,21,0.38501026694045176,0.5934291581108829,0.021560574948665298
270110,198,175,171,6,0.4971590909090909,0.48579545454545453,0.017045454545454544
270111,199,814,529,17,0.5985294117647059,0.3889705882352941,0.0125
270113,200,1152,521,21,0.680047225501771,0.307556080283353,0.012396694214876033
270114,201,815,538,24,0.5918663761801016,0.39070442992011617,0.017429193899782137
270115,202,1747,614,35,0.7291318864774624,0.25626043405676124,0.014607679465776294
270116,203,184,383,15,0.3161512027491409,0.6580756013745704,0.02577319587628866
270117,204,0,0,0,0.0,0.0,0.0
270118,205,679,258,12,0.7154899894625922,0.2718651211801897,0.012644889357218124
270119,206,540,281,12,0.6482593037214885,0.33733493397358943,0.014405762304921969
270201,207,578,573,14,0.496137339055794,0.4918454935622318,0.01201716738197425
270202,208,1137,791,33,0.5798062213156553,0.4033656297807241,0.016828148903620603
270203,209,1612,429,32,0.7776169802219006,0.20694645441389292,0.015436565364206465
270204,210,268,365,6,0.4194053208137715,0.5712050078247262,0.009389671361502348
270205,211,618,1234,20,0.3301282051282051,0.6591880341880342,0.010683760683760684
270206,212,384,664,21,0.3592142188961646,0.6211412535079514,0.019644527595884004
270207,213,386,875,30,0.29899302865995353,0.6777691711851278,0.023237800154918668
270208,214,626,1322,19,0.3182511438739197,0.672089476359939,0.009659379766141332
270209,215,837,1005,25,0.44831280128548473,0.5382967327262989,0.01339046598821639
270210,216,553,901,17,0.3759347382732835,0.6125084976206662,0.011556764106050306
270211,217,147,183,5,0.4388059701492537,0.5462686567164179,0.014925373134328358
270212,218,227,278,7,0.443359375,0.54296875,0.013671875
270213,219,1895,505,34,0.7785538208709942,0.2074774034511093,0.013968775677896467
270214,220,700,1021,25,0.4009163802978236,0.5847651775486827,0.0143184421534937
270215,221,745,1199,28,0.377789046653144,0.6080121703853956,0.014198782961460446
270216,222,820,620,21,0.5612594113620808,0.4243668720054757,0.014373716632443531
270301,223,1589,346,25,0.8107142857142857,0.17653061224489797,0.012755102040816327
270302,224,1297,947,26,0.5713656387665198,0.4171806167400881,0.01145374449339207
270303,225,1134,1033,29,0.5163934426229508,0.4704007285974499,0.013205828779599272
270304,226,127,45,1,0.7341040462427746,0.26011560693641617,0.005780346820809248
270305,227,823,407,11,0.6631748589846898,0.3279613215149073,0.008863819500402902
270306,228,470,673,22,0.4034334763948498,0.5776824034334764,0.01888412017167382
270307,229,270,785,9,0.25375939849624063,0.7377819548872181,0.008458646616541353
270308,230,1087,731,24,0.5901194353963084,0.3968512486427796,0.013029315960912053
270309,231,595,136,4,0.8095238095238095,0.18503401360544217,0.005442176870748299
270310,232,260,44,2,0.8496732026143791,0.1437908496732026,0.006535947712418301
270311,233,1331,308,22,0.8013245033112583,0.18543046357615894,0.013245033112582781
270312,234,821,180,7,0.814484126984127,0.17857142857142858,0.006944444444444444
270313,235,1743,776,31,0.6835294117647058,0.3043137254901961,0.01215686274509804
270314,236,684,575,19,0.5352112676056338,0.44992175273865415,0.01486697965571205
270315,237,953,553,24,0.6228758169934641,0.361437908496732,0.01568627450980392
270317,238,530,256,5,0.6700379266750948,0.32364096080910243,0.006321112515802781
270318,239,1210,711,37,0.6179775280898876,0.3631256384065373,0.018896833503575076
270319,240,1125,561,16,0.6609870740305523,0.3296122209165687,0.009400705052878966
270401,241,492,181,11,0.7192982456140351,0.2646198830409357,0.01608187134502924
270402,242,563,268,9,0.6702380952380952,0.319047619047619,0.010714285714285714
270404,243,405,845,19,0.3191489361702128,0.6658786446020488,0.014972419227738377
270405,244,0,0,0,0.0,0.0,0.0
270406,245,488,560,14,0.4595103578154426,0.527306967984934,0.013182674199623353
270408,246,515,975,18,0.34151193633952254,0.646551724137931,0.011936339522546418
270409,247,435,468,15,0.4738562091503268,0.5098039215686274,0.016339869281045753
270410,248,242,470,12,0.3342541436464088,0.649171270718232,0.016574585635359115
270412,249,93,201,2,0.3141891891891892,0.6790540540540541,0.006756756756756757
270414,251,0,0,0,0.0,0.0,0.0
270415,252,459,880,21,0.3375,0.6470588235294118,0.015441176470588236
270419,253,416,200,5,0.6698872785829307,0.322061191626409,0.008051529790660225
4910116,9460,360,479,23,0.4176334106728538,0.5556844547563805,0.02668213457076566
4910116,9461,0,0,0,0.0,0.0,0.0
4910117,9462,672,1692,54,0.27791563275434245,0.6997518610421837,0.022332506203473945
4910118,9463,723,1240,34,0.36204306459689534,0.6209313970956435,0.01702553830746119
4910119,9464,1008,1159,57,0.45323741007194246,0.5211330935251799,0.025629496402877698
4910122,9465,139,156,6,0.46179401993355484,0.5182724252491694,0.019933554817275746
