CNTYVTD,VTDKEY,SessionsR_18G_U.S. Rep 32,AllredD_18G_U.S. Rep 32,BakerL_18G_U.S. Rep 32,SessionsR_18G_U.S. Rep 32_Percentage,AllredD_18G_U.S. Rep 32_Percentage,BakerL_18G_U.S. Rep 32_Percentage
850027,1660,784,663,34,0.5293720459149224,0.44767049291019584,0.022957461174881837
850056,1689,1023,687,39,0.5849056603773585,0.3927958833619211,0.022298456260720412
850083,1716,1315,697,52,0.6371124031007752,0.3376937984496124,0.025193798449612403
850133,1766,646,621,31,0.49768875192604006,0.47842835130970723,0.023882896764252697
850148,1781,119,101,5,0.5288888888888889,0.4488888888888889,0.022222222222222223
850153,1786,1424,1233,57,0.524686809137804,0.4543109801031688,0.021002210759027265
850159,1792,888,1017,45,0.4553846153846154,0.5215384615384615,0.023076923076923078
850170,1803,631,375,32,0.6078998073217726,0.36127167630057805,0.030828516377649325
850174,1807,1190,980,58,0.5341113105924596,0.4398563734290844,0.026032315978456014
850196,1829,571,420,31,0.5587084148727984,0.410958904109589,0.030332681017612523
850217,1850,653,385,28,0.6125703564727955,0.3611632270168856,0.02626641651031895
850232,1865,905,613,29,0.5850032320620556,0.3962508080155139,0.01874595992243051
850233,1866,480,255,18,0.6374501992031872,0.3386454183266932,0.02390438247011952
850237,1870,384,444,13,0.45659928656361476,0.5279429250891795,0.015457788347205707
1131004,2031,524,566,9,0.4767970882620564,0.5150136487716106,0.00818926296633303
1131006,2032,702,572,18,0.5433436532507739,0.44272445820433437,0.01393188854489164
1131007,2033,207,101,7,0.6571428571428571,0.32063492063492066,0.022222222222222223
1131040,2035,412,999,29,0.2861111111111111,0.69375,0.02013888888888889
1131041,2036,30,273,5,0.09740259740259741,0.8863636363636364,0.016233766233766232
1131043,2037,765,724,24,0.5056179775280899,0.47851949768671515,0.015862524785194978
1131050,2044,46,66,1,0.40707964601769914,0.584070796460177,0.008849557522123894
1131129,2105,3,49,2,0.05555555555555555,0.9074074074074074,0.037037037037037035
1131139,2111,3,2,0,0.6,0.4,0.0
1131141,2113,466,405,14,0.5265536723163842,0.4576271186440678,0.015819209039548022
1131147,2118,303,240,9,0.5489130434782609,0.43478260869565216,0.016304347826086956
1131162,2123,0,0,0,0.0,0.0,0.0
1131164,2125,871,830,34,0.5020172910662825,0.4783861671469741,0.019596541786743516
1131165,2126,735,755,23,0.48578982154659617,0.4990085922009253,0.01520158625247852
1131168,2127,971,1143,41,0.4505800464037123,0.5303944315545244,0.019025522041763342
1131171,2130,570,1034,33,0.3481979230299328,0.6316432498472816,0.020158827122785584
1131172,2131,584,763,25,0.42565597667638483,0.5561224489795918,0.018221574344023325
1131324,2152,752,814,31,0.47088290544771444,0.5097056981840952,0.019411396368190358
1131325,2153,774,773,35,0.4892541087231353,0.488621997471555,0.022123893805309734
