CNTYVTD,VTDKEY,CarterR_18P_U.S. Rep 31,SweeneyR_18P_U.S. Rep 31
0270101,189,340,154
0270102,190,490,205
0270103,191,129,68
0270104,192,396,166
0270105,193,177,78
0270106,194,123,24
0270107,195,43,30
0270108,196,228,92
0270109,197,97,24
0270110,198,14,13
0270111,199,193,77
0270113,200,322,154
0270114,201,205,85
0270115,202,492,213
0270116,203,47,14
0270117,204,0,0
0270118,205,188,83
0270119,206,125,72
0270201,207,156,52
0270202,208,369,90
0270203,209,601,227
0270204,210,90,25
0270205,211,178,52
0270206,212,111,35
0270207,213,96,30
0270208,214,137,37
0270209,215,217,71
0270210,216,129,31
0270211,217,47,12
0270212,218,57,20
0270213,219,703,282
0270214,220,160,56
0270215,221,181,57
0270216,222,252,63
0270301,223,374,180
0270302,224,377,164
0270303,225,305,148
0270304,226,40,15
0270305,227,316,129
0270306,228,103,50
0270307,229,56,35
0270308,230,307,134
0270309,231,165,89
0270310,232,68,34
0270311,233,375,164
0270312,234,188,88
0270313,235,593,243
0270314,236,184,91
0270315,237,190,98
0270317,238,161,64
0270318,239,253,129
0270319,240,355,143
0270401,241,124,49
0270402,242,196,45
0270404,243,97,39
0270405,244,0,0
0270406,245,189,32
0270408,246,148,37
0270409,247,122,34
0270410,248,54,12
0270412,249,26,5
0270414,251,0,0
0270415,252,121,37
0270419,253,142,33
4910116,9460,86,36
4910116,9461,0,0
4910117,9462,106,62
4910118,9463,184,88
4910119,9464,284,110
4910122,9465,45,17
4910123,9466,143,61
4910135,9467,94,29
4910136,9468,4,1
4910138,9469,181,67
4910139,9470,133,48
4910143,9471,13,6
4910144,9472,32,13
4910145,9473,121,51
4910146,9474,128,64
4910147,9475,158,84
4910149,9476,83,29
4910150,9477,185,73
4910151,9478,183,84
4910155,9479,109,39
4910162,9480,158,69
4910163,9481,92,39
4910164,9482,14,7
4910166,9483,94,44
4910173,9484,161,63
4910174,9485,54,27
4910175,9486,149,45
4910180,9487,172,91
4910181,9488,83,43
4910182,9489,119,34
4910184,9490,65,28
4910186,9491,132,64
4910189,9492,146,62
4910191,9493,33,14
4910192,9494,25,10
4910198,9495,4,2
4910201,9496,170,83
4910202,9497,44,19
4910203,9498,4,2
4910204,9499,167,89
4910205,9500,10,3
4910206,9501,135,85
4910207,9502,209,123
4910208,9503,112,58
4910209,9504,244,148
4910210,9505,56,43
4910216,9506,95,40
4910229,9507,13,7
4910230,9508,203,88
4910231,9509,95,57
4910243,9510,70,55
4910244,9511,99,74
4910245,9512,159,103
4910251,9513,7,4
4910252,9514,160,94
4910253,9515,268,145
4910254,9516,207,110
4910255,9517,58,44
4910256,9518,63,31
4910257,9519,128,80
4910258,9520,4,2
4910259,9521,59,28
4910261,9522,122,61
4910262,9523,86,39
4910263,9524,131,57
4910264,9525,142,50
4910266,9526,139,61
4910267,9527,41,30
4910276,9528,125,53
4910277,9529,297,139
4910278,9530,302,158
4910279,9531,7,2
4910283,9532,180,96
4910284,9533,230,102
4910287,9534,158,68
4910301,9535,201,90
4910302,9536,50,16
4910303,9537,122,47
4910305,9538,73,66
4910306,9539,291,290
4910307,9540,64,47
4910308,9541,101,82
4910309,9542,246,209
4910310,9543,171,90
4910311,9544,8,3
4910312,9545,71,86
4910314,9546,188,116
4910317,9547,97,38
4910318,9548,35,16
4910319,9549,15,7
4910320,9550,117,53
4910321,9551,2,1
4910322,9552,142,57
4910323,9553,8,4
4910331,9554,62,28
4910332,9555,139,71
4910333,9556,33,14
4910338,9557,247,86
4910340,9558,141,62
4910341,9559,243,161
4910342,9560,53,32
4910343,9561,212,149
4910344,9562,107,84
4910345,9563,59,42
4910346,9564,88,70
4910360,9565,232,110
4910367,9566,4,2
4910368,9567,121,63
4910369,9568,135,80
4910370,9569,139,86
4910371,9570,269,237
4910372,9571,275,128
4910379,9572,393,324
4910380,9573,4,3
4910381,9574,471,619
4910390,9575,264,125
4910390,9576,0,0
4910391,9577,156,139
4910392,9578,310,294
4910393,9579,503,615
4910394,9580,427,623
4910395,9581,22,23
4910396,9582,204,302
4910397,9583,221,304
4910398,9584,195,96
4910399,9585,46,19
4910401,9586,149,74
4910402,9587,161,90
4910403,9588,61,30
4910409,9589,15,8
4910410,9590,203,141
4910411,9591,225,175
4910412,9592,61,29
4910413,9593,305,132
4910415,9594,155,110
4910418,9595,1,0
4910419,9596,21,13
4910420,9597,100,53
4910421,9598,74,40
4910422,9599,141,80
4910424,9600,492,211
4910425,9601,54,34
4910426,9602,72,31
4910427,9603,232,129
4910428,9604,246,123
4910429,9605,114,69
4910432,9606,18,11
4910433,9607,250,154
4910434,9608,126,57
4910436,9609,79,33
4910437,9610,298,129
4910456,9611,103,50
4910468,9612,38,22
4910470,9613,134,71
4910471,9614,15,7
4910472,9615,35,20
4910473,9616,73,39
4910482,9617,380,103
4910484,9618,144,67
4910485,9619,80,33
4910486,9620,53,35
4910487,9621,9,2
4910488,9622,215,82
4910489,9623,239,107
4910490,9624,230,122
4910491,9625,151,63
