CNTYVTD,VTDKEY,CarterR_18P_U.S. Rep 31,SweeneyR_18P_U.S. Rep 31,CarterR_18P_U.S. Rep 31_Percentage,SweeneyR_18P_U.S. Rep 31_Percentage
270101,189,340,154,0.6882591093117408,0.3117408906882591
270102,190,490,205,0.7050359712230215,0.2949640287769784
270103,191,129,68,0.6548223350253807,0.34517766497461927
270104,192,396,166,0.7046263345195729,0.29537366548042704
270105,193,177,78,0.6941176470588235,0.3058823529411765
270106,194,123,24,0.8367346938775511,0.16326530612244897
270107,195,43,30,0.589041095890411,0.410958904109589
270108,196,228,92,0.7125,0.2875
270109,197,97,24,0.8016528925619835,0.19834710743801653
270110,198,14,13,0.5185185185185185,0.48148148148148145
270111,199,193,77,0.7148148148148148,0.2851851851851852
270113,200,322,154,0.6764705882352942,0.3235294117647059
270114,201,205,85,0.7068965517241379,0.29310344827586204
270115,202,492,213,0.6978723404255319,0.3021276595744681
270116,203,47,14,0.7704918032786885,0.22950819672131148
270117,204,0,0,0.0,0.0
270118,205,188,83,0.6937269372693727,0.3062730627306273
270119,206,125,72,0.6345177664974619,0.36548223350253806
270201,207,156,52,0.75,0.25
270202,208,369,90,0.803921568627451,0.19607843137254902
270203,209,601,227,0.7258454106280193,0.2741545893719807
270204,210,90,25,0.782608695652174,0.21739130434782608
270205,211,178,52,0.7739130434782608,0.22608695652173913
270206,212,111,35,0.7602739726027398,0.23972602739726026
270207,213,96,30,0.7619047619047619,0.23809523809523808
270208,214,137,37,0.7873563218390804,0.21264367816091953
270209,215,217,71,0.7534722222222222,0.2465277777777778
270210,216,129,31,0.80625,0.19375
270211,217,47,12,0.7966101694915254,0.2033898305084746
270212,218,57,20,0.7402597402597403,0.2597402597402597
270213,219,703,282,0.7137055837563452,0.2862944162436548
270214,220,160,56,0.7407407407407407,0.25925925925925924
270215,221,181,57,0.7605042016806722,0.23949579831932774
270216,222,252,63,0.8,0.2
270301,223,374,180,0.6750902527075813,0.3249097472924188
270302,224,377,164,0.6968576709796673,0.3031423290203327
270303,225,305,148,0.673289183222958,0.32671081677704195
270304,226,40,15,0.7272727272727273,0.2727272727272727
270305,227,316,129,0.7101123595505618,0.2898876404494382
270306,228,103,50,0.673202614379085,0.32679738562091504
270307,229,56,35,0.6153846153846154,0.38461538461538464
270308,230,307,134,0.6961451247165533,0.30385487528344673
270309,231,165,89,0.6496062992125984,0.35039370078740156
270310,232,68,34,0.6666666666666666,0.3333333333333333
270311,233,375,164,0.6957328385899815,0.3042671614100185
270312,234,188,88,0.6811594202898551,0.3188405797101449
270313,235,593,243,0.7093301435406698,0.29066985645933013
270314,236,184,91,0.6690909090909091,0.33090909090909093
270315,237,190,98,0.6597222222222222,0.3402777777777778
270317,238,161,64,0.7155555555555555,0.28444444444444444
270318,239,253,129,0.662303664921466,0.337696335078534
270319,240,355,143,0.7128514056224899,0.28714859437751006
270401,241,124,49,0.7167630057803468,0.2832369942196532
270402,242,196,45,0.8132780082987552,0.18672199170124482
270404,243,97,39,0.7132352941176471,0.2867647058823529
270405,244,0,0,0.0,0.0
270406,245,189,32,0.8552036199095022,0.14479638009049775
270408,246,148,37,0.8,0.2
270409,247,122,34,0.782051282051282,0.21794871794871795
270410,248,54,12,0.8181818181818182,0.18181818181818182
