CNTYVTD,VTDKEY,BrownR_18P_U.S. Rep 32,SessionsR_18P_U.S. Rep 32,BrownR_18P_U.S. Rep 32_Percentage,SessionsR_18P_U.S. Rep 32_Percentage
850027,1660,47,193,0.19583333333333333,0.8041666666666667
850056,1689,78,205,0.2756183745583039,0.7243816254416962
850083,1716,85,296,0.2230971128608924,0.7769028871391076
850133,1766,43,184,0.1894273127753304,0.8105726872246696
850148,1781,7,24,0.22580645161290322,0.7741935483870968
850153,1786,80,288,0.21739130434782608,0.782608695652174
850159,1792,62,209,0.22878228782287824,0.7712177121771218
850170,1803,37,137,0.21264367816091953,0.7873563218390804
850174,1807,91,247,0.2692307692307692,0.7307692307692307
850196,1829,46,138,0.25,0.75
850217,1850,35,133,0.20833333333333334,0.7916666666666666
850232,1865,66,181,0.26720647773279355,0.7327935222672065
850233,1866,31,106,0.22627737226277372,0.7737226277372263
850237,1870,25,87,0.22321428571428573,0.7767857142857143
1131004,2031,71,187,0.2751937984496124,0.7248062015503876
1131006,2032,84,299,0.2193211488250653,0.7806788511749347
1131007,2033,23,71,0.24468085106382978,0.7553191489361702
1131040,2035,25,114,0.17985611510791366,0.8201438848920863
1131041,2036,0,2,0.0,1.0
1131043,2037,65,303,0.1766304347826087,0.8233695652173914
1131050,2044,8,16,0.3333333333333333,0.6666666666666666
1131129,2105,1,2,0.3333333333333333,0.6666666666666666
1131139,2111,0,0,0.0,0.0
1131141,2113,43,191,0.18376068376068377,0.8162393162393162
1131147,2118,15,98,0.13274336283185842,0.8672566371681416
1131162,2123,0,0,0.0,0.0
1131164,2125,76,223,0.25418060200668896,0.745819397993311
1131165,2126,42,197,0.17573221757322174,0.8242677824267782
1131168,2127,101,271,0.271505376344086,0.728494623655914
1131171,2130,44,160,0.21568627450980393,0.7843137254901961
1131172,2131,46,185,0.19913419913419914,0.8008658008658008
1131324,2152,67,238,0.21967213114754097,0.780327868852459
1131325,2153,59,261,0.184375,0.815625
1131700,2170,17,84,0.16831683168316833,0.8316831683168316
1131701,2171,24,90,0.21052631578947367,0.7894736842105263
1131702,2172,45,148,0.23316062176165803,0.7668393782383419
1131703,2173,27,118,0.18620689655172415,0.8137931034482758
1131704,2174,20,59,0.25316455696202533,0.7468354430379747
1131705,2175,31,105,0.22794117647058823,0.7720588235294118
1131706,2176,19,104,0.15447154471544716,0.8455284552845529
1131708,2178,18,18,0.5,0.5
1131709,2179,22,60,0.2682926829268293,0.7317073170731707
1131710,2180,1,6,0.14285714285714285,0.8571428571428571
1131711,2181,15,71,0.1744186046511628,0.8255813953488372
1131712,2182,47,185,0.2025862068965517,0.7974137931034483
1131713,2183,16,75,0.17582417582417584,0.8241758241758241
1131714,2184,38,105,0.26573426573426573,0.7342657342657343
1131715,2185,16,35,0.3137254901960784,0.6862745098039216
1131716,2186,64,345,0.15647921760391198,0.843520782396088
1131717,2187,47,237,0.16549295774647887,0.8345070422535211
1131718,2188,37,155,0.19270833333333334,0.8072916666666666
1131721,2191,51,196,0.20647773279352227,0.7935222672064778
1131722,2192,24,127,0.15894039735099338,0.8410596026490066
1131723,2193,2,11,0.15384615384615385,0.8461538461538461
1131724,2194,0,4,0.0,1.0
1131725,2195,23,70,0.24731182795698925,0.7526881720430108
1131726,2196,22,154,0.125,0.875
1131727,2197,5,13,0.2777777777777778,0.7222222222222222
1131729,2199,26,76,0.2549019607843137,0.7450980392156863
1131732,2202,17,44,0.2786885245901639,0.7213114754098361
1131733,2203,54,175,0.23580786026200873,0.7641921397379913
1131734,2204,19,122,0.1347517730496454,0.8652482269503546
1131735,2205,97,337,0.22350230414746544,0.7764976958525346
1131736,2206,61,340,0.15211970074812967,0.8478802992518704
1131737,2207,132,542,0.19584569732937684,0.8041543026706232
1131738,2208,36,144,0.2,0.8
1131739,2209,61,169,0.26521739130434785,0.7347826086956522
1131740,2210,66,221,0.22996515679442509,0.7700348432055749
1131741,2211,64,260,0.19753086419753085,0.8024691358024691
1131742,2212,41,246,0.14285714285714285,0.8571428571428571
1131743,2213,67,320,0.1731266149870801,0.8268733850129198
1131745,2215,44,167,0.20853080568720378,0.7914691943127962
1131746,2216,19,93,0.16964285714285715,0.8303571428571429
1131747,2217,35,98,0.2631578947368421,0.7368421052631579
1131748,2218,23,77,0.23,0.77
1131749,2219,32,130,0.19753086419753085,0.8024691358024691
1131750,2220,55,214,0.20446096654275092,0.7955390334572491
1131751,2221,71,308,0.18733509234828497,0.8126649076517151
1131752,2222,58,187,0.23673469387755103,0.763265306122449
1132007,2230,92,450,0.16974169741697417,0.8302583025830258
1132008,2231,37,220,0.14396887159533073,0.8560311284046692
1132011,2234,79,280,0.2200557103064067,0.7799442896935933
1132016,2236,106,559,0.1593984962406015,0.8406015037593985
1132017,2237,14,35,0.2857142857142857,0.7142857142857143
1132018,2238,29,100,0.2248062015503876,0.7751937984496124
1132019,2239,67,215,0.2375886524822695,0.7624113475177305
1132020,2240,62,229,0.21305841924398625,0.7869415807560137
1132021,2241,89,420,0.17485265225933203,0.825147347740668
1132022,2242,23,82,0.21904761904761905,0.780952380952381
1132023,2243,40,149,0.21164021164021163,0.7883597883597884
1132024,2244,41,108,0.2751677852348993,0.7248322147651006
1132025,2245,75,348,0.1773049645390071,0.8226950354609929
1132026,2246,88,352,0.2,0.8
1132027,2247,54,346,0.135,0.865
1132030,2249,46,280,0.1411042944785276,0.8588957055214724
1132031,2250,36,96,0.2727272727272727,0.7272727272727273
1132032,2251,18,51,0.2608695652173913,0.7391304347826086
1132033,2252,30,121,0.1986754966887417,0.8013245033112583
1132035,2253,7,41,0.14583333333333334,0.8541666666666666
1132037,2254,5,19,0.20833333333333334,0.7916666666666666
1132038,2255,32,135,0.19161676646706588,0.8083832335329342
1132039,2256,36,124,0.225,0.775
1132040,2257,15,65,0.1875,0.8125
1132042,2259,72,281,0.20396600566572237,0.7960339943342776
1132043,2260,53,221,0.19343065693430658,0.8065693430656934
1132044,2261,33,131,0.20121951219512196,0.7987804878048781
1132045,2262,41,209,0.164,0.836
1132046,2263,55,266,0.17133956386292834,0.8286604361370716
1132047,2264,99,279,0.2619047619047619,0.7380952380952381
1132049,2266,49,170,0.2237442922374429,0.776255707762557
1132050,2267,51,182,0.21888412017167383,0.7811158798283262
1132051,2268,112,284,0.2828282828282828,0.7171717171717171
1132052,2269,35,205,0.14583333333333334,0.8541666666666666
1132056,2273,33,208,0.13692946058091288,0.8630705394190872
1132057,2274,9,66,0.12,0.88
1132058,2275,24,96,0.2,0.8
1132077,2278,33,124,0.21019108280254778,0.7898089171974523
1132080,2280,2,17,0.10526315789473684,0.8947368421052632
1132082,2282,20,58,0.2564102564102564,0.7435897435897436
1132083,2283,16,25,0.3902439024390244,0.6097560975609756
1132085,2285,6,2,0.75,0.25
1132086,2286,21,71,0.22826086956521738,0.7717391304347826
1132087,2287,32,117,0.21476510067114093,0.785234899328859
1132090,2288,1,3,0.25,0.75
1132091,2289,15,74,0.16853932584269662,0.8314606741573034
1132092,2290,0,0,0.0,0.0
1132094,2291,2,14,0.125,0.875
1132095,2292,0,0,0.0,0.0
1132098,2295,17,76,0.1827956989247312,0.8172043010752689
1132099,2296,31,83,0.2719298245614035,0.7280701754385965
1132101,2299,10,39,0.20408163265306123,0.7959183673469388
1132102,2300,29,74,0.2815533980582524,0.7184466019417476
1132103,2301,12,8,0.6,0.4
1132108,2306,16,55,0.22535211267605634,0.7746478873239436
1132109,2307,0,0,0.0,0.0
1132111,2309,0,0,0.0,0.0
1132112,2310,1,2,0.3333333333333333,0.6666666666666666
1132113,2311,0,0,0.0,0.0
1132114,2312,55,215,0.2037037037037037,0.7962962962962963
1132115,2313,3,22,0.12,0.88
1132116,2314,1,2,0.3333333333333333,0.6666666666666666
1132117,2315,0,0,0.0,0.0
1132119,2317,12,37,0.24489795918367346,0.7551020408163265
1132120,2318,36,149,0.1945945945945946,0.8054054054054054
1132121,2319,4,10,0.2857142857142857,0.7142857142857143
1132122,2320,10,74,0.11904761904761904,0.8809523809523809
1132123,2321,13,32,0.28888888888888886,0.7111111111111111
1132125,2323,4,27,0.12903225806451613,0.8709677419354839
1132126,2324,8,23,0.25806451612903225,0.7419354838709677
1132127,2325,58,126,0.31521739130434784,0.6847826086956522
1132128,2326,46,188,0.19658119658119658,0.8034188034188035
1132129,2327,2,4,0.3333333333333333,0.6666666666666666
1132130,2328,14,43,0.24561403508771928,0.7543859649122807
1132131,2329,5,21,0.19230769230769232,0.8076923076923077
1132132,2330,9,38,0.19148936170212766,0.8085106382978723
1132133,2331,8,43,0.1568627450980392,0.8431372549019608
1132134,2332,4,15,0.21052631578947367,0.7894736842105263
1132143,2339,2,13,0.13333333333333333,0.8666666666666667
1132144,2340,22,21,0.5116279069767442,0.4883720930232558
1132145,2341,9,34,0.20930232558139536,0.7906976744186046
1132146,2342,6,14,0.3,0.7
1132147,2343,37,163,0.185,0.815
1132148,2344,6,8,0.42857142857142855,0.5714285714285714
1132150,2346,0,0,0.0,0.0
1132151,2347,4,8,0.3333333333333333,0.6666666666666666
1132153,2349,2,24,0.07692307692307693,0.9230769230769231
1132200,2352,46,220,0.17293233082706766,0.8270676691729323
1132201,2353,37,246,0.13074204946996468,0.8692579505300353
1132202,2354,62,223,0.21754385964912282,0.7824561403508772
1132203,2355,51,166,0.2350230414746544,0.7649769585253456
1132220,2356,36,206,0.1487603305785124,0.8512396694214877
1132221,2357,55,396,0.12195121951219512,0.8780487804878049
1132222,2358,56,334,0.14358974358974358,0.8564102564102564
1132223,2359,45,115,0.28125,0.71875
1132224,2360,22,97,0.18487394957983194,0.8151260504201681
1132225,2361,39,175,0.1822429906542056,0.8177570093457944
1132226,2362,60,266,0.18404907975460122,0.8159509202453987
1132500,2392,34,94,0.265625,0.734375
1132501,2393,69,203,0.2536764705882353,0.7463235294117647
1132502,2394,71,285,0.199438202247191,0.800561797752809
1132503,2395,134,466,0.22333333333333333,0.7766666666666666
1132504,2396,42,126,0.25,0.75
1132505,2397,51,153,0.25,0.75
1132506,2398,65,265,0.19696969696969696,0.803030303030303
1132507,2399,82,254,0.24404761904761904,0.7559523809523809
1132508,2400,36,143,0.2011173184357542,0.7988826815642458
1132509,2401,96,364,0.20869565217391303,0.7913043478260869
1132510,2402,37,130,0.2215568862275449,0.7784431137724551
1132511,2403,81,155,0.3432203389830508,0.6567796610169492
1132512,2404,46,150,0.23469387755102042,0.7653061224489796
1132513,2405,62,235,0.20875420875420875,0.7912457912457912
1132514,2406,97,283,0.25526315789473686,0.7447368421052631
1132515,2407,11,47,0.1896551724137931,0.8103448275862069
1132517,2408,27,71,0.2755102040816326,0.7244897959183674
1132518,2409,47,225,0.17279411764705882,0.8272058823529411
1132519,2410,33,102,0.24444444444444444,0.7555555555555555
1132520,2411,61,216,0.22021660649819494,0.779783393501805
1132521,2412,57,155,0.2688679245283019,0.7311320754716981
1132523,2413,36,108,0.25,0.75
1133000,2449,30,85,0.2608695652173913,0.7391304347826086
1133081,2530,26,70,0.2708333333333333,0.7291666666666666
1133086,2535,22,57,0.27848101265822783,0.7215189873417721
1133501,2613,1,0,1.0,0.0
1133701,2638,0,2,0.0,1.0
1133702,2639,0,0,0.0,0.0
1133960,2657,45,161,0.21844660194174756,0.7815533980582524
1133961,2658,32,121,0.20915032679738563,0.7908496732026143
1133962,2659,90,340,0.20930232558139536,0.7906976744186046
1133963,2660,33,118,0.2185430463576159,0.7814569536423841
1133964,2661,27,126,0.17647058823529413,0.8235294117647058
1133965,2662,39,163,0.19306930693069307,0.806930693069307
1133966,2663,65,211,0.23550724637681159,0.7644927536231884
1133967,2664,17,123,0.12142857142857143,0.8785714285714286
1133968,2665,84,236,0.2625,0.7375
1133969,2666,114,402,0.22093023255813954,0.7790697674418605
1133970,2667,67,395,0.14502164502164502,0.854978354978355
1133971,2668,54,152,0.2621359223300971,0.7378640776699029
1133980,2669,86,253,0.2536873156342183,0.7463126843657817
1133981,2670,29,170,0.1457286432160804,0.8542713567839196
1133982,2671,59,263,0.18322981366459629,0.8167701863354038
1133983,2672,38,161,0.19095477386934673,0.8090452261306532
1133984,2673,32,99,0.24427480916030533,0.7557251908396947
1134014,2688,35,157,0.18229166666666666,0.8177083333333334
1134018,2692,10,46,0.17857142857142858,0.8214285714285714
1134020,2694,5,10,0.3333333333333333,0.6666666666666666
1134021,2695,16,27,0.37209302325581395,0.627906976744186
1134100,2770,1,0,1.0,0.0
1134126,2788,18,119,0.13138686131386862,0.8686131386861314
1134127,2789,13,77,0.14444444444444443,0.8555555555555555
1134128,2790,41,196,0.1729957805907173,0.8270042194092827
1134129,2791,30,186,0.1388888888888889,0.8611111111111112
1134131,2793,13,19,0.40625,0.59375
