CNTYVTD,VTDKEY,Voter_Registration,Turnout,Spanish_Surname_Voter_Registration,Spanish_Surname_Turnout,Turnout_Rate
10001,1,1808,465,136,0.0333333333333333,0.2571902654867257
10002,2,2468,655,93,0.0153609831029186,0.2653970826580227
10003,3,1172,344,48,0.0142450142450142,0.2935153583617747
10004,4,1531,394,41,0.0076142131979695,0.2573481384715872
10005,5,294,108,7,0.0277777777777778,0.3673469387755102
10006,6,1388,149,120,0.0273972602739726,0.10734870317002881
10007,7,1361,52,234,0.0392156862745098,0.03820720058780309
10008,8,345,28,62,0.037037037037037,0.08115942028985507
10009,9,1297,291,67,0.013745704467354,0.2243639167309175
10010,10,536,118,35,0.0517241379310345,0.22014925373134328
10011,11,1233,260,42,0.0153256704980843,0.21086780210867803
10013,12,1712,414,163,0.0337349397590361,0.24182242990654207
10015,13,905,282,46,0.0242214532871972,0.3116022099447514
10016,14,794,188,34,0.0271739130434783,0.2367758186397985
10017,15,816,192,58,0.0208333333333333,0.23529411764705882
10018,16,2012,407,51,0.0123762376237624,0.20228628230616302
10019,17,2176,460,186,0.0350877192982456,0.2113970588235294
10020,18,1144,316,156,0.0220820189274448,0.2762237762237762
10021,19,1800,510,116,0.021484375,0.2833333333333333
10022,20,974,347,42,0.0233236151603499,0.35626283367556466
10023,21,1266,323,38,0.0154320987654321,0.2551342812006319
10024,22,813,237,24,0.0258620689655172,0.2915129151291513
30001,23,2103,376,860,0.244332493702771,0.178792201616738
30002,24,2514,807,663,0.138533178114086,0.32100238663484487
30003,25,2390,543,951,0.228522336769759,0.22719665271966527
30004,26,2285,430,1114,0.306487695749441,0.18818380743982493
50001,27,551,70,145,0.0694444444444444,0.12704174228675136
50002,28,2539,76,467,0.131578947368421,0.02993304450571091
50003,29,1811,301,196,0.0572390572390572,0.1662065157371618
50004,30,1960,213,233,0.0233644859813084,0.1086734693877551
50005,31,1957,233,277,0.043859649122807,0.11905978538579458
50006,32,602,103,53,0.0297029702970297,0.17109634551495018
50007,33,1186,260,63,0.0079051383399209,0.21922428330522767
50008,34,683,198,17,0.024390243902439,0.28989751098096633
50009,35,294,71,18,0.0126582278481013,0.24149659863945577
50010,36,1173,120,177,0.031496062992126,0.10230179028132992
50010,37,144,11,34,0.0,0.0763888888888889
50011,38,2076,402,69,0.0151133501259446,0.1936416184971098
50012,39,859,178,48,0.0171428571428571,0.20721769499417927
50013,40,683,96,81,0.0204081632653061,0.14055636896046853
50014,41,1786,347,177,0.0644257703081232,0.1942889137737962
50015,42,650,171,148,0.0755813953488372,0.2630769230769231
50016,43,2210,270,825,0.172284644194757,0.12217194570135746
50017,44,1471,342,24,0.0059171597633136,0.23249490142760026
50018,45,697,112,63,0.0280373831775701,0.1606886657101865
50019,46,1438,344,60,0.0235294117647059,0.23922114047287898
50020,47,2901,45,530,0.0888888888888889,0.015511892450879007
50021,48,724,128,19,0.0317460317460317,0.17679558011049723
50022,49,1762,322,68,0.0216049382716049,0.18274687854710556
50023,50,447,130,17,0.0245398773006135,0.29082774049217003
50024,51,2661,388,333,0.0373333333333333,0.1458098459225855
50025,52,2246,362,241,0.0354223433242507,0.1611754229741763
50026,53,1531,399,72,0.0203562340966921,0.2606139777922926
50027,54,356,111,11,0.0,0.31179775280898875
50028,55,1095,241,156,0.0677966101694915,0.22009132420091324
50029,56,1516,279,87,0.007168458781362,0.18403693931398418
50030,57,1061,175,26,0.0057803468208092,0.1649387370405278
50031,58,451,72,101,0.0289855072463768,0.15964523281596452
50032,59,28,5,0,0.0,0.17857142857142858
50033,60,1430,304,24,0.0228758169934641,0.2125874125874126
50034,61,2165,455,114,0.0334821428571429,0.21016166281755197
50035,62,1831,404,106,0.0270935960591133,0.2206444565811032
50037,63,461,92,47,0.0520833333333333,0.19956616052060738
50038,64,418,90,60,0.0224719101123595,0.215311004784689
50039,65,506,76,37,0.0886075949367089,0.15019762845849802
50040,66,750,120,74,0.075,0.16
5011,67,1295,140,35,0.0067114093959731,0.10810810810810811
5017,68,484,76,5,0.038961038961039,0.15702479338842976
70001,69,2165,381,281,0.140350877192982,0.17598152424942262
70002,70,3749,585,1184,0.279674796747967,0.15604161109629233
