CNTYVTD,VTDKEY,BrownR_18P_U.S. Rep 32,SessionsR_18P_U.S. Rep 32
"0850027",1660,47,193
"0850056",1689,78,205
"0850083",1716,85,296
"0850133",1766,43,184
"0850148",1781,7,24
"0850153",1786,80,288
"0850159",1792,62,209
"0850170",1803,37,137
"0850174",1807,91,247
"0850196",1829,46,138
"0850217",1850,35,133
"0850232",1865,66,181
"0850233",1866,31,106
"0850237",1870,25,87
"1131004",2031,71,187
"1131006",2032,84,299
"1131007",2033,23,71
"1131040",2035,25,114
"1131041",2036,0,2
"1131043",2037,65,303
"1131050",2044,8,16
"1131129",2105,1,2
"1131139",2111,0,0
"1131141",2113,43,191
"1131147",2118,15,98
"1131162",2123,0,0
"1131164",2125,76,223
"1131165",2126,42,197
"1131168",2127,101,271
"1131171",2130,44,160
"1131172",2131,46,185
"1131324",2152,67,238
"1131325",2153,59,261
"1131700",2170,17,84
"1131701",2171,24,90
"1131702",2172,45,148
"1131703",2173,27,118
"1131704",2174,20,59
"1131705",2175,31,105
"1131706",2176,19,104
"1131708",2178,18,18
"1131709",2179,22,60
"1131710",2180,1,6
"1131711",2181,15,71
"1131712",2182,47,185
"1131713",2183,16,75
"1131714",2184,38,105
"1131715",2185,16,35
"1131716",2186,64,345
"1131717",2187,47,237
"1131718",2188,37,155
"1131721",2191,51,196
"1131722",2192,24,127
"1131723",2193,2,11
"1131724",2194,0,4
"1131725",2195,23,70
"1131726",2196,22,154
"1131727",2197,5,13
"1131729",2199,26,76
"1131732",2202,17,44
"1131733",2203,54,175
"1131734",2204,19,122
"1131735",2205,97,337
"1131736",2206,61,340
"1131737",2207,132,542
"1131738",2208,36,144
"1131739",2209,61,169
"1131740",2210,66,221
"1131741",2211,64,260
"1131742",2212,41,246
"1131743",2213,67,320
"1131745",2215,44,167
"1131746",2216,19,93
"1131747",2217,35,98
"1131748",2218,23,77
"1131749",2219,32,130
"1131750",2220,55,214
"1131751",2221,71,308
"1131752",2222,58,187
"1132007",2230,92,450
"1132008",2231,37,220
"1132011",2234,79,280
"1132016",2236,106,559
"1132017",2237,14,35
"1132018",2238,29,100
"1132019",2239,67,215
"1132020",2240,62,229
"1132021",2241,89,420
"1132022",2242,23,82
"1132023",2243,40,149
"1132024",2244,41,108
"1132025",2245,75,348
"1132026",2246,88,352
"1132027",2247,54,346
"1132030",2249,46,280
"1132031",2250,36,96
"1132032",2251,18,51
"1132033",2252,30,121
"1132035",2253,7,41
"1132037",2254,5,19
"1132038",2255,32,135
"1132039",2256,36,124
"1132040",2257,15,65
"1132042",2259,72,281
"1132043",2260,53,221
"1132044",2261,33,131
"1132045",2262,41,209
"1132046",2263,55,266
"1132047",2264,99,279
"1132049",2266,49,170
"1132050",2267,51,182
"1132051",2268,112,284
"1132052",2269,35,205
"1132056",2273,33,208
"1132057",2274,9,66
"1132058",2275,24,96
"1132077",2278,33,124
"1132080",2280,2,17
"1132082",2282,20,58
"1132083",2283,16,25
"1132085",2285,6,2
"1132086",2286,21,71
"1132087",2287,32,117
"1132090",2288,1,3
"1132091",2289,15,74
"1132092",2290,0,0
"1132094",2291,2,14
"1132095",2292,0,0
"1132098",2295,17,76
"1132099",2296,31,83
"1132101",2299,10,39
"1132102",2300,29,74
"1132103",2301,12,8
"1132108",2306,16,55
"1132109",2307,0,0
"1132111",2309,0,0
"1132112",2310,1,2
"1132113",2311,0,0
"1132114",2312,55,215
"1132115",2313,3,22
"1132116",2314,1,2
"1132117",2315,0,0
"1132119",2317,12,37
"1132120",2318,36,149
"1132121",2319,4,10
"1132122",2320,10,74
"1132123",2321,13,32
"1132125",2323,4,27
"1132126",2324,8,23
"1132127",2325,58,126
"1132128",2326,46,188
"1132129",2327,2,4
"1132130",2328,14,43
"1132131",2329,5,21
"1132132",2330,9,38
"1132133",2331,8,43
"1132134",2332,4,15
"1132143",2339,2,13
"1132144",2340,22,21
"1132145",2341,9,34
"1132146",2342,6,14
"1132147",2343,37,163
"1132148",2344,6,8
"1132150",2346,0,0
"1132151",2347,4,8
"1132153",2349,2,24
"1132200",2352,46,220
"1132201",2353,37,246
"1132202",2354,62,223
"1132203",2355,51,166
"1132220",2356,36,206
"1132221",2357,55,396
"1132222",2358,56,334
"1132223",2359,45,115
"1132224",2360,22,97
"1132225",2361,39,175
"1132226",2362,60,266
"1132500",2392,34,94
"1132501",2393,69,203
"1132502",2394,71,285
"1132503",2395,134,466
"1132504",2396,42,126
"1132505",2397,51,153
"1132506",2398,65,265
"1132507",2399,82,254
"1132508",2400,36,143
"1132509",2401,96,364
"1132510",2402,37,130
"1132511",2403,81,155
"1132512",2404,46,150
"1132513",2405,62,235
"1132514",2406,97,283
"1132515",2407,11,47
"1132517",2408,27,71
"1132518",2409,47,225
"1132519",2410,33,102
"1132520",2411,61,216
"1132521",2412,57,155
"1132523",2413,36,108
"1133000",2449,30,85
"1133081",2530,26,70
"1133086",2535,22,57
"1133501",2613,1,0
"1133701",2638,0,2
"1133702",2639,0,0
"1133960",2657,45,161
"1133961",2658,32,121
"1133962",2659,90,340
"1133963",2660,33,118
"1133964",2661,27,126
"1133965",2662,39,163
"1133966",2663,65,211
"1133967",2664,17,123
"1133968",2665,84,236
"1133969",2666,114,402
"1133970",2667,67,395
"1133971",2668,54,152
"1133980",2669,86,253
"1133981",2670,29,170
"1133982",2671,59,263
"1133983",2672,38,161
"1133984",2673,32,99
"1134014",2688,35,157
"1134018",2692,10,46
"1134020",2694,5,10
"1134021",2695,16,27
"1134100",2770,1,0
"1134126",2788,18,119
"1134127",2789,13,77
"1134128",2790,41,196
"1134129",2791,30,186
"1134131",2793,13,19
