CNTYVTD,VTDKEY,JacobsonR_18P_U.S. Sen,MillerR_18P_U.S. Sen,CruzR_18P_U.S. Sen,de StefanoR_18P_U.S. Sen,SamR_18P_U.S. Sen
"0010001",1,19,20,387,14,4
"0010002",2,26,29,556,9,4
"0010003",3,18,12,299,7,3
"0010004",4,16,8,348,0,2
"0010005",5,11,5,89,0,1
"0010006",6,5,7,124,3,0
"0010007",7,2,3,43,0,2
"0010008",8,0,6,16,3,1
"0010009",9,7,8,264,3,2
"0010010",10,0,3,113,0,1
"0010011",11,11,9,236,1,0
"0010013",12,24,23,329,12,6
"0010015",13,10,12,250,4,0
"0010016",14,15,6,160,0,1
"0010017",15,6,7,174,1,2
"0010018",16,24,13,354,3,2
"0010019",17,21,15,399,9,2
"0010020",18,17,17,253,7,2
"0010021",19,34,18,435,4,3
"0010022",20,14,11,300,1,2
"0010023",21,10,9,291,3,5
"0010024",22,11,8,209,0,1
"0030001",23,16,24,309,12,15
"0030002",24,44,53,653,18,17
"0030003",25,24,32,452,10,5
"0030004",26,22,24,367,11,5
"0050001",27,2,2,61,1,1
"0050002",28,7,6,60,1,0
"0050003",29,10,16,261,8,3
"0050004",30,10,4,187,2,2
"0050005",31,10,8,205,1,3
"0050006",32,6,2,90,1,1
"0050007",33,12,11,223,1,4
"0050008",34,16,8,166,0,1
"0050009",35,1,7,58,1,2
"0050010A",36,4,3,104,3,2
"0050010B",37,0,0,13,0,0
"0050011",38,21,11,350,4,6
"0050012",39,9,10,154,1,2
"0050013",40,6,3,77,1,1
"0050014",41,14,24,289,4,3
"0050015",42,13,3,147,2,0
"0050016",43,20,20,215,4,4
"0050017",44,17,20,280,2,8
"0050018",45,9,11,88,0,0
"0050019",46,21,14,283,4,5
"0050020",47,2,3,33,1,4
"0050021",48,7,4,115,1,1
"0050022",49,20,15,268,1,4
"0050023",50,11,6,106,1,1
"0050024",51,15,13,341,4,2
"0050025",52,21,8,317,5,3
"0050026",53,9,10,361,6,3
"0050027",54,7,0,94,2,1
"0050028",55,13,11,202,1,4
"0050029",56,14,5,244,0,4
"0050030",57,15,4,140,2,4
"0050031",58,4,3,60,2,1
"0050032",59,0,0,5,0,0
"0050033",60,20,12,251,2,5
"0050034",61,27,31,349,7,11
"0050035",62,17,10,356,5,4
"0050037",63,4,3,80,1,0
"0050038",64,4,3,75,0,1
"0050039",65,3,7,62,2,1
"0050040",66,9,7,93,1,5
"005011B",67,11,5,117,3,2
"005017B",68,1,3,58,0,5
"0070001",69,14,31,311,15,4
"0070002",70,21,41,474,37,12
"0070003",71,39,83,803,30,16
"0070004",72,33,66,695,42,9
"007001A",73,1,5,128,2,1
"007004A",74,11,20,273,6,9
"0090001",75,7,7,204,2,5
"0090002",76,5,3,131,1,0
"0090003",77,4,7,106,0,2
"0090004",78,3,0,222,0,2
"0090005",79,2,4,52,2,2
"0090006",80,8,14,279,3,2
"0090007",81,2,0,60,1,0
"0090008",82,1,1,75,0,2
"0090009",83,1,2,36,0,1
"0090010",84,5,9,140,1,2
"0090011",85,0,0,8,0,0
"0090012",86,1,1,18,0,1
"0090013",87,0,0,24,0,0
"0110101",88,7,11,130,1,2
"0110201",89,4,3,78,0,2
"0110202",90,0,1,28,0,2
"0110301",91,6,5,120,2,1
"0110303",92,1,0,18,1,0
"0110401",93,1,2,64,0,0
"0110402",94,1,5,65,1,0
"0110404",95,0,0,13,0,0
"0130001",96,14,4,116,0,2
"0130003",97,6,11,118,3,6
"0130004",98,2,2,42,1,1
"0130005",99,4,3,92,0,0
"0130006",100,2,2,20,0,1
"0130007",101,14,17,152,3,6
"0130008",102,5,2,57,1,2
"0130009",103,7,10,136,1,2
"0130010",104,0,1,49,0,0
"0130011",105,4,15,168,4,2
"0130012",106,8,7,112,2,2
"0130013",107,15,28,273,7,6
"0130014",108,2,2,25,0,1
"0130015",109,18,15,242,9,4
"0130017",110,3,4,90,3,1
"0130018",111,5,3,121,0,5
"0130019",112,6,4,58,0,1
"0130020",113,32,42,626,16,5
"0130021",114,15,12,190,1,3
"0130022",115,7,8,150,1,0
"0150101",116,4,9,215,1,1
"0150102",117,13,7,213,6,2
"0150103",118,8,21,329,10,4
"0150104",119,2,11,176,2,1
"0150205",120,23,22,524,6,8
"0150206",121,3,14,272,2,3
"0150207",122,8,5,169,3,0
"0150208",123,1,5,107,5,0
"0150309",124,2,6,144,1,3
"0150310",125,8,18,366,10,2
"0150311",126,3,7,84,0,1
"0150412",127,1,2,62,0,0
"0150413",128,7,10,213,2,1
"0150414",129,8,10,171,4,2
"0150415",130,3,9,181,4,3
"0170001",131,5,14,259,2,3
"0170002",132,12,21,359,3,3
"0170003",133,1,13,137,6,4
"0170004A",134,7,3,64,2,0
"0170004B",135,1,0,2,0,0
"0190101",136,12,21,220,11,2
"0190102",137,19,28,397,8,5
"0190203",138,13,21,248,8,4
"0190204",139,10,13,203,4,3
"0190305",140,30,35,419,7,9
"0190306",141,14,22,367,7,3
"0190407",142,17,25,354,22,5
"0190408",143,3,13,45,1,2
"0190409",144,6,15,89,0,3
"0190410",145,3,5,122,1,1
"0211001",146,5,8,43,2,2
"0211002",147,4,9,88,4,1
"0211003",148,25,42,294,16,6
"0211004",149,13,31,226,14,12
"0211005",150,11,13,120,4,2
"0211006",151,15,21,177,7,0
"0211007",152,18,18,182,7,4
"0211008",153,13,13,138,7,3
"0211009",154,13,19,241,4,6
"0212010",155,7,10,86,3,2
"0212011",156,17,18,172,9,3
"0212012",157,11,14,169,7,4
"0212013",158,28,36,339,17,12
"0212014",159,22,22,362,11,7
"0212015",160,28,27,354,11,2
"0212016",161,28,41,383,12,8
"0213017",162,27,28,288,11,3
"0213018",163,23,21,208,7,2
"0213019",164,14,13,231,2,1
"0213020",165,16,19,153,9,3
"0214021",166,36,37,305,17,9
"0214022",167,23,18,205,12,5
"0214023",168,11,14,148,5,0
"0214024",169,28,13,181,10,1
"0214025",170,10,8,172,7,2
"0214026",171,12,15,150,12,7
"0230001",172,3,6,109,2,4
"0230002",173,0,3,91,4,1
"0230003",174,1,2,70,0,2
"0230004",175,2,8,142,0,0
"0250001",176,9,17,179,6,1
"0250002",177,4,6,80,0,0
"0250003",178,5,7,124,2,1
"0250004",179,1,5,56,1,0
"0250005",180,3,10,130,1,3
"0250006",181,4,6,87,1,0
"0250009",182,1,1,20,2,1
"0250010",183,3,4,30,2,0
"0250013",184,10,4,136,1,1
"0250016",185,6,7,98,4,2
"0250017",186,4,4,78,2,1
"0250018",187,9,14,242,5,3
"0250019",188,0,0,7,0,0
"0270101",189,20,34,436,8,8
"0270102",190,30,42,599,9,10
"0270103",191,8,12,174,2,2
"0270104",192,26,29,492,11,11
"0270105",193,17,6,227,7,3
"0270106",194,10,8,123,2,8
"0270107",195,6,3,62,1,0
"0270108",196,18,12,283,2,2
"0270109",197,7,9,103,4,1
"0270110",198,1,2,24,1,1
"0270111",199,16,16,218,9,10
"0270113",200,25,27,410,6,10
"0270114",201,17,26,236,5,6
"0270115",202,36,40,598,16,16
"0270116",203,4,5,50,1,2
"0270117",204,0,0,0,0,0
"0270118",205,11,14,244,2,2
"0270119",206,11,19,158,4,7
"0270201",207,15,17,166,2,2
"0270202",208,21,25,404,3,5
"0270203",209,42,51,706,19,15
"0270204",210,2,10,98,2,3
"0270205",211,13,12,203,2,6
"0270206",212,3,8,120,3,5
"0270207",213,12,9,95,5,5
"0270208",214,4,7,162,2,3
"0270209",215,21,19,239,7,8
"0270210",216,8,5,145,1,5
"0270211",217,0,6,53,0,0
"0270212",218,6,5,63,1,3
"0270213",219,51,62,847,17,15
"0270214",220,15,15,178,4,7
"0270215",221,14,16,197,5,6
"0270216",222,14,17,277,5,4
"0270301",223,27,17,498,4,8
"0270302",224,28,29,467,7,9
"0270303",225,25,28,382,7,9
"0270304",226,0,1,54,0,0
"0270305",227,25,23,377,11,5
"0270306",228,15,10,124,4,1
"0270307",229,7,10,69,1,5
"0270308",230,30,33,368,5,11
"0270309",231,8,14,224,3,4
"0270310",232,4,6,94,1,1
"0270311",233,26,20,485,4,5
"0270312",234,11,13,250,2,3
"0270313",235,53,47,706,13,10
"0270314",236,11,16,248,5,1
"0270315",237,14,15,247,5,6
"0270317",238,15,12,194,3,3
"0270318",239,22,17,329,6,10
"0270319",240,33,32,425,7,8
"0270401",241,10,10,166,2,6
"0270402",242,14,13,251,3,5
"0270404",243,15,10,119,2,1
"0270405",244,5,2,49,4,4
"0270406",245,14,22,182,1,1
"0270408",246,8,11,162,4,4
"0270409",247,5,10,134,3,2
"0270410",248,4,4,57,1,1
"0270412",249,5,5,77,2,3
"0270413",250,3,2,58,1,0
"0270414",251,2,6,67,2,2
"0270415",252,15,15,122,3,2
"0270419",253,6,6,152,2,4
"0291001",254,2,1,9,0,0
