CNTYVTD,VTDKEY,Voter_Registration,Turnout,Spanish_Surname_Voter_Registration,Spanish_Surname_Turnout
"0010001",1,1808,465,136,0.0333333333333333
"0010002",2,2468,655,93,0.0153609831029186
"0010003",3,1172,344,48,0.0142450142450142
"0010004",4,1531,394,41,0.00761421319796954
"0010005",5,294,108,7,0.0277777777777778
"0010006",6,1388,149,120,0.0273972602739726
"0010007",7,1361,52,234,0.0392156862745098
"0010008",8,345,28,62,0.037037037037037
"0010009",9,1297,291,67,0.013745704467354
"0010010",10,536,118,35,0.0517241379310345
"0010011",11,1233,260,42,0.0153256704980843
"0010013",12,1712,414,163,0.0337349397590361
"0010015",13,905,282,46,0.0242214532871972
"0010016",14,794,188,34,0.0271739130434783
"0010017",15,816,192,58,0.0208333333333333
"0010018",16,2012,407,51,0.0123762376237624
"0010019",17,2176,460,186,0.0350877192982456
"0010020",18,1144,316,156,0.0220820189274448
"0010021",19,1800,510,116,0.021484375
"0010022",20,974,347,42,0.0233236151603499
"0010023",21,1266,323,38,0.0154320987654321
"0010024",22,813,237,24,0.0258620689655172
"0030001",23,2103,376,860,0.244332493702771
"0030002",24,2514,807,663,0.138533178114086
"0030003",25,2390,543,951,0.228522336769759
"0030004",26,2285,430,1114,0.306487695749441
"0050001",27,551,70,145,0.0694444444444444
"0050002",28,2539,76,467,0.131578947368421
"0050003",29,1811,301,196,0.0572390572390572
"0050004",30,1960,213,233,0.0233644859813084
"0050005",31,1957,233,277,0.043859649122807
"0050006",32,602,103,53,0.0297029702970297
"0050007",33,1186,260,63,0.00790513833992095
"0050008",34,683,198,17,0.024390243902439
"0050009",35,294,71,18,0.0126582278481013
"0050010A",36,1173,120,177,0.031496062992126
"0050010B",37,144,11,34,0
"0050011",38,2076,402,69,0.0151133501259446
"0050012",39,859,178,48,0.0171428571428571
"0050013",40,683,96,81,0.0204081632653061
"0050014",41,1786,347,177,0.0644257703081232
"0050015",42,650,171,148,0.0755813953488372
"0050016",43,2210,270,825,0.172284644194757
"0050017",44,1471,342,24,0.00591715976331361
"0050018",45,697,112,63,0.0280373831775701
"0050019",46,1438,344,60,0.0235294117647059
"0050020",47,2901,45,530,0.0888888888888889
"0050021",48,724,128,19,0.0317460317460317
"0050022",49,1762,322,68,0.0216049382716049
"0050023",50,447,130,17,0.0245398773006135
"0050024",51,2661,388,333,0.0373333333333333
"0050025",52,2246,362,241,0.0354223433242507
"0050026",53,1531,399,72,0.0203562340966921
"0050027",54,356,111,11,0
"0050028",55,1095,241,156,0.0677966101694915
"0050029",56,1516,279,87,0.00716845878136201
"0050030",57,1061,175,26,0.00578034682080925
"0050031",58,451,72,101,0.0289855072463768
"0050032",59,28,5,0,0
"0050033",60,1430,304,24,0.0228758169934641
"0050034",61,2165,455,114,0.0334821428571429
"0050035",62,1831,404,106,0.0270935960591133
"0050037",63,461,92,47,0.0520833333333333
"0050038",64,418,90,60,0.0224719101123595
"0050039",65,506,76,37,0.0886075949367089
"0050040",66,750,120,74,0.075
"005011B",67,1295,140,35,0.00671140939597315
"005017B",68,484,76,5,0.038961038961039
"0070001",69,2165,381,281,0.140350877192982
"0070002",70,3749,585,1184,0.279674796747967
"0070003",71,4301,993,411,0.0510805500982318
"0070004",72,3901,847,354,0.0584192439862543
"007001A",73,1862,141,381,0.0416666666666667
"007004A",74,1110,321,90,0.0391566265060241
"0090001",75,1409,234,54,0.0210970464135021
"0090002",76,721,141,12,0.00694444444444444
"0090003",77,384,119,22,0.00840336134453781
"0090004",78,662,232,38,0
"0090005",79,175,62,1,0
"0090006",80,1192,324,30,0
"0090007",81,222,65,4,0.0147058823529412
"0090008",82,321,82,9,0
"0090009",83,144,40,1,0
"0090010",84,786,163,26,0.0120481927710843
"0090011",85,29,8,8,0
"0090012",86,87,23,0,0
"0090013",87,134,25,0,0
"0110101",88,357,156,12,0.0306748466257669
"0110201",89,231,93,13,0.0101010101010101
"0110202",90,80,37,1,0
"0110301",91,318,144,10,0.0193548387096774
"0110303",92,67,20,2,0.0416666666666667
"0110401",93,148,76,4,0
"0110402",94,176,77,8,0.0481927710843374
"0110404",95,27,13,0,0
"0130001",96,811,138,314,0.195804195804196
"0130003",97,1395,145,651,0.163398692810458
"0130004",98,865,48,479,0.24
"0130005",99,1455,101,965,0.252427184466019
"0130006",100,351,26,160,0.25
"0130007",101,1691,192,1041,0.326829268292683
"0130008",102,483,67,226,0.144927536231884
"0130009",103,2058,156,1257,0.234177215189873
"0130010",104,428,50,225,0.230769230769231
"0130011",105,1486,197,719,0.209756097560976
"0130012",106,1255,132,716,0.287769784172662
"0130013",107,2467,337,1087,0.17877094972067
"0130014",108,191,30,50,0.178571428571429
"0130015",109,2585,293,1562,0.315614617940199
"0130017",110,2213,102,1765,0.415254237288136
"0130018",111,1597,136,1064,0.205479452054795
"0130019",112,449,70,199,0.188405797101449
"0130020",113,3362,725,960,0.142666666666667
"0130021",114,886,231,311,0.108225108225108
"0130022",115,691,166,253,0.244186046511628
"0150101",116,1342,236,145,0.0204918032786885
"0150102",117,1312,247,123,0.0522088353413655
"0150103",118,1400,380,75,0.0205655526992288
"0150104",119,793,193,81,0.0263157894736842
"0150205",120,2621,602,175,0.0231023102310231
"0150206",121,1219,299,55,0.012779552715655
"0150207",122,698,192,45,0.0203045685279188
"0150208",123,568,117,22,0.00763358778625954
"0150309",124,561,157,50,0.00671140939597315
"0150310",125,2682,425,427,0.0432692307692308
"0150311",126,1161,96,344,0.0606060606060606
"0150412",127,649,68,73,0.0434782608695652
"0150413",128,1327,235,192,0.0357142857142857
"0150414",129,1334,196,285,0.054726368159204
"0150415",130,1489,201,301,0.0441176470588235
"0170001",131,1035,294,399,0.163333333333333
"0170002",132,1119,415,274,0.0885167464114833
"0170003",133,862,163,481,0.302325581395349
"0170004A",134,562,80,433,0.420454545454545
"0170004B",135,115,4,21,0.333333333333333
"0190101",136,1556,270,176,0.0636704119850187
"0190102",137,2552,472,266,0.0526315789473684
"0190203",138,2193,299,261,0.0704697986577181
"0190204",139,1566,235,227,0.0425531914893617
"0190305",140,2676,529,351,0.0509433962264151
"0190306",141,1404,437,101,0.0273348519362187
"0190407",142,2006,440,184,0.0320366132723112
"0190408",143,257,70,15,0.0144927536231884
"0190409",144,809,114,122,0.0701754385964912
"0190410",145,494,135,28,0.00740740740740741
"0211001",146,305,65,20,0.0615384615384615
"0211002",147,507,111,49,0.036036036036036
"0211003",148,1889,407,221,0.058968058968059
"0211004",149,1921,316,297,0.0774193548387097
"0211005",150,933,157,103,0.0629370629370629
"0211006",151,2394,229,661,0.087719298245614
"0211007",152,1467,245,138,0.0526315789473684
"0211008",153,1070,180,160,0.0552763819095477
"0211009",154,2074,297,417,0.0477815699658703
"0212010",155,663,113,62,0.0707964601769911
"0212011",156,1297,230,154,0.0628019323671498
"0212012",157,1134,217,95,0.0430622009569378
"0212013",158,2554,451,283,0.0618101545253863
"0212014",159,2561,437,299,0.037037037037037
"0212015",160,2770,448,299,0.0455580865603645
"0212016",161,2249,497,172,0.034136546184739
"0213017",162,2300,377,287,0.0714285714285714
"0213018",163,1494,272,126,0.0259259259259259
"0213019",164,2388,271,724,0.147058823529412
"0213020",165,2504,210,1020,0.164251207729469
"0214021",166,2534,411,372,0.0738916256157636
"0214022",167,2033,272,372,0.0932835820895522
"0214023",168,1114,186,108,0.0486486486486487
"0214024",169,1535,243,349,0.076271186440678
"0214025",170,1923,220,638,0.0504587155963303
"0214026",171,1730,204,376,0.0728155339805825
"0230001",172,608,124,48,0.0447761194029851
"0230002",173,593,102,36,0.0194174757281553
"0230003",174,572,79,50,0
"0230004",175,569,155,45,0.0454545454545455
"0250001",176,2141,214,1135,0.155963302752294
"0250002",177,546,92,207,0.127659574468085
"0250003",178,1733,140,931,0.251748251748252
"0250004",179,602,63,248,0.0461538461538462
"0250005",180,940,150,387,0.126666666666667
"0250006",181,1266,99,622,0.164948453608247
"0250009",182,782,25,678,0.576923076923077
"0250010",183,1624,39,1274,0.444444444444444
"0250013",184,1439,152,797,0.121019108280255
"0250016",185,989,117,536,0.24390243902439
"0250017",186,1203,92,788,0.208791208791209
"0250018",187,1619,273,600,0.116197183098592
"0250019",188,659,7,525,0.375
"0270101",189,2737,520,191,0.062015503875969
"0270102",190,3742,729,324,0.0407608695652174
"0270103",191,1828,211,521,0.0521327014218009
"0270104",192,3224,597,255,0.0284757118927973
"0270105",193,1581,274,150,0.0294117647058824
"0270106",194,4087,152,605,0.0833333333333333
"0270107",195,573,75,110,0.0394736842105263
"0270108",196,1566,349,154,0.0514285714285714
"0270109",197,2962,129,430,0.110236220472441
"0270110",198,2636,29,313,0.0357142857142857
"0270111",199,2788,284,302,0.0520833333333333
"0270113",200,3217,507,585,0.0391389432485323
"0270114",201,2789,297,311,0.0566666666666667
"0270115",202,3968,740,300,0.0309555854643338
"0270116",203,1559,62,247,0.0967741935483871
"0270117",204,0,0,0,0
"0270118",205,1586,293,97,0.0477815699658703
"0270119",206,1737,204,262,0.0742574257425743
"0270201",207,3009,212,367,0.080188679245283
"0270202",208,4088,473,423,0.074468085106383
"0270203",209,2993,892,237,0.0315315315315315
"0270204",210,1938,118,297,0.045045045045045
"0270205",211,5076,243,761,0.100418410041841
"0270206",212,2452,148,309,0.10958904109589
"0270207",213,3562,131,546,0.171875
"0270208",214,4481,184,690,0.120879120879121
"0270209",215,3761,296,409,0.0973154362416107
"0270210",216,3029,170,384,0.111764705882353
"0270211",217,981,61,123,0.0163934426229508
"0270212",218,1033,83,98,0.0963855421686747
