CNTYVTD,VTDKEY,BellD_20P_U.S. Sen,CooperD_20P_U.S. Sen,EdwardsD_20P_U.S. Sen,FosterD_20P_U.S. Sen,GarciaD_20P_U.S. Sen,HarrisD_20P_U.S. Sen,HegarD_20P_U.S. Sen,HernandezD_20P_U.S. Sen,HunterD_20P_U.S. Sen,OceguedaD_20P_U.S. Sen,RamirezD_20P_U.S. Sen,WestD_20P_U.S. Sen
0010001,1,9,4,7,0,12,5,30,4,2,1,8,33
0010002,2,6,2,13,2,10,1,13,8,1,0,3,26
0010003,3,3,5,5,1,0,4,14,3,0,0,1,16
0010004,4,5,3,9,2,2,1,12,3,1,0,3,8
0010005,5,0,1,1,1,0,0,3,0,0,0,0,2
0010006,6,6,8,13,3,11,5,18,5,1,3,4,59
0010007,7,8,9,10,2,9,5,18,11,3,0,9,74
0010008,8,5,4,2,1,7,1,6,3,0,0,0,18
0010009,9,4,1,6,2,3,3,14,4,0,0,4,27
0010010,10,0,1,0,0,0,1,6,1,0,0,1,1
0010011,11,6,2,5,3,3,3,9,1,1,1,2,41
0010013,12,2,6,11,2,4,5,26,6,2,0,8,14
0010015,13,2,4,0,0,4,3,7,1,1,0,1,4
0010016,14,6,2,0,1,1,2,13,4,4,0,1,12
0010017,15,4,2,2,0,2,1,16,3,3,0,5,19
0010018,16,9,6,7,2,7,7,13,3,2,3,0,17
0010019,17,3,11,5,1,9,5,18,7,0,1,10,38
0010020,18,6,1,9,2,5,3,21,6,3,1,3,16
0010021,19,6,2,6,1,6,2,9,5,2,0,6,14
0010022,20,2,2,3,1,2,1,11,4,1,0,1,19
0010023,21,3,1,5,0,5,0,12,2,2,0,2,23
0010024,22,1,0,1,1,1,0,6,1,0,0,0,14
0030001,23,3,3,3,2,18,2,2,8,2,1,4,2
0030002,24,5,1,5,1,14,1,7,8,3,1,5,2
0030003,25,5,4,11,3,9,1,7,8,4,0,10,3
0030004,26,0,1,6,1,17,2,9,7,0,0,8,1
0050001,27,8,0,5,0,4,1,10,0,1,1,7,8
0050002,28,21,48,30,7,20,15,18,7,2,5,30,73
0050003,29,7,9,1,2,8,0,12,5,1,3,10,8
0050004,30,10,17,13,7,6,6,10,7,2,2,9,18
0050005,31,24,10,12,4,10,1,18,7,3,3,12,25
0050006,32,5,2,2,2,2,3,7,1,2,1,2,8
0050007,33,7,2,1,1,3,2,4,2,0,2,4,4
0050008,34,5,1,5,0,2,0,3,0,1,0,1,3
0050009,35,6,0,2,0,3,1,5,2,1,1,2,6
0050010,36,7,16,7,2,11,3,14,10,1,2,9,28
