CNTYVTD,VTDKEY,GrimesD_20P_U.S. Rep 31,HankeD_20P_U.S. Rep 31,ImamD_20P_U.S. Rep 31,JanjigianD_20P_U.S. Rep 31,MannD_20P_U.S. Rep 31,YoungD_20P_U.S. Rep 31
270101,189,19,23,64,13,81,41
270102,190,21,21,102,17,110,48
270103,191,16,5,38,5,47,24
270104,192,19,12,69,10,91,47
270105,193,6,9,27,0,26,17
270106,194,55,19,141,19,98,106
270107,195,1,1,9,1,9,6
270108,196,7,6,19,3,17,5
270109,197,37,15,67,10,56,64
270110,198,6,1,16,2,21,11
270111,199,24,16,92,9,68,66
270113,200,22,14,92,16,82,39
270114,201,30,19,90,7,78,65
270115,202,25,20,88,15,110,66
270116,203,23,10,53,9,40,40
270117,204,0,0,0,0,0,0
270118,205,8,11,36,5,57,20
270119,206,18,11,42,8,38,24
270201,207,31,12,84,12,64,57
270202,208,40,21,134,14,98,87
270203,209,11,18,60,15,88,30
270204,210,19,8,56,4,42,37
270205,211,61,34,163,21,154,126
270206,212,40,21,91,10,68,69
270207,213,39,21,85,15,87,87
270208,214,51,36,186,16,157,154
270209,215,45,28,168,17,127,102
270210,216,53,19,136,10,85,100
270211,217,9,6,24,1,25,18
270212,218,15,6,49,4,32,26
270213,219,13,19,74,12,118,34
270214,220,61,27,149,16,105,110
270215,221,52,37,173,22,139,140
270216,222,31,13,97,10,81,64
270301,223,16,13,49,6,40,37
270302,224,40,35,124,21,111,76
270303,225,44,31,148,33,171,79
270304,226,3,0,7,0,10,3
270305,227,21,19,56,9,66,30
270306,228,27,17,93,10,74,56
270307,229,47,20,95,10,86,70
270308,230,34,32,121,12,101,68
270309,231,7,4,22,2,20,10
270310,232,0,2,3,1,5,3
270311,233,12,17,40,6,42,18
270312,234,7,3,24,1,27,17
270313,235,32,32,116,18,127,60
270314,236,22,23,59,11,56,42
270315,237,17,20,73,10,85,48
270317,238,6,6,49,4,42,18
270318,239,27,26,103,12,96,65
270319,240,19,20,106,15,90,45
270401,241,8,3,25,2,31,14
270402,242,19,8,51,5,45,29
270404,243,46,25,111,20,84,67
270405,244,0,0,0,0,0,0
270406,245,24,13,64,9,66,54
270408,246,38,28,135,20,96,83
270409,247,26,13,89,10,60,74
270410,248,28,9,68,6,43,41
270412,249,10,4,27,2,20,18
270414,251,0,0,0,0,0,0
270415,252,38,25,114,22,89,78
270419,253,13,4,39,3,31,19
4910116,9460,27,18,83,12,106,29
4910116,9461,0,0,0,0,0,0
4910117,9462,98,51,276,65,262,100
4910118,9463,70,29,246,77,236,72
4910119,9464,54,36,146,21,244,82
4910122,9465,8,4,23,3,31,10
4910123,9466,70,26,177,13,152,76
4910135,9467,68,23,205,17,141,76
4910136,9468,3,1,15,1,10,3
4910138,9469,34,18,83,11,119,43
4910139,9470,60,24,180,15,145,78
4910143,9471,11,5,25,2,21,8
4910144,9472,15,6,36,6,32,16
4910145,9473,52,24,116,12,114,52
4910146,9474,86,43,315,34,316,98
4910147,9475,114,59,395,47,363,126
4910149,9476,44,24,109,12,96,63
4910150,9477,91,33,201,17,212,118
4910151,9478,91,48,386,40,411,116
4910155,9479,63,21,183,11,173,106
4910162,9480,86,43,376,28,366,95
4910163,9481,56,22,148,14,134,102
4910164,9482,11,3,22,3,19,16
4910166,9483,45,23,98,15,110,38
4910173,9484,42,28,154,20,197,53
4910174,9485,50,23,140,34,128,50
4910175,9486,71,24,202,43,198,65
4910180,9487,77,31,266,18,215,116
4910181,9488,37,13,119,9,97,57
4910182,9489,16,9,44,5,69,19
