CNTYVTD,VTDKEY,BennetD_20P_President,BidenD_20P_President,BloombergD_20P_President,BookerD_20P_President,CastroD_20P_President,De La FuenteD_20P_President,DelaneyD_20P_President,GabbardD_20P_President,KlobucharD_20P_President,PatrickD_20P_President,SandersD_20P_President,SteyerD_20P_President,WarrenD_20P_President,WellsD_20P_President,WilliamsonD_20P_President,YangD_20P_President,ButtigiegD_20P_President,BennetD_20P_President_Percentage,BidenD_20P_President_Percentage,BloombergD_20P_President_Percentage,BookerD_20P_President_Percentage,CastroD_20P_President_Percentage,De La FuenteD_20P_President_Percentage,DelaneyD_20P_President_Percentage,GabbardD_20P_President_Percentage,KlobucharD_20P_President_Percentage,PatrickD_20P_President_Percentage,SandersD_20P_President_Percentage,SteyerD_20P_President_Percentage,WarrenD_20P_President_Percentage,WellsD_20P_President_Percentage,WilliamsonD_20P_President_Percentage,YangD_20P_President_Percentage,ButtigiegD_20P_President_Percentage
10001,1,0,50,30,0,1,1,0,0,2,0,27,1,7,0,0,1,1,0.0,0.4132231404958678,0.24793388429752067,0.0,0.008264462809917356,0.008264462809917356,0.0,0.0,0.01652892561983471,0.0,0.2231404958677686,0.008264462809917356,0.05785123966942149,0.0,0.0,0.008264462809917356,0.008264462809917356
10002,2,0,38,9,0,0,0,0,0,0,0,28,2,6,0,0,1,2,0.0,0.4418604651162791,0.10465116279069768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32558139534883723,0.023255813953488372,0.06976744186046512,0.0,0.0,0.011627906976744186,0.023255813953488372
10003,3,0,22,17,0,0,0,0,0,2,0,12,2,1,0,0,0,4,0.0,0.36666666666666664,0.2833333333333333,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.0,0.2,0.03333333333333333,0.016666666666666666,0.0,0.0,0.0,0.06666666666666667
10004,4,0,15,8,0,0,0,0,1,3,0,15,0,6,0,0,1,6,0.0,0.2727272727272727,0.14545454545454545,0.0,0.0,0.0,0.0,0.01818181818181818,0.05454545454545454,0.0,0.2727272727272727,0.0,0.10909090909090909,0.0,0.0,0.01818181818181818,0.10909090909090909
10005,5,0,2,1,0,0,0,0,0,1,0,4,0,0,0,0,0,1,0.0,0.2222222222222222,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.4444444444444444,0.0,0.0,0.0,0.0,0.0,0.1111111111111111
10006,6,1,87,23,0,1,1,0,2,1,0,30,0,4,1,0,0,4,0.0064516129032258064,0.5612903225806452,0.14838709677419354,0.0,0.0064516129032258064,0.0064516129032258064,0.0,0.012903225806451613,0.0064516129032258064,0.0,0.1935483870967742,0.0,0.025806451612903226,0.0064516129032258064,0.0,0.0,0.025806451612903226
10007,7,0,87,46,4,1,0,0,0,0,0,28,1,1,0,0,0,1,0.0,0.514792899408284,0.27218934911242604,0.023668639053254437,0.005917159763313609,0.0,0.0,0.0,0.0,0.0,0.16568047337278108,0.005917159763313609,0.005917159763313609,0.0,0.0,0.0,0.005917159763313609
10008,8,0,20,13,0,0,0,0,0,0,0,9,0,3,0,0,0,2,0.0,0.425531914893617,0.2765957446808511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19148936170212766,0.0,0.06382978723404255,0.0,0.0,0.0,0.0425531914893617
10009,9,0,34,13,0,0,0,0,0,1,0,19,0,3,0,0,0,0,0.0,0.4857142857142857,0.18571428571428572,0.0,0.0,0.0,0.0,0.0,0.014285714285714285,0.0,0.2714285714285714,0.0,0.04285714285714286,0.0,0.0,0.0,0.0
10010,10,0,4,0,0,0,0,0,0,0,0,4,0,5,1,0,0,1,0.0,0.26666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26666666666666666,0.0,0.3333333333333333,0.06666666666666667,0.0,0.0,0.06666666666666667
