CNTYVTD,VTDKEY,BennetD_20P_President,BidenD_20P_President,BloombergD_20P_President,BookerD_20P_President,CastroD_20P_President,De La FuenteD_20P_President,DelaneyD_20P_President,GabbardD_20P_President,KlobucharD_20P_President,PatrickD_20P_President,SandersD_20P_President,SteyerD_20P_President,WarrenD_20P_President,WellsD_20P_President,WilliamsonD_20P_President,YangD_20P_President,ButtigiegD_20P_President
"0010001",1,0,50,30,0,1,1,0,0,2,0,27,1,7,0,0,1,1
"0010002",2,0,38,9,0,0,0,0,0,0,0,28,2,6,0,0,1,2
"0010003",3,0,22,17,0,0,0,0,0,2,0,12,2,1,0,0,0,4
"0010004",4,0,15,8,0,0,0,0,1,3,0,15,0,6,0,0,1,6
"0010005",5,0,2,1,0,0,0,0,0,1,0,4,0,0,0,0,0,1
"0010006",6,1,87,23,0,1,1,0,2,1,0,30,0,4,1,0,0,4
"0010007",7,0,87,46,4,1,0,0,0,0,0,28,1,1,0,0,0,1
"0010008",8,0,20,13,0,0,0,0,0,0,0,9,0,3,0,0,0,2
"0010009",9,0,34,13,0,0,0,0,0,1,0,19,0,3,0,0,0,0
"0010010",10,0,4,0,0,0,0,0,0,0,0,4,0,5,1,0,0,1
"0010011",11,0,44,19,1,2,0,0,1,0,0,9,0,3,0,0,0,2
"0010013",12,0,40,20,0,0,2,0,0,3,0,18,3,8,2,0,0,2
"0010015",13,0,8,7,0,0,0,0,0,0,0,12,0,2,0,0,0,2
"0010016",14,0,23,11,0,0,0,0,0,0,0,13,1,1,0,0,0,1
"0010017",15,0,35,6,0,0,0,0,0,0,0,18,0,0,0,0,0,1
"0010018",16,0,47,13,1,0,0,0,0,4,0,12,1,4,0,1,0,1
"0010019",17,0,62,18,0,0,0,0,0,0,0,28,1,3,0,0,0,3
"0010020",18,0,42,16,0,2,0,0,1,0,0,16,0,4,0,0,0,3
"0010021",19,0,28,14,0,0,1,0,0,1,0,14,2,1,0,0,0,4
"0010022",20,0,26,8,2,0,1,0,0,0,0,7,1,3,2,0,0,3
"0010023",21,0,35,4,0,0,0,0,0,0,0,10,5,4,0,0,0,0
"0010024",22,0,14,4,0,0,0,0,0,3,0,3,1,0,0,0,0,0
"0030001",23,0,23,5,0,1,0,0,0,0,0,17,0,6,0,0,0,1
"0030002",24,0,20,9,0,0,0,0,0,0,0,19,0,6,0,0,0,2
"0030003",25,0,19,13,1,0,0,0,0,1,0,25,2,4,0,0,1,0
"0030004",26,0,19,6,0,1,0,0,0,1,0,23,0,6,0,0,0,0
"0050001",27,0,23,8,0,0,0,0,0,2,0,11,0,4,0,0,0,1
"0050002",28,0,190,50,0,0,0,0,1,3,0,42,1,9,1,2,1,4
"0050003",29,1,33,15,0,1,0,0,0,0,0,16,0,7,0,1,0,0
"0050004",30,0,62,18,1,3,0,1,0,3,1,19,0,7,0,1,1,4
"0050005",31,2,64,22,1,0,0,0,2,3,0,34,0,14,0,0,0,1
"0050006",32,0,18,3,0,1,0,0,1,2,1,7,1,2,0,0,0,2
"0050007",33,0,24,3,0,0,0,0,0,5,0,7,0,1,0,0,0,1
"0050008",34,0,14,4,0,0,1,0,0,0,0,5,0,1,0,0,0,2
"0050009",35,0,23,3,0,0,0,0,0,2,0,2,0,1,0,0,0,2
"0050010A",36,1,56,20,0,0,0,1,0,1,0,25,0,7,0,1,1,4
