CNTYVTD,VTDKEY,AllredD_20P_U.S. Rep 32
"0850027",1660,313
"0850056",1689,281
"0850083",1716,267
"0850133",1766,233
"0850148",1781,39
"0850153",1786,478
"0850159",1792,327
"0850170",1803,174
"0850174",1807,437
"0850196",1829,180
"0850217",1850,188
"0850232",1865,310
"0850233",1866,142
"0850237",1870,217
"1131004",2031,322
"1131006",2032,385
"1131007",2033,64
"1131040",2035,427
"1131041",2036,76
"1131043",2037,423
"1131050",2044,36
"1131129",2105,12
"1131139",2111,0
"1131141",2113,237
"1131147",2118,143
"1131162",2123,0
"1131164",2125,470
"1131165",2126,486
"1131168",2127,747
"1131171",2130,603
"1131172",2131,462
"1131324",2152,386
"1131325",2153,339
"1131700",2170,203
"1131701",2171,207
"1131702",2172,317
"1131703",2173,292
"1131704",2174,175
"1131705",2175,251
"1131706",2176,284
"1131708",2178,110
"1131709",2179,459
"1131710",2180,189
"1131711",2181,185
"1131712",2182,268
"1131713",2183,102
"1131714",2184,207
"1131715",2185,150
"1131716",2186,281
"1131717",2187,392
"1131718",2188,178
"1131721",2191,300
"1131722",2192,376
"1131723",2193,16
"1131724",2194,12
"1131725",2195,70
"1131726",2196,224
"1131727",2197,25
"1131729",2199,156
"1131732",2202,156
"1131733",2203,367
"1131734",2204,166
"1131735",2205,564
"1131736",2206,224
"1131737",2207,630
"1131738",2208,297
"1131739",2209,408
"1131740",2210,579
"1131741",2211,623
"1131742",2212,603
"1131743",2213,559
"1131745",2215,330
"1131746",2216,243
"1131747",2217,369
"1131748",2218,324
"1131749",2219,464
"1131750",2220,356
"1131751",2221,769
"1131752",2222,531
"1132007",2230,598
"1132008",2231,317
"1132011",2234,418
"1132016",2236,654
"1132017",2237,305
"1132018",2238,175
"1132019",2239,377
"1132020",2240,654
"1132021",2241,680
"1132022",2242,170
"1132023",2243,286
"1132024",2244,344
"1132025",2245,512
"1132026",2246,486
"1132027",2247,268
"1132030",2249,236
"1132031",2250,778
"1132032",2251,432
"1132033",2252,428
"1132035",2253,349
"1132037",2254,189
"1132038",2255,764
"1132039",2256,692
"1132040",2257,381
"1132042",2259,778
"1132043",2260,517
"1132044",2261,214
"1132045",2262,453
"1132046",2263,360
"1132047",2264,472
"1132049",2266,343
"1132050",2267,324
"1132051",2268,477
"1132052",2269,237
"1132056",2273,249
"1132057",2274,110
"1132058",2275,222
"1132077",2278,251
"1132080",2280,40
"1132082",2282,561
"1132083",2283,350
"1132085",2285,56
"1132086",2286,759
"1132087",2287,757
"1132090",2288,8
"1132091",2289,143
"1132092",2290,0
"1132094",2291,154
"1132095",2292,0
"1132098",2295,408
"1132099",2296,990
"1132101",2299,308
"1132102",2300,792
"1132103",2301,229
"1132108",2306,115
"1132109",2307,0
"1132111",2309,6
"1132112",2310,37
"1132113",2311,1
"1132114",2312,659
"1132115",2313,52
"1132116",2314,23
"1132117",2315,0
"1132119",2317,80
"1132120",2318,366
"1132121",2319,129
"1132122",2320,243
"1132123",2321,193
"1132125",2323,682
"1132126",2324,147
"1132127",2325,559
"1132128",2326,554
"1132129",2327,70
"1132130",2328,171
"1132131",2329,303
"1132132",2330,128
"1132133",2331,50
"1132134",2332,156
"1132143",2339,67
"1132144",2340,292
"1132145",2341,568
"1132146",2342,454
"1132147",2343,555
"1132148",2344,182
"1132150",2346,0
"1132151",2347,61
"1132153",2349,272
"1132200",2352,256
"1132201",2353,234
"1132202",2354,270
"1132203",2355,253
"1132220",2356,197
"1132221",2357,448
"1132222",2358,357
"1132223",2359,263
"1132224",2360,345
"1132225",2361,224
"1132226",2362,376
"1132500",2392,264
"1132501",2393,272
"1132502",2394,318
"1132503",2395,493
"1132504",2396,231
"1132505",2397,409
"1132506",2398,393
"1132507",2399,397
"1132508",2400,573
"1132509",2401,511
"1132510",2402,316
"1132511",2403,325
"1132512",2404,247
"1132513",2405,427
"1132514",2406,494
"1132515",2407,121
"1132517",2408,388
"1132518",2409,368
"1132519",2410,414
"1132520",2411,701
"1132521",2412,446
"1132523",2413,299
"1133000",2449,589
"1133081",2530,344
"1133086",2535,567
"1133501",2613,1
"1133701",2638,1
"1133702",2639,0
"1133960",2657,388
"1133961",2658,302
"1133962",2659,497
"1133963",2660,284
"1133964",2661,267
"1133965",2662,381
"1133966",2663,453
"1133967",2664,162
"1133968",2665,436
"1133969",2666,327
"1133970",2667,365
"1133971",2668,267
"1133980",2669,381
"1133981",2670,142
"1133982",2671,333
"1133983",2672,207
"1133984",2673,148
"1134014",2688,392
"1134018",2692,256
"1134020",2694,182
"1134021",2695,660
"1134100",2770,8
"1134126",2788,329
"1134127",2789,86
"1134128",2790,225
"1134129",2791,248
"1134131",2793,478
