CNTYVTD,VTDKEY,AllredD_20G_U.S. Rep 32,CollinsR_20G_U.S. Rep 32,Mowrey PetersonL_20G_U.S. Rep 32,SigmonI_20G_U.S. Rep 32
850027,1660,813,1021,34,10
850056,1689,857,1350,44,14
850083,1716,892,1832,37,12
850133,1766,777,934,43,7
850148,1781,124,151,3,2
850153,1786,1504,1844,33,16
850159,1792,1111,1011,32,11
850170,1803,490,808,23,8
850174,1807,1273,1686,61,20
850196,1829,595,744,23,8
850217,1850,711,1099,31,10
850232,1865,1009,1472,43,17
850233,1866,537,749,24,10
850237,1870,806,737,24,7
1131004,2031,724,582,14,3
1131006,2032,652,756,12,9
1131007,2033,133,209,4,0
1131040,2035,1278,512,47,12
1131041,2036,356,71,8,8
1131043,2037,896,838,26,8
1131050,2044,67,64,1,0
1131129,2105,55,8,0,1
1131139,2111,2,6,0,0
1131141,2113,484,536,15,4
1131147,2118,272,329,3,4
1131162,2123,0,0,0,0
1131164,2125,950,962,24,9
1131165,2126,940,824,17,4
1131168,2127,1335,1081,22,9
1131171,2130,1226,725,23,16
1131172,2131,920,630,27,7
1131324,2152,1030,932,34,17
1131325,2153,906,876,24,17
1131700,2170,805,475,26,18
1131701,2171,709,534,15,12
1131702,2172,1008,703,33,16
1131703,2173,1117,654,28,23
1131704,2174,546,321,13,8
1131705,2175,836,483,22,8
1131706,2176,1100,651,33,20
1131708,2178,265,178,7,6
1131709,2179,1529,548,48,28
1131710,2180,702,130,11,12
1131711,2181,783,470,22,15
1131712,2182,700,692,30,13
1131713,2183,304,372,13,8
1131714,2184,669,529,24,10
1131715,2185,584,278,25,10
1131716,2186,667,900,22,10
1131717,2187,1248,758,52,21
1131718,2188,514,516,18,12
1131721,2191,805,715,20,13
1131722,2192,1186,541,47,18
1131723,2193,76,32,5,1
1131724,2194,48,16,1,2
1131725,2195,153,213,5,1
1131726,2196,706,476,25,14
1131727,2197,100,49,3,3
1131729,2199,636,320,22,11
1131732,2202,520,348,11,9
1131733,2203,1301,962,40,24
1131734,2204,487,499,11,14
1131735,2205,1637,1668,50,34
1131736,2206,548,858,15,3
1131737,2207,1559,2304,39,17
1131738,2208,997,803,42,22
1131739,2209,1146,907,22,21
1131740,2210,1698,1170,50,27
1131741,2211,1789,1411,48,40
1131742,2212,1869,1088,46,30
1131743,2213,1601,1141,43,29
1131745,2215,932,776,32,25
1131746,2216,672,429,12,13
1131747,2217,1055,859,27,18
1131748,2218,845,497,27,8
1131749,2219,1460,938,44,21
1131750,2220,1027,983,19,20
1131751,2221,1961,1636,71,26
1131752,2222,1362,950,32,17
1132007,2230,1086,1455,14,5
1132008,2231,534,677,8,0
1132011,2234,782,935,14,0
1132016,2236,1158,1545,15,10
1132017,2237,903,389,45,8
1132018,2238,359,411,8,3
1132019,2239,671,805,13,4
1132020,2240,1156,816,20,3
1132021,2241,1194,1800,14,4
1132022,2242,323,322,7,1
1132023,2243,544,485,7,6
1132024,2244,724,670,8,3
1132025,2245,923,1320,11,5
1132026,2246,876,1604,12,1
1132027,2247,525,814,11,4
1132030,2249,509,1310,9,3
1132031,2250,1788,1055,79,30
1132032,2251,1028,502,33,26
1132033,2252,958,698,26,10
1132035,2253,856,557,28,6
1132037,2254,474,599,13,5
1132038,2255,1540,1152,22,7
1132039,2256,1378,953,36,13
1132040,2257,793,645,16,7
1132042,2259,1407,1046,23,9
1132043,2260,982,770,21,4
1132044,2261,428,383,8,3
1132045,2262,907,660,13,2
1132046,2263,704,775,17,4
1132047,2264,941,957,23,10
1132049,2266,684,572,11,7
1132050,2267,659,602,12,13
1132051,2268,976,959,25,10
1132052,2269,464,707,8,4
1132056,2273,481,640,7,0
1132057,2274,203,266,2,1
1132058,2275,497,371,11,9
1132077,2278,514,554,14,3
1132080,2280,97,56,3,2
1132082,2282,1316,399,51,22
1132083,2283,807,459,26,10
1132085,2285,137,55,7,1
1132086,2286,1506,694,41,9
1132087,2287,1469,615,36,23
1132090,2288,19,15,1,0
1132091,2289,329,287,4,3
1132092,2290,0,0,0,0
1132094,2291,466,212,17,7
1132095,2292,0,0,0,0
1132098,2295,791,488,20,8
1132099,2296,2039,772,32,14
1132101,2299,680,487,19,8
1132102,2300,1886,1433,61,24
1132103,2301,532,144,11,7
1132108,2306,295,225,13,3
1132109,2307,0,0,0,0
1132111,2309,18,6,1,0
1132112,2310,69,27,2,0
1132113,2311,0,0,0,0
1132114,2312,1103,915,17,13
1132115,2313,107,106,1,1
1132116,2314,62,44,2,1
1132117,2315,0,0,0,0
1132119,2317,175,154,5,5
1132120,2318,925,456,32,10
1132121,2319,559,71,18,10
1132122,2320,694,301,17,8
1132123,2321,773,227,19,8
1132125,2323,1794,193,31,40
1132126,2324,331,134,10,3
1132127,2325,1673,720,36,16
1132128,2326,1132,574,26,19
1132129,2327,250,89,6,2
1132130,2328,580,199,10,7
1132131,2329,895,212,23,17
1132132,2330,381,134,9,7
1132133,2331,88,119,1,1
1132134,2332,485,221,19,7
1132143,2339,196,116,10,2
1132144,2340,689,520,19,6
1132145,2341,1446,891,42,24
1132146,2342,1161,545,45,12
1132147,2343,942,640,19,11
1132148,2344,408,112,13,10
1132150,2346,0,0,0,0
1132151,2347,134,72,5,0
1132153,2349,634,254,16,7
1132200,2352,468,1057,5,5
1132201,2353,482,1059,7,3
1132202,2354,504,1107,6,3
1132203,2355,490,882,9,4
1132220,2356,364,1174,1,5
1132221,2357,825,2192,26,2
1132222,2358,747,1772,13,8
1132223,2359,510,858,9,5
1132224,2360,698,775,18,13
