CNTYVTD,VTDKEY,CarterR_20G_U.S. Rep 31,ImamD_20G_U.S. Rep 31,PattersonL_20G_U.S. Rep 31,CarterR_20G_U.S. Rep 31_Percentage,ImamD_20G_U.S. Rep 31_Percentage,PattersonL_20G_U.S. Rep 31_Percentage
270101,189,1607,562,39,0.7278079710144928,0.2545289855072464,0.017663043478260868
270102,190,2167,759,54,0.7271812080536912,0.25469798657718123,0.018120805369127517
270103,191,939,417,34,0.6755395683453237,0.3,0.02446043165467626
270104,192,1984,620,48,0.7481146304675717,0.23378582202111614,0.01809954751131222
270105,193,1007,166,19,0.8447986577181208,0.13926174496644295,0.015939597315436243
270106,194,786,1376,56,0.35437330928764654,0.6203787195671776,0.025247971145175834
270107,195,250,84,6,0.7352941176470589,0.24705882352941178,0.01764705882352941
270108,196,1043,177,18,0.8424878836833603,0.1429725363489499,0.014539579967689823
270109,197,580,793,38,0.41105598866052445,0.5620127569099929,0.026931254429482635
270110,198,493,384,44,0.5352877307274702,0.4169381107491857,0.04777415852334419
270111,199,1299,761,37,0.6194563662374821,0.36289938006676203,0.01764425369575584
270113,200,1789,672,53,0.7116149562450278,0.26730310262529833,0.021081941129673827
270114,201,1304,772,44,0.6150943396226415,0.3641509433962264,0.020754716981132074
270115,202,2446,777,64,0.7441435959841801,0.236385762093094,0.01947064192272589
270116,203,301,534,23,0.3508158508158508,0.6223776223776224,0.026806526806526808
270117,204,0,0,0,0.0,0.0,0.0
270118,205,932,321,18,0.7332808811959087,0.25255704169944926,0.014162077104642014
270119,206,902,407,39,0.6691394658753709,0.30192878338278933,0.028931750741839762
270201,207,830,792,33,0.5015105740181269,0.47854984894259817,0.019939577039274924
270202,208,1647,1183,58,0.5702908587257618,0.40962603878116344,0.02008310249307479
270203,209,2287,498,49,0.8069865913902611,0.17572335920959775,0.017290049400141144
270204,210,416,564,21,0.4155844155844156,0.5634365634365635,0.02097902097902098
270205,211,928,1622,48,0.35719784449576597,0.6243264049268669,0.018475750577367205
270206,212,560,912,31,0.37258815701929476,0.6067864271457086,0.020625415834996674
270207,213,748,1218,57,0.3697478991596639,0.6020761245674741,0.028175976272862086
270208,214,1046,1711,60,0.37131700390486333,0.6073837415690451,0.021299254526091587
270209,215,1373,1447,70,0.4750865051903114,0.5006920415224914,0.02422145328719723
270210,216,1036,1417,55,0.4130781499202552,0.5649920255183413,0.021929824561403508
270211,217,217,289,11,0.4197292069632495,0.5589941972920697,0.02127659574468085
270212,218,375,391,19,0.47770700636942676,0.4980891719745223,0.024203821656050957
270213,219,2670,585,58,0.8059160881376396,0.17657712043465137,0.017506791427709025
