CNTYVTD,VTDKEY,AllredD_20G_U.S. Rep 32,CollinsR_20G_U.S. Rep 32,Mowrey PetersonL_20G_U.S. Rep 32,SigmonI_20G_U.S. Rep 32,AllredD_20G_U.S. Rep 32_Percentage,CollinsR_20G_U.S. Rep 32_Percentage,Mowrey PetersonL_20G_U.S. Rep 32_Percentage,SigmonI_20G_U.S. Rep 32_Percentage
850027,1660,813,1021,34,10,0.4329073482428115,0.5436634717784877,0.01810436634717785,0.005324813631522897
850056,1689,857,1350,44,14,0.3783664459161148,0.5960264900662252,0.019426048565121413,0.006181015452538631
850083,1716,892,1832,37,12,0.32167327803822576,0.6606563288856834,0.013342949873782907,0.00432744320230797
850133,1766,777,934,43,7,0.44122657580919933,0.5303804656445201,0.02441794434980125,0.003975014196479273
850148,1781,124,151,3,2,0.44285714285714284,0.5392857142857143,0.010714285714285714,0.007142857142857143
850153,1786,1504,1844,33,16,0.442743597291728,0.5428319105092729,0.00971445392993818,0.0047100382690609364
850159,1792,1111,1011,32,11,0.5131639722863741,0.46697459584295614,0.014780600461893764,0.005080831408775982
850170,1803,490,808,23,8,0.3686982693754703,0.6079759217456734,0.01730624529721595,0.006019563581640331
850174,1807,1273,1686,61,20,0.41875,0.5546052631578947,0.02006578947368421,0.006578947368421052
850196,1829,595,744,23,8,0.4343065693430657,0.5430656934306569,0.016788321167883213,0.00583941605839416
850217,1850,711,1099,31,10,0.3841166936790924,0.5937331172339276,0.016747703943814155,0.005402485143165856
850232,1865,1009,1472,43,17,0.3970877607241244,0.5792994883903975,0.016922471467926012,0.006690279417552145
850233,1866,537,749,24,10,0.4068181818181818,0.5674242424242424,0.01818181818181818,0.007575757575757576
850237,1870,806,737,24,7,0.5120711562897078,0.46823379923761116,0.015247776365946633,0.0044472681067344345
1131004,2031,724,582,14,3,0.54724111866969,0.4399092970521542,0.010582010582010581,0.0022675736961451248
1131006,2032,652,756,12,9,0.4562631210636809,0.5290412876137159,0.008397480755773267,0.006298110566829951
1131007,2033,133,209,4,0,0.38439306358381503,0.6040462427745664,0.011560693641618497,0.0
1131040,2035,1278,512,47,12,0.69118442401298,0.27690643591130343,0.02541914548404543,0.006489994591671174
1131041,2036,356,71,8,8,0.8036117381489842,0.16027088036117382,0.01805869074492099,0.01805869074492099
1131043,2037,896,838,26,8,0.5067873303167421,0.47398190045248867,0.014705882352941176,0.004524886877828055
1131050,2044,67,64,1,0,0.5075757575757576,0.48484848484848486,0.007575757575757576,0.0
1131129,2105,55,8,0,1,0.859375,0.125,0.0,0.015625
1131139,2111,2,6,0,0,0.25,0.75,0.0,0.0
1131141,2113,484,536,15,4,0.465832531280077,0.5158806544754572,0.014436958614051972,0.0038498556304138597
1131147,2118,272,329,3,4,0.4473684210526316,0.5411184210526315,0.004934210526315789,0.006578947368421052
1131162,2123,0,0,0,0,0.0,0.0,0.0,0.0
1131164,2125,950,962,24,9,0.4884318766066838,0.49460154241645243,0.012339331619537276,0.004627249357326478
1131165,2126,940,824,17,4,0.5266106442577031,0.461624649859944,0.009523809523809525,0.002240896358543417
1131168,2127,1335,1081,22,9,0.5455659991826727,0.44176542705353494,0.008990600735594606,0.0036779730281977932
1131171,2130,1226,725,23,16,0.6160804020100502,0.36432160804020103,0.011557788944723618,0.008040201005025126
1131172,2131,920,630,27,7,0.5808080808080808,0.3977272727272727,0.017045454545454544,0.004419191919191919
1131324,2152,1030,932,34,17,0.5116741182314953,0.4629905613512171,0.01689021361152509,0.008445106805762544
1131325,2153,906,876,24,17,0.49698299506308286,0.4805266044980801,0.013165112452002194,0.009325287986834888
1131700,2170,805,475,26,18,0.6080060422960725,0.35876132930513593,0.019637462235649546,0.013595166163141994
1131701,2171,709,534,15,12,0.5582677165354331,0.4204724409448819,0.011811023622047244,0.009448818897637795
1131702,2172,1008,703,33,16,0.5727272727272728,0.39943181818181817,0.01875,0.00909090909090909
1131703,2173,1117,654,28,23,0.6130625686059276,0.3589462129527991,0.015367727771679473,0.012623490669593854
1131704,2174,546,321,13,8,0.6148648648648649,0.3614864864864865,0.01463963963963964,0.009009009009009009
1131705,2175,836,483,22,8,0.6197183098591549,0.35804299481097107,0.01630837657524092,0.005930318754633061
1131706,2176,1100,651,33,20,0.6097560975609756,0.36086474501108645,0.018292682926829267,0.011086474501108648
1131708,2178,265,178,7,6,0.581140350877193,0.39035087719298245,0.015350877192982455,0.013157894736842105
1131709,2179,1529,548,48,28,0.7101718532280539,0.25452856479331165,0.02229447282861124,0.013005109150023224
1131710,2180,702,130,11,12,0.8210526315789474,0.15204678362573099,0.012865497076023392,0.014035087719298246
1131711,2181,783,470,22,15,0.6069767441860465,0.3643410852713178,0.017054263565891473,0.011627906976744186
1131712,2182,700,692,30,13,0.4878048780487805,0.48222996515679445,0.020905923344947737,0.009059233449477353
1131713,2183,304,372,13,8,0.43615494978479197,0.533715925394548,0.018651362984218076,0.011477761836441894
1131714,2184,669,529,24,10,0.5430194805194806,0.42938311688311687,0.01948051948051948,0.008116883116883116
1131715,2185,584,278,25,10,0.6510590858416946,0.30992196209587514,0.027870680044593088,0.011148272017837236
