CNTYVTD,VTDKEY,Voter_Registration,Turnout,Spanish_Surname_Voter_Registration,Spanish_Surname_Turnout,Turnout_Rate
10001,1,1847,1164,162,0.0685518423307626,0.6302111532214402
10002,2,2652,1769,94,0.0200892857142857,0.6670437405731523
10003,3,1203,873,57,0.0492554410080183,0.7256857855361596
10004,4,1586,1156,46,0.019047619047619,0.7288776796973518
10005,5,290,215,6,0.0186915887850467,0.7413793103448276
10006,6,1465,783,125,0.06125,0.5344709897610922
10007,7,1398,632,262,0.141955835962145,0.4520743919885551
10008,8,326,171,71,0.178571428571429,0.5245398773006135
10009,9,1394,902,75,0.0380021715526602,0.6470588235294118
10010,10,578,371,45,0.0638297872340425,0.6418685121107266
10011,11,1311,854,50,0.0368663594470046,0.6514111365369947
10013,12,1800,1110,201,0.0834813499111901,0.6166666666666667
10015,13,932,661,53,0.0358744394618834,0.7092274678111588
10016,14,865,631,47,0.0469483568075117,0.7294797687861272
10017,15,861,623,70,0.0506993006993007,0.7235772357723578
10018,16,2126,1438,57,0.0226027397260274,0.676387582314205
10019,17,2308,1481,228,0.0723055934515689,0.641681109185442
10020,18,1190,745,159,0.0847240051347882,0.6260504201680672
10021,19,1872,1274,120,0.0471327572663001,0.6805555555555556
10022,20,1024,750,51,0.0289855072463768,0.732421875
10023,21,1334,978,34,0.0174537987679671,0.7331334332833583
10024,22,862,648,23,0.0230414746543779,0.7517401392111369
30001,23,2461,1330,1028,0.329519450800915,0.5404307192198293
30002,24,2743,1735,767,0.228587962962963,0.6325191396281443
30003,25,2567,1500,1057,0.308981233243968,0.584339696143358
30004,26,2481,1302,1193,0.39453125,0.524788391777509
50001,27,579,284,168,0.203448275862069,0.4905008635578584
50002,28,2624,1367,557,0.204081632653061,0.5209603658536586
50003,29,1879,1203,235,0.100755667506297,0.640234167110165
50004,30,2016,1153,271,0.0980735551663748,0.5719246031746031
50005,31,2006,1099,297,0.111716621253406,0.5478564307078764
50006,32,623,439,65,0.0528735632183908,0.7046548956661316
50007,33,1380,1056,82,0.042654028436019,0.7652173913043478
50008,34,761,592,17,0.0301003344481605,0.7779237844940867
50009,35,298,227,15,0.0307017543859649,0.761744966442953
50010,36,1205,724,200,0.141873278236915,0.6008298755186722
50010,37,167,101,35,0.14,0.6047904191616766
