CNTYVTD,VTDKEY,Voter_Registration,Turnout,Spanish_Surname_Voter_Registration,Spanish_Surname_Turnout
10001,1,1847,1164,162,0.0685518423307626
10002,2,2652,1769,94,0.0200892857142857
10003,3,1203,873,57,0.0492554410080183
10004,4,1586,1156,46,0.019047619047619
10005,5,290,215,6,0.0186915887850467
10006,6,1465,783,125,0.06125
10007,7,1398,632,262,0.141955835962145
10008,8,326,171,71,0.178571428571429
10009,9,1394,902,75,0.0380021715526602
10010,10,578,371,45,0.0638297872340425
10011,11,1311,854,50,0.0368663594470046
10013,12,1800,1110,201,0.0834813499111901
10015,13,932,661,53,0.0358744394618834
10016,14,865,631,47,0.0469483568075117
10017,15,861,623,70,0.0506993006993007
10018,16,2126,1438,57,0.0226027397260274
10019,17,2308,1481,228,0.0723055934515689
10020,18,1190,745,159,0.0847240051347882
10021,19,1872,1274,120,0.0471327572663001
10022,20,1024,750,51,0.0289855072463768
10023,21,1334,978,34,0.0174537987679671
10024,22,862,648,23,0.0230414746543779
30001,23,2461,1330,1028,0.329519450800915
30002,24,2743,1735,767,0.228587962962963
30003,25,2567,1500,1057,0.308981233243968
30004,26,2481,1302,1193,0.39453125
50001,27,579,284,168,0.203448275862069
50002,28,2624,1367,557,0.204081632653061
50003,29,1879,1203,235,0.100755667506297
50004,30,2016,1153,271,0.0980735551663748
50005,31,2006,1099,297,0.111716621253406
50006,32,623,439,65,0.0528735632183908
50007,33,1380,1056,82,0.042654028436019
50008,34,761,592,17,0.0301003344481605
50009,35,298,227,15,0.0307017543859649
50010,36,1205,724,200,0.141873278236915
50010,37,167,101,35,0.14
50011,38,2188,1663,69,0.0223356732610083
50012,39,890,586,64,0.0543293718166384
50013,40,716,435,112,0.125
50014,41,1938,1360,203,0.085419734904271
50015,42,691,481,155,0.184265010351967
50016,43,2255,1231,881,0.323240589198036
50017,44,1592,1199,29,0.0158730158730159
50018,45,725,464,60,0.0567685589519651
50019,46,1423,1083,72,0.041970802919708
50020,47,2832,1363,570,0.155044510385757
50021,48,741,510,23,0.0753968253968254
50022,49,1874,1338,82,0.0335570469798658
50023,50,510,394,32,0.0326633165829146
50024,51,2719,1679,341,0.0970988750740083
50025,52,2389,1558,277,0.0900900900900901
50026,53,1620,1245,81,0.0478850758180367
50027,54,356,284,13,0.0460992907801418
50028,55,1160,847,154,0.104582843713279
50029,56,1569,1094,89,0.0430009149130833
50030,57,1089,758,23,0.0185185185185185
50031,58,480,288,113,0.210344827586207
50032,59,27,20,0,0.0
50033,60,1539,1109,32,0.0170250896057348
50034,61,2280,1594,148,0.0575719649561952
50035,62,1898,1380,121,0.0559593023255814
50037,63,536,373,61,0.0894736842105263
50038,64,437,292,68,0.142857142857143
50039,65,552,348,49,0.0847953216374269
50040,66,757,485,88,0.106694560669456
5011,67,1290,750,43,0.0279465370595383
5017,68,488,317,6,0.0128205128205128
70001,69,2422,1653,310,0.107378524295141
70002,70,3944,2327,1200,0.242281303602058
70003,71,4567,3290,448,0.0787567893783947
70004,72,4202,3027,374,0.0724590163934426
7001,73,1962,1108,410,0.162727272727273
7004,74,1162,885,98,0.0731707317073171
90001,75,1437,1013,53,0.0190763052208835
90002,76,813,637,24,0.0234009360374415
90003,77,385,287,24,0.0272108843537415
90004,78,674,532,47,0.0264150943396226
90005,79,184,147,2,0.0342465753424658
90006,80,1202,847,38,0.0225385527876631
90007,81,229,153,8,0.0394736842105263
90008,82,343,266,12,0.0265151515151515
90009,83,157,125,3,0.0161290322580645
90010,84,815,623,28,0.0257234726688103
90011,85,29,18,9,0.0526315789473684
90012,86,87,57,0,0.0714285714285714
90013,87,147,115,0,0.008695652173913
110101,88,386,291,16,0.0357142857142857
110201,89,248,171,12,0.0406976744186047
110202,90,91,71,1,0.0142857142857143
110301,91,331,254,12,0.0236220472440945
110303,92,58,43,2,0.0
110401,93,156,123,5,0.0241935483870968
110402,94,191,147,10,0.0344827586206897
110404,95,30,23,0,0.0
130001,96,895,599,348,0.31063122923588
130003,97,1512,860,704,0.444444444444444
130004,98,964,506,552,0.545988258317025
130005,99,1628,862,1081,0.564367816091954
130006,100,393,210,177,0.580188679245283
130007,101,1873,1033,1151,0.534167468719923
130008,102,555,391,261,0.433583959899749
130009,103,2403,1330,1438,0.542195668409261
130010,104,515,337,267,0.494117647058824
130011,105,1785,1235,899,0.469026548672566
130012,106,1327,794,786,0.547738693467337
130013,107,2660,1696,1169,0.386202830188679
130014,108,204,149,50,0.486666666666667
130015,109,2775,1588,1681,0.526048284625159
130017,110,2216,1204,1737,0.754400670578374
130018,111,1752,1097,1119,0.558608058608059
130019,112,493,329,217,0.409495548961424
130020,113,3685,2778,1143,0.291845493562232
130021,114,977,712,349,0.269121813031161
130022,115,734,523,274,0.31992337164751
150101,116,1405,947,147,0.0620320855614973
150102,117,1390,1036,149,0.0795228628230616
150103,118,1442,1153,90,0.0524017467248908
150104,119,824,614,91,0.088379705400982
150205,120,2725,2039,214,0.0594490091831803
150206,121,1324,1075,54,0.0365853658536585
150207,122,731,565,48,0.0480427046263345
150208,123,620,505,29,0.0338645418326693
150309,124,607,496,50,0.0645161290322581
150310,125,2863,1975,484,0.134820070957932
150311,126,1194,676,377,0.264264264264264
150412,127,668,449,70,0.0886917960088692
150413,128,1466,1089,225,0.120183486238532
150414,129,1400,922,343,0.183564567769477
150415,130,1584,1019,334,0.1587147030185
170001,131,976,560,389,0.278659611992945
170002,132,1108,711,291,0.173049645390071
170003,133,818,365,468,0.463888888888889
170004,134,527,193,416,0.559585492227979
170004,135,104,31,17,0.4375
190101,136,1757,1281,191,0.101721439749609
190102,137,2743,2111,314,0.110849056603774
190203,138,2361,1745,315,0.124857468643101
190204,139,1770,1305,269,0.141566265060241
190305,140,2832,2045,388,0.105864811133201
190306,141,1514,1127,102,0.0509337860780985
190407,142,2365,1860,222,0.0854430379746835
190408,143,286,238,16,0.0550847457627119
190409,144,913,579,134,0.11472602739726
190410,145,524,425,36,0.0649651972157773
211001,146,371,293,25,0.102389078498294
211002,147,611,485,61,0.105154639175258
211003,148,2287,1815,276,0.105960264900662
211004,149,2056,1392,309,0.127598566308244
211005,150,1192,896,143,0.123059866962306
211006,151,2723,1596,840,0.274497487437186
211007,152,1700,1304,175,0.114527286702537
211008,153,1230,945,192,0.113107822410148
211009,154,2286,1563,533,0.204015544041451
212010,155,783,564,75,0.0964285714285714
212011,156,1672,1267,218,0.119028974158183
212012,157,1330,997,124,0.0802407221664995
212013,158,2991,2246,377,0.111853832442068
212014,159,2977,2224,357,0.0945520036019811
212015,160,3010,2101,338,0.084640989063243
212016,161,2591,2024,220,0.0746195385370643
213017,162,2629,1946,352,0.123259412068076
213018,163,1562,1184,149,0.0824129141886151
213019,164,2663,1682,861,0.275882704967086
213020,165,2936,1777,1263,0.373227453204765
214021,166,2799,1985,447,0.138018200202224
214022,167,2283,1567,432,0.206632653061224
214023,168,1264,897,134,0.118625277161863
214024,169,1737,1218,414,0.185702547247329
214025,170,2205,1516,736,0.219141914191419
214026,171,2060,1463,451,0.222525597269625
230001,172,631,475,52,0.0604166666666667
230002,173,599,430,37,0.0637813211845103
230003,174,597,391,55,0.0582278481012658
230004,175,577,407,41,0.0487804878048781
250001,176,2215,1303,1222,0.484621155288822
250002,177,549,364,204,0.27445652173913
250003,178,1821,995,1011,0.52636815920398
250004,179,622,402,258,0.279012345679012
250005,180,967,589,388,0.322635135135135
250006,181,1272,736,635,0.43010752688172
250009,182,751,454,650,0.874449339207048
250010,183,1579,730,1221,0.762758620689655
250013,184,1590,1005,896,0.505928853754941
250016,185,1073,691,587,0.514032496307238
250017,186,1182,694,757,0.586764705882353
250018,187,1687,1144,656,0.338501291989664
250019,188,669,312,527,0.765079365079365
270101,189,3168,2243,252,0.0828082808280828
270102,190,4307,3029,426,0.0871726881007623
270103,191,2379,1418,659,0.159581881533101
270104,192,3693,2681,318,0.0704911886014248
270105,193,1711,1199,166,0.0748752079866889
270106,194,4458,2264,665,0.141202672605791
