CNTYVTD,VTDKEY,CornynR_20G_U.S. Sen,HegarD_20G_U.S. Sen,McKennonL_20G_U.S. Sen,CollinsG_20G_U.S. Sen
"0010001",1,787,334,24,8
"0010002",2,1521,199,23,10
"0010003",3,736,118,9,3
"0010004",4,1022,112,17,1
"0010005",5,202,9,1,0
"0010006",6,394,362,16,8
"0010007",7,157,455,3,7
"0010008",8,69,93,1,3
"0010009",9,724,156,11,1
"0010010",10,328,37,2,1
"0010011",11,640,189,11,2
"0010013",12,789,288,18,5
"0010015",13,573,72,8,1
"0010016",14,511,105,11,1
"0010017",15,474,129,8,2
"0010018",16,1206,213,13,4
"0010019",17,1091,345,20,9
"0010020",18,551,166,14,9
"0010021",19,1078,169,13,5
"0010022",20,638,101,9,2
"0010023",21,864,91,11,5
"0010024",22,588,49,6,1
"0030001",23,1107,172,28,7
"0030002",24,1496,188,33,5
"0030003",25,1246,205,30,3
"0030004",26,1039,214,16,5
"0050001",27,171,112,1,0
"0050002",28,356,961,23,7
"0050003",29,963,209,20,5
"0050004",30,705,410,12,5
"0050005",31,600,450,19,8
"0050006",32,339,89,5,1
"0050007",33,919,117,12,5
"0050008",34,512,66,7,0
"0050009",35,155,62,0,2
"0050010A",36,370,327,13,7
"0050010B",37,53,46,1,1
"0050011",38,1479,161,9,6
"0050012",39,478,88,14,0
"0050013",40,224,194,9,1
"0050014",41,899,415,26,4
"0050015",42,391,76,9,2
"0050016",43,647,526,25,8
"0050017",44,1043,109,16,4
"0050018",45,312,141,3,1
"0050019",46,730,329,8,9
"0050020",47,230,1076,24,10
"0050021",48,374,121,9,1
"0050022",49,1134,168,17,3
"0050023",50,339,41,5,2
"0050024",51,1286,343,21,15
"0050025",52,1281,234,13,12
"0050026",53,1077,151,10,2
"0050027",54,256,22,3,0
"0050028",55,689,136,11,4
"0050029",56,936,134,9,2
"0050030",57,674,64,10,0
"0050031",58,220,58,5,1
"0050032",59,18,0,0,0
"0050033",60,1006,78,7,2
"0050034",61,1126,417,28,5
"0050035",62,1005,323,27,10
"0050037",63,304,59,5,2
"0050038",64,237,45,3,3
"0050039",65,229,104,10,1
"0050040",66,305,171,2,1
"005011B",67,612,116,8,7
"005017B",68,278,22,2,2
"0070001",69,1297,306,27,10
"0070002",70,1586,635,45,17
"0070003",71,2438,763,45,19
"0070004",72,2308,644,36,14
"007001A",73,875,202,12,4
"007004A",74,685,179,13,4
"0090001",75,871,100,13,2
"0090002",76,562,58,7,3
"0090003",77,256,24,4,0
"0090004",78,483,28,4,2
"0090005",79,127,14,3,1
"0090006",80,723,84,17,1
"0090007",81,129,13,4,0
"0090008",82,221,34,5,2
"0090009",83,115,8,1,1
"0090010",84,525,86,5,2
"0090011",85,16,2,0,0
"0090012",86,50,6,1,0
"0090013",87,100,10,1,0
"0110101",88,273,13,2,0
"0110201",89,146,13,5,1
"0110202",90,60,9,1,1
"0110301",91,237,10,2,1
"0110303",92,37,5,0,0
"0110401",93,114,7,0,0
"0110402",94,135,7,2,2
"0110404",95,23,0,0,0
"0130001",96,458,126,7,3
"0130003",97,572,252,18,8
"0130004",98,282,202,11,5
"0130005",99,476,347,14,8
"0130006",100,113,86,4,3
"0130007",101,653,335,16,10
"0130008",102,261,117,3,4
"0130009",103,780,493,19,12
"0130010",104,207,115,3,3
"0130011",105,761,435,20,4
"0130012",106,511,259,7,7
"0130013",107,1212,430,13,14
"0130014",108,104,37,3,3
"0130015",109,929,566,33,18
"0130017",110,523,605,20,9
"0130018",111,698,335,15,10
"0130019",112,238,74,8,2
"0130020",113,2141,572,33,14
"0130021",114,571,114,4,4
"0130022",115,416,88,7,1
"0150101",116,759,175,10,2
"0150102",117,800,215,16,1
"0150103",118,981,140,20,5
"0150104",119,525,82,6,1
"0150205",120,1651,331,32,8
"0150206",121,903,144,17,3
"0150207",122,474,81,3,0
"0150208",123,400,95,7,1
"0150309",124,449,40,2,3
"0150310",125,1521,411,26,7
"0150311",126,349,297,13,8
"0150412",127,297,134,11,4
"0150413",128,910,148,22,4
"0150414",129,681,219,16,2
"0150415",130,754,240,14,8
"0170001",131,428,109,12,1
"0170002",132,592,99,6,6
"0170003",133,252,96,7,3
"0170004A",134,112,70,3,1
"0170004B",135,16,9,0,0
"0190101",136,1003,238,19,4
"0190102",137,1679,357,41,11
"0190203",138,1301,377,43,5
"0190204",139,965,295,17,4
"0190305",140,1630,332,42,16
"0190306",141,946,133,19,6
"0190407",142,1503,299,32,3
"0190408",143,166,67,3,2
"0190409",144,427,124,11,2
"0190410",145,337,69,7,2
"0211001",146,173,105,8,1
"0211002",147,296,176,8,1
"0211003",148,1083,664,43,5
