CNTYVTD,VTDKEY,QuintanillaD_22P_U.S. Rep 33,VeaseyD_22P_U.S. Rep 33
1132001,2224,0,2
1132005,2228,48,108
1132009,2232,96,186
1132028,2248,0,0
1132074,2276,34,34
1132300,2363,59,39
1132302,2365,51,44
1132308,2370,57,54
1132309,2371,46,53
1132311,2373,12,7
1132312,2374,1,0
1132408,2386,61,48
1132409,2387,71,37
1132411,2389,16,6
1132601,2414,62,77
1132602,2415,94,123
1132603,2416,84,92
1132604,2417,94,137
1132605,2418,41,43
1132610,2423,0,0
1132611,2424,43,52
1132612,2425,5,13
1132613,2426,105,122
1132614,2427,5,3
1133002,2451,24,52
1133010,2459,16,70
1133032,2481,38,46
1133041,2490,7,8
1133088,2537,0,11
1134001,2675,62,42
1134002,2676,65,83
1134003,2677,5,0
1134004,2678,74,86
1134005,2679,50,33
1134006,2680,60,82
1134007,2681,8,18
1134008,2682,12,9
1134009,2683,43,27
1134010,2684,75,99
1134011,2685,26,35
1134012,2686,8,1
1134025,2699,11,30
1134026,2700,0,4
1134027,2701,16,4
1134028,2702,15,74
1134029,2703,0,2
1134030,2704,0,3
1134031,2705,49,195
1134036,2708,17,59
1134037,2709,3,17
1134043,2714,25,100
1134044,2715,18,51
1134046,2716,22,74
1134053,2723,15,27
1134054,2724,15,5
1134055,2725,41,158
1134056,2726,81,163
1134057,2727,52,101
1134058,2728,59,35
1134059,2729,4,12
1134060,2730,81,81
1134061,2731,79,62
1134062,2732,58,33
1134063,2733,118,167
1134065,2734,25,8
1134066,2735,31,10
1134067,2736,95,55
1134068,2737,72,84
1134069,2738,124,132
1134070,2739,56,48
1134071,2740,7,11
1134072,2741,7,10
1134073,2742,61,157
1134074,2743,115,317
1134075,2744,43,43
1134076,2745,97,134
1134077,2746,50,122
1134078,2747,85,137
1134081,2750,97,80
1134082,2751,56,101
1134083,2752,30,75
1134084,2753,15,27
1134085,2754,44,32
1134086,2755,118,86
1134087,2756,18,17
1134088,2757,11,5
1134090,2758,2,0
1134091,2759,0,0
1134092,2760,16,2
1134094,2762,26,15
1134095,2763,3,2
1134096,2764,0,0
1134097,2765,32,67
1134098,2766,0,3
113402,2768,0,0
1134101,2771,1,1
1134107,2772,3,9
1134108,2773,3,3
1134109,2774,0,6
1134111,2776,4,7
1134113,2778,67,32
1134114,2779,70,31
1134118,2783,0,0
1134120,2785,13,7
1134125,2787,0,0
1134147,2798,0,1
1134149,2799,0,3
1134152,2800,0,0
1134153,2801,6,12
1134157,2802,8,5
1134300,2806,47,36
1134507,2814,10,84
1134508,2815,9,12
1134510,2817,59,53
1134515,2822,42,25
1134516,2823,0,0
1134527,2832,13,26
1134530,2835,8,7
1134531,2836,9,10
1134532,2837,5,11
1134533,2838,20,29
1134534,2839,1,1
1134535,2840,26,33
1134554,2847,1,4
1134555,2848,2,1
1134557,2849,0,0
1134558,2850,0,0
1134559,2851,0,0
1134603,2855,2,1
1134607,2859,37,45
1134608,2860,98,130
1134613,2865,15,18
1134616,2868,22,33
1134621,2873,69,86
1134628,2880,57,63
1134632,2884,38,51
1134633,2885,22,26
1134640,2888,0,0
1134641,2889,70,86
1134648,2893,0,0
1134649,2894,59,96
1134651,2895,2,0
1134652,2896,13,21
1134656,2900,4,2
1134661,2905,9,30
1134662,2906,2,12
1134675,2913,3,0
1134677,2914,7,9
1134678,2915,2,8
4391005,7897,8,88
4391008,7898,1,30
4391010,7900,2,11
4391011,7901,12,41
4391012,7902,56,194
4391013,7903,29,297
4391019,7906,0,28
4391025,7911,23,131
4391059,7914,11,61
4391066,7918,19,55
4391074,7920,13,41
4391075,7921,11,33
4391078,7923,11,87
4391079,7924,20,88
4391080,7925,10,105
4391082,7927,10,28
4391083,7928,11,57
4391085,7930,17,25
4391088,7931,12,47
4391089,7932,11,173
4391090,7933,17,109
4391098,7936,12,110
4391099,7937,11,46
4391104,7939,32,415
4391106,7941,15,273
4391109,7943,38,41
4391126,7948,35,211
4391127,7949,14,230
4391132,7950,17,137
4391146,7953,50,299
4391149,7954,21,247
4391151,7956,10,110
4391153,7957,14,262
4391154,7958,8,48
4391165,7959,9,15
4391170,7961,58,225
4391188,7965,5,76
4391198,7968,5,11
4391211,7973,26,241
4391227,7974,28,97
4391236,7975,25,61
4391237,7976,20,20
4391270,7985,12,35
4391273,7987,34,55
4391277,7988,16,151
4391278,7989,35,247
4391279,7990,46,261
4391291,7991,19,341
4391293,7993,10,127
4391295,7995,7,55
4391297,7997,19,315
4391301,8000,18,278
4391311,8001,38,248
4391346,8005,5,86
4391351,8008,0,0
4391382,8015,89,91
4391388,8016,169,154
4391404,8018,62,91
4391407,8019,2,11
4391412,8021,0,0
4391414,8022,1,2
4391415,8023,20,64
4391416,8024,1,10
4391420,8026,0,0
4391437,8034,10,57
4391439,8035,1,15
4391445,8039,2,6
4391460,8043,31,220
4391473,8046,10,10
4391476,8047,6,2
4391477,8048,13,55
4391479,8049,1,15
4391481,8050,5,11
4391482,8051,6,34
4391489,8052,59,136
4391490,8053,10,45
4391491,8054,1,0
4391514,8057,0,0
4391518,8059,10,28
4391544,8061,1,1
4391550,8064,2,7
4391555,8065,0,0
4391564,8067,0,0
4391576,8068,2,19
4391577,8069,26,97
4391578,8070,25,94
4391589,8072,2,2
4391594,8073,0,0
4391597,8074,12,18
4391605,8076,0,0
4391607,8077,0,0
4391610,8079,1,5
4391617,8081,1,5
4391619,8082,0,5
4391631,8088,2,11
4391652,8094,1,11
4391672,8095,0,0
4391679,8100,0,0
4391714,8105,50,340
4391738,8113,1,3
4391753,8119,0,0
4391801,8120,0,0
4391821,8121,0,0
4392134,8142,10,22
4392169,8150,9,20
4392180,8154,22,102
4392225,8165,26,54
4392413,8218,18,60
4392428,8222,11,23
4392442,8225,117,252
4392461,8231,40,111
4392609,8266,0,0
4392673,8284,0,0
4392741,8296,0,8
4392742,8297,9,18
4392755,8304,0,0
4392775,8305,0,0
4392827,8306,0,0
4392827,8307,0,0
4392839,8310,21,45
4394017,8485,43,83
4394048,8493,6,23
4394050,8494,24,50
4394051,8495,1,0
4394067,8500,46,46
4394068,8501,22,18
4394077,8505,13,25
4394087,8507,15,16
4394092,8509,20,17
4394093,8510,45,30
4394097,8512,35,50
4394101,8513,29,56
4394107,8515,19,17
4394110,8516,35,48
4394122,8522,34,14
4394123,8523,40,26
4394124,8524,44,91
4394155,8535,54,59
4394162,8537,11,9
4394195,8543,20,25
4394201,8544,34,38
4394231,8551,36,28
4394233,8553,34,49
4394245,8558,1,1
4394245,8559,0,0
4394256,8563,8,10
4394288,8570,4,7
4394312,8572,1,4
4394370,8582,0,0
4394432,8593,1,1
4394475,8598,4,8
4394478,8599,0,0
4394494,8606,0,1
4394495,8607,1,10
4394503,8612,16,37
4394563,8622,0,0
4394573,8626,0,0
4394587,8627,1,20
4394596,8633,3,2
4394682,8648,8,9
4394685,8650,0,0
