CNTYVTD,VTDKEY,Voter_Registration,Turnout,Spanish_Surname_Voter_Registration,Spanish_Surname_Turnout
10001,1,1785,63,182,0.0298507462686567
10002,2,2632,59,94,0.0666666666666667
10003,3,1207,19,69,0.0952380952380952
10004,4,1563,25,46,0.107142857142857
10005,5,288,3,5,0.0
10006,6,1436,104,127,0.0178571428571429
10007,7,1339,123,265,0.046875
10008,8,360,39,76,0.102564102564103
10009,9,1385,40,71,0.0
10010,10,569,8,43,0.5
10011,11,1285,57,62,0.0
10013,12,1790,58,210,0.0476190476190476
10015,13,920,15,49,0.142857142857143
10016,14,888,32,45,0.0
10017,15,830,33,71,0.0555555555555556
10018,16,2118,40,66,0.0476190476190476
10019,17,2289,64,234,0.0882352941176471
10020,18,1165,40,159,0.116279069767442
10021,19,1848,25,132,0.0740740740740741
10022,20,1041,35,54,0.0
10023,21,1299,22,34,0.0869565217391304
10024,22,865,14,24,0.0
30001,23,2466,26,1032,0.692307692307692
30002,24,2803,20,831,0.3
30003,25,2480,18,1084,0.333333333333333
30004,26,2393,24,1172,0.708333333333333
50001,27,546,23,161,0.0454545454545455
50002,28,2593,168,585,0.0847457627118644
50003,29,2043,32,253,0.121212121212121
50004,30,1532,60,228,0.129032258064516
50005,31,1800,67,298,0.078125
50006,32,560,10,30,0.0
50007,33,1386,12,85,0.166666666666667
50008,34,1325,17,52,0.0
50009,35,288,13,14,0.0625
50010,36,1213,68,206,0.0882352941176471
50010,37,167,9,36,0.1
50011,38,2223,34,72,0.0
50012,39,897,23,70,0.0869565217391304
50013,40,719,23,126,0.0
50014,41,1879,79,212,0.0348837209302326
50015,42,722,11,170,0.363636363636364
50016,43,2217,62,872,0.188405797101449
50017,44,1721,42,33,0.0
50018,45,709,21,55,0.0454545454545455
50019,46,1420,67,86,0.072463768115942
50020,47,2691,238,572,0.0329218106995885
50021,48,1092,40,96,0.024390243902439
50022,49,1150,22,50,0.0416666666666667
50023,50,715,18,40,0.166666666666667
50024,51,2701,54,362,0.113207547169811
50025,52,2456,35,281,0.146341463414634
50026,53,1645,39,89,0.1
50027,54,346,2,13,0.0
50028,55,1192,23,155,0.173913043478261
50029,56,1571,24,100,0.0
50030,57,1113,15,28,0.0625
50031,58,483,7,118,0.25
50032,59,112,3,1,0.0
50033,60,1368,20,33,0.05
50034,61,2224,68,139,0.0428571428571429
50035,62,1816,68,128,0.115942028985507
50037,63,543,11,62,0.0
50038,64,429,4,75,0.25
50039,65,530,15,50,0.125
50040,66,829,31,92,0.15625
5011,67,1261,30,52,0.0
5017,68,456,2,6,0.0
70001,69,2423,82,319,0.0909090909090909
70002,70,3876,123,1148,0.333333333333333
70003,71,4599,193,454,0.133663366336634
70004,72,3990,171,358,0.150837988826816
7001,73,1932,45,411,0.30188679245283
7004,74,1208,45,97,0.196078431372549
90001,75,1401,23,52,0.0454545454545455
90002,76,807,11,23,0.0
90003,77,382,2,24,0.0
90004,78,669,3,48,0.0
90005,79,187,1,5,0.0
90006,80,1134,17,35,0.0588235294117647
90007,81,214,0,8,0.0
90008,82,351,4,11,0.0
90009,83,171,2,4,0.0
90010,84,844,21,37,0.0
90011,85,19,0,0,0.0
90012,86,94,3,10,0.666666666666667
90013,87,164,3,4,0.0
110101,88,395,0,15,0.0
110201,89,228,2,11,0.0
110202,90,82,0,1,0.0
110301,91,276,3,9,0.0
110303,92,57,0,1,0.0
110401,93,194,0,9,0.0
110402,94,186,3,11,0.666666666666667
110404,95,25,0,0,0.0
130001,96,899,27,336,0.642857142857143
130003,97,1539,58,701,0.616666666666667
130004,98,1093,44,652,0.666666666666667
130005,99,1584,72,1046,0.777777777777778
130006,100,482,23,242,0.565217391304348
130007,101,1900,59,1147,0.655172413793103
130008,102,552,34,260,0.628571428571429
130009,103,2418,83,1461,0.69047619047619
130010,104,629,22,353,0.652173913043478
130011,105,1743,115,888,0.626086956521739
130012,106,1360,89,813,0.719101123595506
130013,107,2613,120,1155,0.655737704918033
130014,108,210,7,60,0.285714285714286
130015,109,2697,111,1652,0.814159292035398
130017,110,2136,176,1670,0.851428571428571
130018,111,1760,74,1084,0.831168831168831
130019,112,536,25,252,0.807692307692308
130020,113,3670,162,1172,0.506024096385542
130021,114,970,38,345,0.65
130022,115,741,20,270,0.578947368421053
150101,116,1386,34,146,0.142857142857143
150102,117,1410,46,155,0.0212765957446809
150103,118,1433,31,86,0.0645161290322581
150104,119,841,12,95,0.0
150205,120,2743,61,212,0.0454545454545455
150206,121,1346,35,60,0.0277777777777778
150207,122,731,24,49,0.08
150208,123,643,26,33,0.0
150309,124,625,9,51,0.0
150310,125,2828,58,496,0.1
150311,126,1147,32,385,0.0909090909090909
150412,127,655,24,82,0.0
150413,128,1456,23,237,0.208333333333333
150414,129,1486,35,366,0.108108108108108
150415,130,1548,58,337,0.19672131147541
170001,131,968,19,410,0.55
170002,132,1075,18,278,0.555555555555556
170003,133,791,9,461,0.555555555555556
170004,134,508,10,397,1.0
170004,135,103,1,15,1.0
190101,136,1816,45,226,0.0666666666666667
190102,137,2773,77,341,0.113636363636364
190203,138,2358,90,329,0.21505376344086
190204,139,1855,77,283,0.308641975308642
190305,140,2779,62,336,0.166666666666667
190306,141,1469,31,101,0.03125
190407,142,2466,87,254,0.258426966292135
190408,143,268,20,15,0.2
190409,144,944,28,140,0.272727272727273
190410,145,518,19,33,0.105263157894737
211001,146,373,35,33,0.0810810810810811
211002,147,675,65,77,0.119402985074627
211003,148,2474,181,310,0.109289617486339
211004,149,2118,244,339,0.103585657370518
211005,150,1225,67,154,0.123287671232877
211006,151,2617,131,823,0.360902255639098
211007,152,1878,147,197,0.1
211008,153,1332,112,214,0.0603448275862069
211009,154,2158,140,519,0.24113475177305
212010,155,670,44,73,0.0652173913043478
212011,156,1896,137,290,0.151079136690647
212012,157,1512,103,112,0.0865384615384615
212013,158,3005,226,404,0.146551724137931
212014,159,2993,168,371,0.114285714285714
212015,160,2956,248,326,0.0669291338582677
212016,161,2621,132,237,0.0526315789473684
213017,162,2598,144,374,0.153333333333333
213018,163,1582,100,159,0.132075471698113
213019,164,2684,153,905,0.25
213020,165,3074,173,1343,0.301136363636364
214021,166,2735,219,443,0.107296137339056
214022,167,2277,186,385,0.114583333333333
214023,168,1351,67,185,0.121621621621622
214024,169,1617,102,338,0.14018691588785
214025,170,2405,232,872,0.229508196721311
214026,171,2070,203,465,0.15962441314554
230001,172,630,8,49,0.0
230002,173,579,9,37,0.0
230003,174,577,6,46,0.25
230004,175,555,6,42,0.0769230769230769
250001,176,2170,91,1210,0.75531914893617
250002,177,528,10,197,0.7
250003,178,1767,56,1024,0.770491803278688
250004,179,613,18,242,0.611111111111111
250005,180,902,24,356,0.56
250006,181,1262,47,648,0.679245283018868
250009,182,724,71,623,0.905405405405405
250010,183,1482,53,1137,0.830508474576271
250013,184,1549,70,871,0.794520547945205
250016,185,1039,45,580,0.74468085106383
250017,186,1145,72,739,0.723684210526316
250018,187,1716,62,653,0.683333333333333
250019,188,594,24,477,0.730769230769231
270101,189,4159,135,375,0.0748299319727891
270102,190,2922,90,317,0.074468085106383
270103,191,2636,77,724,0.111111111111111
270104,192,3672,115,321,0.1
270105,193,1686,36,169,0.153846153846154
270106,194,4355,245,616,0.109803921568627
270107,195,598,13,127,0.25
270108,196,1743,31,167,0.354838709677419
270109,197,3022,131,406,0.0629370629370629
270110,198,3104,15,427,0.0
270111,199,3982,217,483,0.074235807860262
270113,200,4060,107,743,0.1875
270114,201,2967,111,368,0.127118644067797
270115,202,4706,142,382,0.0821917808219178
270116,203,1589,113,266,0.102564102564103
270117,204,0,0,0,0.0
270118,205,2408,76,195,0.0487804878048781
270119,206,2525,80,362,0.13953488372093
270201,207,3442,141,445,0.0671140939597315
270202,208,4653,197,558,0.0861244019138756
270203,209,3981,102,356,0.0263157894736842
270204,210,2304,72,349,0.0526315789473684
270205,211,5028,307,749,0.0534124629080119
270206,212,2862,182,445,0.0864864864864865
270207,213,3776,158,595,0.105590062111801
270208,214,4716,309,710,0.0705521472392638
270209,215,4126,258,484,0.0988593155893536
270210,216,4618,338,585,0.0514285714285714
270211,217,1086,66,140,0.0303030303030303
270212,218,1174,52,125,0.0754716981132075
270213,219,4286,122,223,0.075187969924812
270214,220,4506,177,598,0.103825136612022
270215,221,5464,409,713,0.0554216867469879
270216,222,3549,182,413,0.105555555555556
270301,223,4169,75,464,0.243589743589744
270302,224,4719,198,612,0.117073170731707
270303,225,5069,252,914,0.150375939849624
270304,226,363,5,64,0.333333333333333
270305,227,2207,95,228,0.106382978723404
270306,228,3813,123,863,0.207692307692308
270307,229,3439,195,760,0.0853080568720379
270308,230,4066,192,507,0.0970873786407767
270309,231,1346,42,100,0.0888888888888889
270310,232,525,9,32,0.1
270311,233,3246,78,277,0.121951219512195
270312,234,2205,45,298,0.34
270313,235,4620,221,445,0.140495867768595
270314,236,3259,71,583,0.10126582278481
270315,237,4522,126,689,0.149253731343284
270317,238,1683,69,162,0.0704225352112676
270318,239,4535,153,609,0.144654088050314
270319,240,3570,157,380,0.125786163522013
270401,241,3412,161,409,0.0701754385964912
270402,242,4824,232,601,0.0798319327731092
270404,243,4078,176,659,0.05
270405,244,5418,251,852,0.0431372549019608
270406,245,3440,121,509,0.16
270408,246,5296,286,793,0.109215017064846
270409,247,2338,157,375,0.05625
270410,248,3361,74,587,0.146666666666667
270412,249,4185,248,577,0.0625
270413,250,4784,200,721,0.0865384615384615
270414,251,4551,211,627,0.105769230769231
270415,252,3678,149,510,0.0509554140127389
270419,253,1086,39,67,0.0512820512820513
291001,254,538,121,250,0.540983606557377
