CNTYVTD,VTDKEY,CrockettD_22P_U.S. Rep 30,DixonD_22P_U.S. Rep 30,HamiltonD_22P_U.S. Rep 30,Jones HillD_22P_U.S. Rep 30,LankfordD_22P_U.S. Rep 30,CarawayD_22P_U.S. Rep 30,MasonD_22P_U.S. Rep 30,MulughetaD_22P_U.S. Rep 30,WilliamsD_22P_U.S. Rep 30,CrockettD_22P_U.S. Rep 30_Percentage,DixonD_22P_U.S. Rep 30_Percentage,HamiltonD_22P_U.S. Rep 30_Percentage,Jones HillD_22P_U.S. Rep 30_Percentage,LankfordD_22P_U.S. Rep 30_Percentage,CarawayD_22P_U.S. Rep 30_Percentage,MasonD_22P_U.S. Rep 30_Percentage,MulughetaD_22P_U.S. Rep 30_Percentage,WilliamsD_22P_U.S. Rep 30_Percentage
1131083,2068,79,4,13,4,6,6,24,12,10,0.5,0.02531645569620253,0.08227848101265822,0.02531645569620253,0.0379746835443038,0.0379746835443038,0.1518987341772152,0.0759493670886076,0.06329113924050633
1131085,2070,24,1,7,0,2,8,15,4,5,0.36363636363636365,0.015151515151515152,0.10606060606060606,0.0,0.030303030303030304,0.12121212121212122,0.22727272727272727,0.06060606060606061,0.07575757575757576
1131090,2075,101,1,28,8,7,16,9,12,10,0.5260416666666666,0.005208333333333333,0.14583333333333334,0.041666666666666664,0.036458333333333336,0.08333333333333333,0.046875,0.0625,0.052083333333333336
1131094,2079,61,4,14,4,10,11,7,6,11,0.4765625,0.03125,0.109375,0.03125,0.078125,0.0859375,0.0546875,0.046875,0.0859375
1131095,2080,43,3,14,4,7,14,15,12,7,0.36134453781512604,0.025210084033613446,0.11764705882352941,0.03361344537815126,0.058823529411764705,0.11764705882352941,0.12605042016806722,0.10084033613445378,0.058823529411764705
1131096,2081,34,4,11,1,5,7,6,12,6,0.3953488372093023,0.046511627906976744,0.12790697674418605,0.011627906976744186,0.05813953488372093,0.08139534883720931,0.06976744186046512,0.13953488372093023,0.06976744186046512
1131100,2085,134,3,41,10,9,34,12,19,23,0.47017543859649125,0.010526315789473684,0.14385964912280702,0.03508771929824561,0.031578947368421054,0.11929824561403508,0.042105263157894736,0.06666666666666667,0.08070175438596491
1131101,2086,26,6,13,1,11,6,7,7,5,0.3170731707317073,0.07317073170731707,0.15853658536585366,0.012195121951219513,0.13414634146341464,0.07317073170731707,0.08536585365853659,0.08536585365853659,0.06097560975609756
1131102,2087,44,5,13,4,5,4,9,11,5,0.44,0.05,0.13,0.04,0.05,0.04,0.09,0.11,0.05
1131103,2088,24,1,2,0,5,3,2,6,3,0.5217391304347826,0.021739130434782608,0.043478260869565216,0.0,0.10869565217391304,0.06521739130434782,0.043478260869565216,0.13043478260869565,0.06521739130434782
1131108,2093,104,0,23,4,21,21,14,13,13,0.48826291079812206,0.0,0.107981220657277,0.018779342723004695,0.09859154929577464,0.09859154929577464,0.06572769953051644,0.06103286384976526,0.06103286384976526
1131109,2094,7,2,1,2,2,2,2,3,0,0.3333333333333333,0.09523809523809523,0.047619047619047616,0.09523809523809523,0.09523809523809523,0.09523809523809523,0.09523809523809523,0.14285714285714285,0.0
1131111,2096,40,0,6,3,5,5,5,2,6,0.5555555555555556,0.0,0.08333333333333333,0.041666666666666664,0.06944444444444445,0.06944444444444445,0.06944444444444445,0.027777777777777776,0.08333333333333333
1131113,2097,9,1,5,0,4,1,0,3,1,0.375,0.041666666666666664,0.20833333333333334,0.0,0.16666666666666666,0.041666666666666664,0.0,0.125,0.041666666666666664
1131124,2102,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1131136,2109,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1131140,2112,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1131148,2119,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1132097,2294,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1132098,2295,88,3,57,3,6,2,6,14,1,0.4888888888888889,0.016666666666666666,0.31666666666666665,0.016666666666666666,0.03333333333333333,0.011111111111111112,0.03333333333333333,0.07777777777777778,0.005555555555555556
1132099,2296,247,17,79,7,41,16,33,53,17,0.4843137254901961,0.03333333333333333,0.15490196078431373,0.013725490196078431,0.0803921568627451,0.03137254901960784,0.06470588235294118,0.10392156862745099,0.03333333333333333
1132100,2298,188,8,33,10,30,4,36,26,11,0.5433526011560693,0.023121387283236993,0.0953757225433526,0.028901734104046242,0.08670520231213873,0.011560693641618497,0.10404624277456648,0.07514450867052024,0.031791907514450865
1132101,2299,62,6,24,1,8,7,17,10,3,0.4492753623188406,0.043478260869565216,0.17391304347826086,0.007246376811594203,0.057971014492753624,0.050724637681159424,0.12318840579710146,0.07246376811594203,0.021739130434782608
1132102,2300,141,5,44,6,20,12,16,13,11,0.5261194029850746,0.018656716417910446,0.16417910447761194,0.022388059701492536,0.07462686567164178,0.04477611940298507,0.05970149253731343,0.048507462686567165,0.041044776119402986
1132103,2301,46,2,10,1,12,4,7,3,6,0.5054945054945055,0.02197802197802198,0.10989010989010989,0.01098901098901099,0.13186813186813187,0.04395604395604396,0.07692307692307693,0.03296703296703297,0.06593406593406594
1132104,2302,14,1,1,0,2,3,0,10,1,0.4375,0.03125,0.03125,0.0,0.0625,0.09375,0.0,0.3125,0.03125
1132105,2303,172,8,33,6,28,12,20,32,7,0.5408805031446541,0.025157232704402517,0.10377358490566038,0.018867924528301886,0.0880503144654088,0.03773584905660377,0.06289308176100629,0.10062893081761007,0.0220125786163522
1132106,2304,73,2,16,1,14,4,12,8,5,0.5407407407407407,0.014814814814814815,0.11851851851851852,0.007407407407407408,0.1037037037037037,0.02962962962962963,0.08888888888888889,0.05925925925925926,0.037037037037037035
1132107,2305,3,0,3,0,2,2,0,0,0,0.3,0.0,0.3,0.0,0.2,0.2,0.0,0.0,0.0
1132110,2308,22,0,4,0,3,0,1,1,3,0.6470588235294118,0.0,0.11764705882352941,0.0,0.08823529411764706,0.0,0.029411764705882353,0.029411764705882353,0.08823529411764706
1132111,2309,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1132112,2310,5,0,1,0,1,1,0,1,0,0.5555555555555556,0.0,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.0,0.1111111111111111,0.0
1132113,2311,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1132114,2312,177,9,137,10,14,22,14,16,10,0.43276283618581907,0.022004889975550123,0.33496332518337407,0.02444987775061125,0.034229828850855744,0.05378973105134474,0.034229828850855744,0.039119804400977995,0.02444987775061125
1132115,2313,12,0,6,3,1,1,1,2,0,0.46153846153846156,0.0,0.23076923076923078,0.11538461538461539,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.07692307692307693,0.0
1132116,2314,3,0,5,0,0,2,0,0,0,0.3,0.0,0.5,0.0,0.0,0.2,0.0,0.0,0.0
1132117,2315,53,2,17,5,16,9,14,17,9,0.3732394366197183,0.014084507042253521,0.11971830985915492,0.035211267605633804,0.11267605633802817,0.06338028169014084,0.09859154929577464,0.11971830985915492,0.06338028169014084
1133000,2449,80,8,44,5,13,7,14,7,8,0.43010752688172044,0.043010752688172046,0.23655913978494625,0.026881720430107527,0.06989247311827956,0.03763440860215054,0.07526881720430108,0.03763440860215054,0.043010752688172046
1133001,2450,23,0,8,0,3,2,1,4,1,0.5476190476190477,0.0,0.19047619047619047,0.0,0.07142857142857142,0.047619047619047616,0.023809523809523808,0.09523809523809523,0.023809523809523808
1133003,2452,182,2,74,18,18,38,8,19,17,0.48404255319148937,0.005319148936170213,0.19680851063829788,0.047872340425531915,0.047872340425531915,0.10106382978723404,0.02127659574468085,0.05053191489361702,0.04521276595744681
1133004,2453,179,5,98,21,18,32,21,33,15,0.42417061611374407,0.011848341232227487,0.23222748815165878,0.04976303317535545,0.04265402843601896,0.07582938388625593,0.04976303317535545,0.07819905213270142,0.035545023696682464
1133005,2454,12,1,3,0,2,1,3,0,1,0.5217391304347826,0.043478260869565216,0.13043478260869565,0.0,0.08695652173913043,0.043478260869565216,0.13043478260869565,0.0,0.043478260869565216
1133006,2455,95,5,41,2,13,4,12,17,8,0.48223350253807107,0.025380710659898477,0.20812182741116753,0.01015228426395939,0.06598984771573604,0.02030456852791878,0.06091370558375635,0.08629441624365482,0.04060913705583756
1133007,2456,26,2,17,0,7,2,3,5,4,0.3939393939393939,0.030303030303030304,0.25757575757575757,0.0,0.10606060606060606,0.030303030303030304,0.045454545454545456,0.07575757575757576,0.06060606060606061
1133008,2457,24,2,6,0,5,3,4,6,7,0.42105263157894735,0.03508771929824561,0.10526315789473684,0.0,0.08771929824561403,0.05263157894736842,0.07017543859649122,0.10526315789473684,0.12280701754385964
