CNTYVTD,VTDKEY,QuintanillaD_22P_U.S. Rep 33,VeaseyD_22P_U.S. Rep 33,QuintanillaD_22P_U.S. Rep 33_Percentage,VeaseyD_22P_U.S. Rep 33_Percentage
1132001,2224,0,2,0.0,1.0
1132005,2228,48,108,0.3076923076923077,0.6923076923076923
1132009,2232,96,186,0.3404255319148936,0.6595744680851063
1132028,2248,0,0,0.0,0.0
1132074,2276,34,34,0.5,0.5
1132300,2363,59,39,0.6020408163265306,0.3979591836734694
1132302,2365,51,44,0.5368421052631579,0.4631578947368421
1132308,2370,57,54,0.5135135135135135,0.4864864864864865
1132309,2371,46,53,0.46464646464646464,0.5353535353535354
1132311,2373,12,7,0.631578947368421,0.3684210526315789
1132312,2374,1,0,1.0,0.0
1132408,2386,61,48,0.5596330275229358,0.44036697247706424
1132409,2387,71,37,0.6574074074074074,0.3425925925925926
1132411,2389,16,6,0.7272727272727273,0.2727272727272727
1132601,2414,62,77,0.4460431654676259,0.5539568345323741
1132602,2415,94,123,0.43317972350230416,0.5668202764976958
1132603,2416,84,92,0.4772727272727273,0.5227272727272727
1132604,2417,94,137,0.4069264069264069,0.5930735930735931
1132605,2418,41,43,0.4880952380952381,0.5119047619047619
1132610,2423,0,0,0.0,0.0
1132611,2424,43,52,0.45263157894736844,0.5473684210526316
1132612,2425,5,13,0.2777777777777778,0.7222222222222222
1132613,2426,105,122,0.46255506607929514,0.5374449339207048
1132614,2427,5,3,0.625,0.375
1133002,2451,24,52,0.3157894736842105,0.6842105263157895
1133010,2459,16,70,0.18604651162790697,0.813953488372093
1133032,2481,38,46,0.4523809523809524,0.5476190476190477
1133041,2490,7,8,0.4666666666666667,0.5333333333333333
1133088,2537,0,11,0.0,1.0
1134001,2675,62,42,0.5961538461538461,0.40384615384615385
1134002,2676,65,83,0.4391891891891892,0.5608108108108109
1134003,2677,5,0,1.0,0.0
1134004,2678,74,86,0.4625,0.5375
1134005,2679,50,33,0.6024096385542169,0.39759036144578314
1134006,2680,60,82,0.4225352112676056,0.5774647887323944
1134007,2681,8,18,0.3076923076923077,0.6923076923076923
1134008,2682,12,9,0.5714285714285714,0.42857142857142855
1134009,2683,43,27,0.6142857142857143,0.38571428571428573
1134010,2684,75,99,0.43103448275862066,0.5689655172413793
1134011,2685,26,35,0.4262295081967213,0.5737704918032787
1134012,2686,8,1,0.8888888888888888,0.1111111111111111
1134025,2699,11,30,0.2682926829268293,0.7317073170731707
1134026,2700,0,4,0.0,1.0
1134027,2701,16,4,0.8,0.2
1134028,2702,15,74,0.16853932584269662,0.8314606741573034
1134029,2703,0,2,0.0,1.0
1134030,2704,0,3,0.0,1.0
1134031,2705,49,195,0.20081967213114754,0.7991803278688525
1134036,2708,17,59,0.2236842105263158,0.7763157894736842
1134037,2709,3,17,0.15,0.85
1134043,2714,25,100,0.2,0.8
1134044,2715,18,51,0.2608695652173913,0.7391304347826086
1134046,2716,22,74,0.22916666666666666,0.7708333333333334
1134053,2723,15,27,0.35714285714285715,0.6428571428571429
1134054,2724,15,5,0.75,0.25
1134055,2725,41,158,0.20603015075376885,0.7939698492462312
1134056,2726,81,163,0.3319672131147541,0.6680327868852459
1134057,2727,52,101,0.33986928104575165,0.6601307189542484
1134058,2728,59,35,0.6276595744680851,0.3723404255319149
1134059,2729,4,12,0.25,0.75
1134060,2730,81,81,0.5,0.5
1134061,2731,79,62,0.5602836879432624,0.4397163120567376
1134062,2732,58,33,0.6373626373626373,0.3626373626373626
1134063,2733,118,167,0.41403508771929826,0.5859649122807018
1134065,2734,25,8,0.7575757575757576,0.24242424242424243
1134066,2735,31,10,0.7560975609756098,0.24390243902439024
1134067,2736,95,55,0.6333333333333333,0.36666666666666664
1134068,2737,72,84,0.46153846153846156,0.5384615384615384
1134069,2738,124,132,0.484375,0.515625
1134070,2739,56,48,0.5384615384615384,0.46153846153846156
1134071,2740,7,11,0.3888888888888889,0.6111111111111112
1134072,2741,7,10,0.4117647058823529,0.5882352941176471
1134073,2742,61,157,0.2798165137614679,0.7201834862385321
1134074,2743,115,317,0.2662037037037037,0.7337962962962963
1134075,2744,43,43,0.5,0.5
1134076,2745,97,134,0.4199134199134199,0.5800865800865801
1134077,2746,50,122,0.29069767441860467,0.7093023255813954
1134078,2747,85,137,0.38288288288288286,0.6171171171171171
1134081,2750,97,80,0.5480225988700564,0.4519774011299435
1134082,2751,56,101,0.35668789808917195,0.643312101910828
1134083,2752,30,75,0.2857142857142857,0.7142857142857143
1134084,2753,15,27,0.35714285714285715,0.6428571428571429
1134085,2754,44,32,0.5789473684210527,0.42105263157894735
1134086,2755,118,86,0.5784313725490197,0.4215686274509804
1134087,2756,18,17,0.5142857142857142,0.4857142857142857
1134088,2757,11,5,0.6875,0.3125
1134090,2758,2,0,1.0,0.0
1134091,2759,0,0,0.0,0.0
1134092,2760,16,2,0.8888888888888888,0.1111111111111111
1134094,2762,26,15,0.6341463414634146,0.36585365853658536
1134095,2763,3,2,0.6,0.4
1134096,2764,0,0,0.0,0.0
1134097,2765,32,67,0.32323232323232326,0.6767676767676768
1134098,2766,0,3,0.0,1.0
113402,2768,0,0,0.0,0.0
1134101,2771,1,1,0.5,0.5
1134107,2772,3,9,0.25,0.75
1134108,2773,3,3,0.5,0.5
1134109,2774,0,6,0.0,1.0
1134111,2776,4,7,0.36363636363636365,0.6363636363636364
1134113,2778,67,32,0.6767676767676768,0.32323232323232326
1134114,2779,70,31,0.693069306930693,0.3069306930693069
1134118,2783,0,0,0.0,0.0
