CNTYVTD,VTDKEY,AllredD_22P_U.S. Rep 32
850023,1656,136
850026,1659,67
850046,1679,140
850048,1681,255
850051,1684,90
850052,1685,243
850055,1688,229
850068,1701,110
850078,1711,276
850094,1727,316
850103,1736,80
850110,1743,182
850125,1758,296
850152,1785,18
1131004,2031,157
1131039,2034,27
1131040,2035,215
1131041,2036,28
1131045,2039,104
1131046,2040,40
1131047,2041,131
1131048,2042,405
1131049,2043,172
1131050,2044,24
1131051,2045,35
1131052,2046,511
1131054,2047,98
1131055,2048,41
1131056,2049,75
1131057,2050,163
1131058,2051,247
1131059,2052,220
1131060,2053,766
1131061,2054,262
1131062,2055,1
1131063,2056,85
1131064,2057,11
1131065,2058,198
1131067,2059,3
1131068,2060,6
1131076,2061,0
1131077,2062,0
1131078,2063,88
1131079,2064,231
1131080,2065,56
1131081,2066,477
1131082,2067,11
1131084,2069,616
1131086,2071,41
1131087,2072,508
1131088,2073,126
1131089,2074,216
1131091,2076,162
1131092,2077,234
1131093,2078,155
1131097,2082,197
1131098,2083,156
1131099,2084,4
1131104,2089,161
1131105,2090,5
1131106,2091,13
1131107,2092,43
1131110,2095,1
1131114,2098,41
1131115,2099,116
1131116,2100,89
1131121,2101,127
1131125,2103,110
1131129,2105,10
1131133,2106,49
1131134,2107,34
1131135,2108,137
1131137,2110,3
1131151,2120,7
1131153,2121,0
1131159,2122,0
1131162,2123,0
1131163,2124,166
1131164,2125,223
1131165,2126,243
1131168,2127,399
1131169,2128,365
1131170,2129,195
1131171,2130,345
1131172,2131,267
1131173,2132,213
1131174,2133,450
1131176,2134,0
1131303,2138,4
1131307,2141,10
1131309,2143,14
1131313,2147,35
1131314,2148,125
1131328,2156,0
1131329,2157,0
1131401,2158,11
1131402,2159,151
1131403,2160,0
1131404,2161,72
1131405,2162,15
1131406,2163,55
1131407,2164,0
1131408,2165,0
1131409,2166,37
1131410,2167,134
1131411,2168,212
1131412,2169,19
1131703,2173,163
1131704,2174,87
1131705,2175,131
1131706,2176,109
1131707,2177,14
1131730,2200,0
1131731,2201,0
1131748,2218,137
1131749,2219,226
1131750,2220,226
1131751,2221,403
1131752,2222,257
1132017,2237,110
1132020,2240,328
1132031,2250,290
1132032,2251,163
1132033,2252,195
1132035,2253,158
1132038,2255,392
1132039,2256,340
1132040,2257,207
1132041,2258,327
1132042,2259,325
1132043,2260,212
1132044,2261,112
1132045,2262,238
1132048,2265,284
1132053,2270,160
1132054,2271,162
1132055,2272,90
1132079,2279,121
1132081,2281,57
1132082,2282,316
1132083,2283,148
1132084,2284,35
1132085,2285,26
1132086,2286,363
1132087,2287,387
1132108,2306,44
1132118,2316,83
1132119,2317,14
1132120,2318,180
1132121,2319,53
1132122,2320,126
1132123,2321,98
1132124,2322,127
1132125,2323,279
1132126,2324,78
1132127,2325,301
1132128,2326,315
1132129,2327,32
1132130,2328,64
1132131,2329,103
1132132,2330,53
1132133,2331,7
1132134,2332,110
1132137,2333,68
1132138,2334,51
1132139,2335,39
1132140,2336,42
1132141,2337,58
1132142,2338,82
1132143,2339,24
1132144,2340,157
1132145,2341,178
1132146,2342,159
1132147,2343,268
1132148,2344,86
1132149,2345,242
1132150,2346,86
1132151,2347,22
1132152,2348,119
1132153,2349,124
1132154,2350,4
1132155,2351,335
1132305,2367,118
1132402,2380,210
1132403,2381,0
1132404,2382,115
1132406,2384,250
1132410,2388,104
1132417,2391,11
1132501,2393,125
1132502,2394,138
1132505,2397,173
1132508,2400,239
1132509,2401,276
1132510,2402,168
1132511,2403,184
1132512,2404,119
1132513,2405,223
1132514,2406,247
1132517,2408,188
1132518,2409,208
1132519,2410,218
1132520,2411,293
1132521,2412,236
1132523,2413,90
1132901,2440,91
1132902,2441,120
1132903,2442,178
1132913,2447,0
113291,2448,0
1133116,2570,1
1133308,2596,116
1133314,2602,332
1133327,2610,2
1133328,2611,3
1212100,3038,225
1212101,3039,204
1212102,3040,290
1212103,3041,129
1212109,3047,224
