CNTYVTD,VTDKEY,CrockettD_22P_U.S. Rep 30,DixonD_22P_U.S. Rep 30,HamiltonD_22P_U.S. Rep 30,Jones HillD_22P_U.S. Rep 30,LankfordD_22P_U.S. Rep 30,CarawayD_22P_U.S. Rep 30,MasonD_22P_U.S. Rep 30,MulughetaD_22P_U.S. Rep 30,WilliamsD_22P_U.S. Rep 30
"1131083",2068,79,4,13,4,6,6,24,12,10
"1131085",2070,24,1,7,0,2,8,15,4,5
"1131090",2075,101,1,28,8,7,16,9,12,10
"1131094",2079,61,4,14,4,10,11,7,6,11
"1131095",2080,43,3,14,4,7,14,15,12,7
"1131096",2081,34,4,11,1,5,7,6,12,6
"1131100",2085,134,3,41,10,9,34,12,19,23
"1131101",2086,26,6,13,1,11,6,7,7,5
"1131102",2087,44,5,13,4,5,4,9,11,5
"1131103",2088,24,1,2,0,5,3,2,6,3
"1131108",2093,104,0,23,4,21,21,14,13,13
"1131109",2094,7,2,1,2,2,2,2,3,0
"1131111",2096,40,0,6,3,5,5,5,2,6
"1131113",2097,9,1,5,0,4,1,0,3,1
"1131124",2102,0,0,0,0,0,0,0,0,0
"1131136",2109,0,0,0,0,0,0,0,0,0
"1131140",2112,0,0,0,0,0,0,0,0,0
"1131148",2119,0,0,0,0,0,0,0,0,0
"1132097",2294,0,0,0,0,0,0,0,0,0
"1132098",2295,88,3,57,3,6,2,6,14,1
"1132099",2296,247,17,79,7,41,16,33,53,17
"1132100",2298,188,8,33,10,30,4,36,26,11
"1132101",2299,62,6,24,1,8,7,17,10,3
"1132102",2300,141,5,44,6,20,12,16,13,11
"1132103",2301,46,2,10,1,12,4,7,3,6
"1132104",2302,14,1,1,0,2,3,0,10,1
"1132105",2303,172,8,33,6,28,12,20,32,7
"1132106",2304,73,2,16,1,14,4,12,8,5
"1132107",2305,3,0,3,0,2,2,0,0,0
"1132110",2308,22,0,4,0,3,0,1,1,3
"1132111",2309,0,0,0,0,0,0,0,0,0
"1132112",2310,5,0,1,0,1,1,0,1,0
"1132113",2311,0,0,0,0,0,0,0,0,0
"1132114",2312,177,9,137,10,14,22,14,16,10
"1132115",2313,12,0,6,3,1,1,1,2,0
"1132116",2314,3,0,5,0,0,2,0,0,0
"1132117",2315,53,2,17,5,16,9,14,17,9
"1133000",2449,80,8,44,5,13,7,14,7,8
"1133001",2450,23,0,8,0,3,2,1,4,1
"1133003",2452,182,2,74,18,18,38,8,19,17
"1133004",2453,179,5,98,21,18,32,21,33,15
"1133005",2454,12,1,3,0,2,1,3,0,1
"1133006",2455,95,5,41,2,13,4,12,17,8
"1133007",2456,26,2,17,0,7,2,3,5,4
"1133008",2457,24,2,6,0,5,3,4,6,7
"1133009",2458,0,0,0,0,0,0,0,0,0
"1133011",2460,38,2,11,1,7,2,6,1,2
"1133012",2461,9,0,3,0,0,1,1,0,0
"1133013",2462,28,1,6,2,6,4,2,0,3
"1133014",2463,64,3,6,5,12,14,11,7,7
"1133015",2464,2,0,1,2,1,1,1,1,2
"1133016",2465,102,3,29,2,16,4,4,10,5
"1133017",2466,52,2,2,4,5,3,1,4,1
"1133018",2467,145,4,35,16,9,21,10,10,10
"1133019",2468,47,2,9,3,6,8,4,3,2
"1133020",2469,12,1,1,1,0,1,3,0,1
"1133021",2470,54,0,15,2,3,4,5,0,2
"1133022",2471,75,1,24,2,7,9,11,0,6
"1133023",2472,85,4,29,3,10,10,10,5,8
"1133024",2473,108,1,28,5,2,9,4,1,5
"1133025",2474,6,0,6,0,0,1,0,0,0
"1133026",2475,51,0,8,1,4,4,3,3,5
"1133027",2476,89,2,29,7,6,9,4,6,9
"1133028",2477,64,3,19,4,9,10,4,1,9
"1133029",2478,48,1,15,1,2,6,1,2,2
"1133030",2479,0,0,0,0,0,0,0,0,1
"1133031",2480,22,0,5,2,3,3,1,2,2
"1133033",2482,23,0,1,2,4,5,1,2,0
"1133034",2483,121,1,20,6,15,21,7,3,6
"1133035",2484,83,1,26,2,12,25,3,6,6
"1133036",2485,1,0,0,0,0,0,0,0,0
"1133037",2486,34,0,4,1,2,10,1,1,1
"1133038",2487,70,0,37,2,9,52,1,9,6
"1133039",2488,159,4,59,16,27,59,6,13,16
"1133040",2489,63,1,18,7,3,16,4,2,3
"1133042",2491,78,1,16,6,12,25,3,5,8
"1133043",2492,101,1,33,3,12,40,5,2,14
"1133044",2493,132,1,42,8,33,43,9,6,8
"1133045",2494,54,2,9,2,6,6,1,1,1
"1133046",2495,185,5,79,13,19,57,19,20,11
"1133047",2496,108,5,30,9,11,20,3,8,8
"1133048",2497,145,4,63,13,18,54,5,13,12
"1133049",2498,130,1,58,13,14,43,14,11,21
"1133050",2499,82,2,30,3,11,25,6,5,12
"1133051",2500,49,0,23,6,4,14,1,2,5
"1133052",2501,117,1,75,9,20,42,3,7,17
"1133053",2502,111,4,41,10,18,13,5,11,5
"1133054",2503,293,1,129,92,33,72,12,25,39
"1133055",2504,261,3,185,82,18,51,9,30,26
"1133056",2505,272,4,167,25,25,73,10,38,27
"1133057",2506,206,3,73,51,30,41,9,22,23
