CNTYVTD,VTDKEY,GuillenR_22G_State Rep 31,GutierrezD_22G_State Rep 31,GuillenR_22G_State Rep 31_Percentage,GutierrezD_22G_State Rep 31_Percentage
470001,1317,140,298,0.319634703196347,0.680365296803653
470002,1318,213,315,0.4034090909090909,0.5965909090909091
470003,1319,119,211,0.3606060606060606,0.6393939393939394
470004,1320,203,299,0.4043824701195219,0.5956175298804781
47003,1321,64,49,0.5663716814159292,0.4336283185840708
1310001,3209,362,420,0.4629156010230179,0.5370843989769821
1310002,3210,331,309,0.5171875,0.4828125
1310003,3211,88,138,0.3893805309734513,0.6106194690265486
1310004,3212,52,17,0.7536231884057971,0.2463768115942029
1310005,3213,94,86,0.5222222222222223,0.4777777777777778
1310006,3214,41,33,0.5540540540540541,0.44594594594594594
1310007,3215,55,16,0.7746478873239436,0.22535211267605634
1310008,3216,677,320,0.679037111334002,0.320962888665998
1310009,3217,220,256,0.46218487394957986,0.5378151260504201
2470001,6155,185,134,0.5799373040752351,0.4200626959247649
2470002,6156,218,179,0.5491183879093199,0.4508816120906801
2470003,6157,177,118,0.6,0.4
2470004,6158,241,208,0.5367483296213809,0.46325167037861914
2470005,6159,5,5,0.5,0.5
2550001,6229,408,190,0.6822742474916388,0.3177257525083612
2550002,6230,101,13,0.8859649122807017,0.11403508771929824
2550003,6231,106,4,0.9636363636363636,0.03636363636363636
2550004,6232,345,113,0.7532751091703057,0.24672489082969432
2550005,6233,231,80,0.7427652733118971,0.2572347266881029
2550006,6234,186,3,0.9841269841269841,0.015873015873015872
2550007,6235,368,31,0.9223057644110275,0.07769423558897243
2550008,6236,88,17,0.8380952380952381,0.1619047619047619
2550009,6237,112,16,0.875,0.125
2550010,6238,189,12,0.9402985074626866,0.05970149253731343
2550011,6239,312,80,0.7959183673469388,0.20408163265306123
2550012,6240,222,49,0.8191881918819188,0.18081180811808117
2550013,6241,30,3,0.9090909090909091,0.09090909090909091
2550014,6242,183,172,0.5154929577464789,0.48450704225352115
2550015,6243,39,18,0.6842105263157895,0.3157894736842105
2610001,6298,35,11,0.7608695652173914,0.2391304347826087
2610002,6299,12,12,0.5,0.5
2610003,6300,5,2,0.7142857142857143,0.2857142857142857
2610004,6301,33,2,0.9428571428571428,0.05714285714285714
2610005,6302,8,5,0.6153846153846154,0.38461538461538464
2610006,6303,5,4,0.5555555555555556,0.4444444444444444
2830001,6416,281,142,0.6643026004728132,0.33569739952718675
2830002,6417,77,81,0.4873417721518987,0.5126582278481012
2830003,6418,127,146,0.4652014652014652,0.5347985347985348
2830004,6419,38,1,0.9743589743589743,0.02564102564102564
2830005,6420,147,120,0.550561797752809,0.449438202247191
2830006,6421,95,81,0.5397727272727273,0.4602272727272727
2970001,6513,269,43,0.8621794871794872,0.13782051282051283
2970002,6514,487,94,0.8382099827882961,0.16179001721170397
2970003,6515,298,104,0.7412935323383084,0.25870646766169153
2970004,6516,352,46,0.8844221105527639,0.11557788944723618
2970005,6517,216,16,0.9310344827586207,0.06896551724137931
2970006,6518,141,13,0.9155844155844156,0.08441558441558442
2970007,6519,27,0,1.0,0.0
2970008,6520,81,3,0.9642857142857143,0.03571428571428571
2970009,6521,397,98,0.802020202020202,0.19797979797979798
2970010,6522,211,22,0.9055793991416309,0.0944206008583691
2970011,6523,61,2,0.9682539682539683,0.031746031746031744
2970012,6524,92,4,0.9583333333333334,0.041666666666666664
2970013,6525,295,30,0.9076923076923077,0.09230769230769231
2970014,6526,454,66,0.8730769230769231,0.12692307692307692
3110001,6749,59,3,0.9516129032258065,0.04838709677419355
3110002,6750,110,10,0.9166666666666666,0.08333333333333333
3110003,6751,72,9,0.8888888888888888,0.1111111111111111
3110004,6752,89,7,0.9270833333333334,0.07291666666666667
4270001,7851,769,329,0.7003642987249544,0.2996357012750455
4270002,7852,642,261,0.7109634551495017,0.28903654485049834
