CNTYVTD,VTDKEY,AllredD_22G_U.S. Rep 32,SwadR_22G_U.S. Rep 32,AllredD_22G_U.S. Rep 32_Percentage,SwadR_22G_U.S. Rep 32_Percentage
850023,1656,718,279,0.720160481444333,0.279839518555667
850026,1659,278,279,0.4991023339317774,0.5008976660682226
850046,1679,716,495,0.5912469033856317,0.4087530966143683
850048,1681,1168,968,0.5468164794007491,0.45318352059925093
850051,1684,371,258,0.589825119236884,0.41017488076311603
850052,1685,1061,691,0.605593607305936,0.3944063926940639
850055,1688,1379,665,0.6746575342465754,0.3253424657534247
850068,1701,469,438,0.5170893054024256,0.4829106945975744
850078,1711,1328,877,0.6022675736961451,0.39773242630385486
850094,1727,1352,1063,0.5598343685300207,0.4401656314699793
850103,1736,313,248,0.5579322638146168,0.44206773618538325
850110,1743,752,793,0.4867313915857605,0.5132686084142395
850125,1758,1481,1143,0.5644054878048781,0.43559451219512196
850152,1785,66,26,0.717391304347826,0.2826086956521739
1131004,2031,563,425,0.569838056680162,0.43016194331983804
1131039,2034,75,10,0.8823529411764706,0.11764705882352941
1131040,2035,778,359,0.6842568161829375,0.31574318381706246
1131041,2036,149,26,0.8514285714285714,0.14857142857142858
1131045,2039,440,112,0.7971014492753623,0.2028985507246377
1131046,2040,132,54,0.7096774193548387,0.2903225806451613
1131047,2041,404,224,0.643312101910828,0.35668789808917195
1131048,2042,1092,755,0.5912290200324851,0.4087709799675149
1131049,2043,687,485,0.5861774744027304,0.4138225255972696
1131050,2044,70,50,0.5833333333333334,0.4166666666666667
1131051,2045,78,46,0.6290322580645161,0.3709677419354839
1131052,2046,1424,682,0.6761633428300095,0.3238366571699905
1131054,2047,465,162,0.7416267942583732,0.2583732057416268
1131055,2048,186,77,0.7072243346007605,0.29277566539923955
1131056,2049,303,160,0.6544276457883369,0.34557235421166305
1131057,2050,616,245,0.7154471544715447,0.2845528455284553
1131058,2051,754,325,0.6987951807228916,0.30120481927710846
1131059,2052,652,386,0.628131021194605,0.371868978805395
1131060,2053,1986,1013,0.6622207402467489,0.33777925975325107
1131061,2054,708,292,0.708,0.292
1131062,2055,5,2,0.7142857142857143,0.2857142857142857
1131063,2056,458,184,0.7133956386292835,0.2866043613707165
1131064,2057,29,10,0.7435897435897436,0.2564102564102564
1131065,2058,685,201,0.7731376975169301,0.22686230248307
1131067,2059,3,2,0.6,0.4
1131068,2060,17,21,0.4473684210526316,0.5526315789473685
1131076,2061,9,3,0.75,0.25
1131077,2062,0,0,0.0,0.0
1131078,2063,306,53,0.8523676880222841,0.14763231197771587
1131079,2064,708,243,0.7444794952681388,0.2555205047318612
1131080,2065,187,34,0.8461538461538461,0.15384615384615385
1131081,2066,1225,478,0.7193188490898414,0.28068115091015855
1131082,2067,55,19,0.7432432432432432,0.25675675675675674
1131084,2069,1401,340,0.8047099368179207,0.19529006318207925
1131086,2071,117,22,0.841726618705036,0.15827338129496402
1131087,2072,1109,165,0.8704866562009419,0.12951334379905807
1131088,2073,459,162,0.7391304347826086,0.2608695652173913
1131089,2074,601,65,0.9024024024024024,0.09759759759759759
1131091,2076,531,145,0.7855029585798816,0.21449704142011836
1131092,2077,783,122,0.8651933701657458,0.13480662983425415
1131093,2078,413,59,0.875,0.125
1131097,2082,600,169,0.7802340702210663,0.21976592977893367
1131098,2083,522,101,0.8378812199036918,0.16211878009630817
1131099,2084,18,9,0.6666666666666666,0.3333333333333333
1131104,2089,563,111,0.8353115727002968,0.16468842729970326
1131105,2090,11,2,0.8461538461538461,0.15384615384615385
1131106,2091,51,18,0.7391304347826086,0.2608695652173913
1131107,2092,167,58,0.7422222222222222,0.2577777777777778
1131110,2095,4,0,1.0,0.0
1131114,2098,157,14,0.9181286549707602,0.08187134502923976
1131115,2099,448,172,0.7225806451612903,0.27741935483870966
1131116,2100,389,164,0.7034358047016275,0.2965641952983725
1131121,2101,524,208,0.7158469945355191,0.28415300546448086
1131125,2103,411,260,0.6125186289120715,0.38748137108792846
1131129,2105,40,5,0.8888888888888888,0.1111111111111111
1131133,2106,144,81,0.64,0.36
1131134,2107,131,18,0.8791946308724832,0.12080536912751678
1131135,2108,393,66,0.8562091503267973,0.1437908496732026
1131137,2110,12,6,0.6666666666666666,0.3333333333333333
1131151,2120,24,12,0.6666666666666666,0.3333333333333333
1131153,2121,4,0,1.0,0.0
1131159,2122,0,0,0.0,0.0
1131162,2123,0,0,0.0,0.0
1131163,2124,570,420,0.5757575757575758,0.42424242424242425
1131164,2125,850,688,0.552665799739922,0.44733420026007803
1131165,2126,870,623,0.5827193569993302,0.4172806430006698
1131168,2127,1225,810,0.601965601965602,0.39803439803439805
1131169,2128,1248,769,0.6187407040158651,0.3812592959841348
1131170,2129,599,364,0.6220145379023884,0.37798546209761164
1131171,2130,1026,540,0.6551724137931034,0.3448275862068966
1131172,2131,796,457,0.6352753391859537,0.3647246608140463
1131173,2132,504,267,0.6536964980544747,0.3463035019455253
1131174,2133,1123,626,0.6420811892510006,0.35791881074899945
1131176,2134,0,0,0.0,0.0
1131303,2138,20,2,0.9090909090909091,0.09090909090909091
1131307,2141,46,2,0.9583333333333334,0.041666666666666664
1131309,2143,82,13,0.8631578947368421,0.1368421052631579
1131313,2147,129,21,0.86,0.14
1131314,2148,518,297,0.6355828220858896,0.36441717791411044
1131328,2156,0,2,0.0,1.0
1131329,2157,0,1,0.0,1.0
1131401,2158,81,40,0.6694214876033058,0.3305785123966942
1131402,2159,522,216,0.7073170731707317,0.2926829268292683
1131403,2160,2,8,0.2,0.8
1131404,2161,211,55,0.793233082706767,0.20676691729323307
1131405,2162,78,34,0.6964285714285714,0.30357142857142855
1131406,2163,146,35,0.8066298342541437,0.19337016574585636
1131407,2164,2,2,0.5,0.5
1131408,2165,0,1,0.0,1.0
1131409,2166,139,62,0.6915422885572139,0.30845771144278605
1131410,2167,397,194,0.6717428087986463,0.32825719120135366
1131411,2168,762,337,0.6933575978161965,0.30664240218380345
