CNTYVTD,VTDKEY,HunterR_22G_State Rep 32
"0070001",69,0
"0070002",70,0
"0070003",71,0
"0070004",72,0
"007001A",73,0
"007004A",74,0
"3550002",7149,0
"3550003",7150,0
"3550005",7152,0
"3550006",7153,0
"3550008A",7155,0
"3550008B",7156,0
"3550008C",7157,0
"3550016",7165,0
"3550017",7166,0
"3550018",7167,0
"3550019",7168,0
"3550026",7175,0
"3550029",7178,0
"3550032",7181,0
"3550040",7189,0
"3550042",7191,0
"3550063",7212,0
"3550064",7213,0
"3550065",7214,0
"3550067",7216,0
"3550070",7219,0
"3550081",7230,0
"3550084",7233,0
"3550086",7235,0
"3550088",7237,0
"3550089",7238,0
"3550090",7239,0
"3550091",7240,0
"3550092A",7241,0
"3550092B",7242,0
"3550109",7259,0
"3550115",7265,0
"3550116",7266,0
"3550117",7267,0
"3550119",7269,0
"3550120",7270,0
"3550122",7272,0
"3550124",7274,0
"3550125",7275,0
"3550126",7276,0
"3550127",7277,0
"3550128",7278,0
"3550129",7279,0
