CNTYVTD,VTDKEY,AllredD_22G_U.S. Rep 32,SwadR_22G_U.S. Rep 32
"0850023",1656,718,279
"0850026",1659,278,279
"0850046",1679,716,495
"0850048",1681,1168,968
"0850051",1684,371,258
"0850052",1685,1061,691
"0850055",1688,1379,665
"0850068",1701,469,438
"0850078",1711,1328,877
"0850094",1727,1352,1063
"0850103",1736,313,248
"0850110",1743,752,793
"0850125",1758,1481,1143
"0850152",1785,66,26
"1131004",2031,563,425
"1131039",2034,75,10
"1131040",2035,778,359
"1131041",2036,149,26
"1131045",2039,440,112
"1131046",2040,132,54
"1131047",2041,404,224
"1131048",2042,1092,755
"1131049",2043,687,485
"1131050",2044,70,50
"1131051",2045,78,46
"1131052",2046,1424,682
"1131054",2047,465,162
"1131055",2048,186,77
"1131056",2049,303,160
"1131057",2050,616,245
"1131058",2051,754,325
"1131059",2052,652,386
"1131060",2053,1986,1013
"1131061",2054,708,292
"1131062",2055,5,2
"1131063",2056,458,184
"1131064",2057,29,10
"1131065",2058,685,201
"1131067",2059,3,2
"1131068",2060,17,21
"1131076",2061,9,3
"1131077",2062,0,0
"1131078",2063,306,53
"1131079",2064,708,243
"1131080",2065,187,34
"1131081",2066,1225,478
"1131082",2067,55,19
"1131084",2069,1401,340
"1131086",2071,117,22
"1131087",2072,1109,165
"1131088",2073,459,162
"1131089",2074,601,65
"1131091",2076,531,145
"1131092",2077,783,122
"1131093",2078,413,59
"1131097",2082,600,169
"1131098",2083,522,101
"1131099",2084,18,9
"1131104",2089,563,111
"1131105",2090,11,2
"1131106",2091,51,18
"1131107",2092,167,58
"1131110",2095,4,0
"1131114",2098,157,14
"1131115",2099,448,172
"1131116",2100,389,164
"1131121",2101,524,208
"1131125",2103,411,260
"1131129",2105,40,5
"1131133",2106,144,81
"1131134",2107,131,18
"1131135",2108,393,66
"1131137",2110,12,6
"1131151",2120,24,12
"1131153",2121,4,0
"1131159",2122,0,0
"1131162",2123,0,0
"1131163",2124,570,420
"1131164",2125,850,688
"1131165",2126,870,623
"1131168",2127,1225,810
"1131169",2128,1248,769
"1131170",2129,599,364
"1131171",2130,1026,540
"1131172",2131,796,457
"1131173",2132,504,267
"1131174",2133,1123,626
"1131176",2134,0,0
"1131303",2138,20,2
"1131307",2141,46,2
"1131309",2143,82,13
"1131313",2147,129,21
"1131314",2148,518,297
"1131328",2156,0,2
"1131329",2157,0,1
"1131401",2158,81,40
"1131402",2159,522,216
"1131403",2160,2,8
"1131404",2161,211,55
"1131405",2162,78,34
"1131406",2163,146,35
"1131407",2164,2,2
"1131408",2165,0,1
"1131409",2166,139,62
"1131410",2167,397,194
"1131411",2168,762,337
"1131412",2169,70,65
"1131703",2173,741,419
"1131704",2174,360,203
"1131705",2175,508,320
"1131706",2176,593,390
"1131707",2177,88,32
"1131730",2200,0,0
"1131731",2201,0,0
"1131748",2218,591,295
"1131749",2219,968,599
"1131750",2220,736,666
"1131751",2221,1595,1192
"1131752",2222,1023,702
"1132017",2237,512,216
"1132020",2240,966,577
"1132031",2250,1213,665
"1132032",2251,760,358
"1132033",2252,741,477
"1132035",2253,646,385
"1132038",2255,1248,823
"1132039",2256,1187,591
"1132040",2257,739,472
"1132041",2258,1225,1467
"1132042",2259,1242,763
"1132043",2260,833,570
"1132044",2261,379,282
"1132045",2262,803,509
"1132048",2265,1272,671
"1132053",2270,812,315
"1132054",2271,757,286
"1132055",2272,357,173
"1132079",2279,551,140
"1132081",2281,249,32
"1132082",2282,951,235
"1132083",2283,579,284
"1132084",2284,150,33
"1132085",2285,108,45
"1132086",2286,1191,499
"1132087",2287,1183,392
"1132108",2306,210,164
"1132118",2316,305,44
"1132119",2317,71,49
"1132120",2318,603,318
"1132121",2319,240,36
"1132122",2320,401,210
"1132123",2321,366,127
"1132124",2322,540,119
"1132125",2323,965,93
"1132126",2324,236,78
"1132127",2325,984,476
"1132128",2326,965,422
"1132129",2327,147,30
"1132130",2328,306,113
"1132131",2329,538,124
"1132132",2330,211,83
"1132133",2331,40,9
"1132134",2332,544,171
"1132137",2333,305,69
"1132138",2334,195,64
"1132139",2335,165,50
"1132140",2336,176,47
"1132141",2337,222,68
"1132142",2338,302,91
"1132143",2339,110,57
"1132144",2340,577,370
"1132145",2341,975,542
"1132146",2342,801,303
"1132147",2343,840,447
"1132148",2344,249,61
"1132149",2345,687,182
"1132150",2346,374,99
"1132151",2347,87,41
"1132152",2348,664,237
"1132153",2349,447,161
"1132154",2350,8,5
"1132155",2351,1010,395
"1132305",2367,730,354
"1132402",2380,837,683
"1132403",2381,0,1
"1132404",2382,502,358
"1132406",2384,955,625
"1132410",2388,447,256
"1132417",2391,56,53
"1132501",2393,484,443
"1132502",2394,549,764
"1132505",2397,678,475
"1132508",2400,1058,512
"1132509",2401,964,895
"1132510",2402,643,401
"1132511",2403,661,519
"1132512",2404,458,370
"1132513",2405,802,550
"1132514",2406,850,673
"1132517",2408,764,289
"1132518",2409,649,467
"1132519",2410,733,368
"1132520",2411,1145,538
"1132521",2412,782,505
"1132523",2413,499,206
"1132901",2440,450,174
"1132902",2441,519,288
"1132903",2442,930,484
"1132913",2447,0,2
"11329A1",2448,0,0
"1133116",2570,1,0
"1133308",2596,445,310
"1133314",2602,1031,501
"1133327",2610,4,0
"1133328",2611,9,7
"1212100",3038,951,379
"1212101",3039,1009,352
"1212102",3040,1266,681
"1212103",3041,637,408
"1212109",3047,1033,702
