CNTYVTD,VTDKEY,Voter_Registration,Turnout,Spanish_Surname_Voter_Registration,Spanish_Surname_Turnout
0010001,1,1785,436,182,0.035799522673031
0010002,2,2632,668,94,0.0134730538922156
0010003,3,1207,377,69,0.0080213903743315
0010004,4,1563,465,46,0.0134228187919463
0010005,5,288,85,5,0.0
0010006,6,1436,171,127,0.0350877192982456
0010007,7,1339,51,265,0.0980392156862745
0010008,8,360,42,76,0.108695652173913
0010009,9,1385,327,71,0.0091185410334346
0010010,10,569,128,43,0.053030303030303
0010011,11,1285,349,62,0.0171428571428571
0010013,12,1790,399,210,0.0555555555555556
0010015,13,920,349,49,0.0285714285714286
0010016,14,888,223,45,0.0044052863436123
0010017,15,830,223,71,0.0387931034482759
0010018,16,2118,466,66,0.0147991543340381
0010019,17,2289,464,234,0.0391304347826087
0010020,18,1165,314,159,0.0378548895899054
0010021,19,1848,546,132,0.0237226277372263
0010022,20,1041,392,54,0.0229007633587786
0010023,21,1299,415,34,0.0120192307692308
0010024,22,865,288,24,0.0175438596491228
0030001,23,2466,477,1032,0.202083333333333
0030002,24,2803,768,831,0.1328125
0030003,25,2480,533,1084,0.180112570356473
0030004,26,2393,352,1172,0.255747126436782
0050001,27,546,83,161,0.051948051948052
0050002,28,2593,106,585,0.111111111111111
0050003,29,2043,396,253,0.0327455919395466
0050004,30,1532,166,228,0.0239520958083832
0050005,31,1800,229,298,0.0577777777777778
0050006,32,560,140,30,0.0357142857142857
0050007,33,1386,385,85,0.0104166666666667
0050008,34,1325,422,52,0.0210772833723653
0050009,35,288,79,14,0.0114942528735632
0050010,36,1213,139,206,0.0357142857142857
0050010,37,167,19,36,0.0
0050011,38,2223,542,72,0.018450184501845
0050012,39,897,213,70,0.019047619047619
0050013,40,719,98,126,0.08
0050014,41,1879,392,212,0.0554156171284635
0050015,42,722,136,170,0.0746268656716418
0050016,43,2217,211,872,0.160377358490566
0050017,44,1721,510,33,0.0135396518375242
0050018,45,709,156,55,0.0131578947368421
0050019,46,1420,388,86,0.0334190231362468
0050020,47,2691,72,572,0.0273972602739726
0050021,48,1092,231,96,0.0307017543859649
0050022,49,1150,306,50,0.0228758169934641
0050023,50,715,150,40,0.0133333333333333
0050024,51,2701,430,362,0.0329411764705882
0050025,52,2456,513,281,0.0405405405405405
0050026,53,1645,542,89,0.0220994475138122
0050027,54,346,124,13,0.008130081300813
0050028,55,1192,324,155,0.0542168674698795
0050029,56,1571,353,100,0.0170454545454545
0050030,57,1113,275,28,0.0143884892086331
0050031,58,483,73,118,0.0985915492957746
0050032,59,112,36,1,0.0
0050033,60,1368,361,33,0.0055555555555555
0050034,61,2224,549,139,0.0217785843920145
0050035,62,1816,445,128,0.0088888888888888
0050037,63,543,122,62,0.0336134453781513
0050038,64,429,89,75,0.0224719101123595
0050039,65,530,91,50,0.021978021978022
0050040,66,829,150,92,0.0460526315789474
005011,67,1261,192,52,0.0158730158730159
005017,68,456,95,6,0.0319148936170213
0070001,69,2423,605,319,0.0913539967373573
0070002,70,3876,648,1148,0.183308494783905
0070003,71,4599,1375,454,0.0396881644223955
0070004,72,3990,1147,358,0.0537727666955768
007001,73,1932,255,411,0.08203125
007004,74,1208,378,97,0.0364583333333333
0090001,75,1401,339,52,0.0116279069767442
0090002,76,807,212,23,0.0046728971962616
0090003,77,382,153,24,0.0128205128205128
0090004,78,669,320,48,0.0030959752321981
0090005,79,187,77,5,0.0
0090006,80,1134,353,35,0.0083333333333333
0090007,81,214,52,8,0.0
0090008,82,351,87,11,0.0
0090009,83,171,43,4,0.0
0090010,84,844,206,37,0.0289855072463768
0090011,85,19,4,0,0.0
0090012,86,94,25,10,0.04
0090013,87,164,50,4,0.02
0110101,88,395,166,15,0.0121212121212121
0110201,89,228,97,11,0.0204081632653061
0110202,90,82,41,1,0.0
0110301,91,276,145,9,0.0277777777777778
0110303,92,57,22,1,0.0
0110401,93,194,113,9,0.0431034482758621
0110402,94,186,78,11,0.0
0110404,95,25,12,0,0.0
0130001,96,899,226,336,0.15450643776824
0130003,97,1539,225,701,0.208888888888889
0130004,98,1093,93,652,0.32967032967033
0130005,99,1584,126,1046,0.369230769230769
0130006,100,482,88,242,0.316455696202532
0130007,101,1900,196,1147,0.243654822335025
0130008,102,552,116,260,0.296610169491525
0130009,103,2418,273,1461,0.286259541984733
0130010,104,629,116,353,0.336
0130011,105,1743,267,888,0.286792452830189
0130012,106,1360,219,813,0.331818181818182
0130013,107,2613,495,1155,0.193814432989691
0130014,108,210,67,60,0.119402985074627
0130015,109,2697,341,1652,0.303468208092486
0130017,110,2136,225,1670,0.51528384279476
0130018,111,1760,249,1084,0.243027888446215
0130019,112,536,87,252,0.186046511627907
0130020,113,3670,975,1172,0.169888097660224
0130021,114,970,252,345,0.131274131274131
0130022,115,741,220,270,0.202764976958525
0150101,116,1386,276,146,0.025089605734767
0150102,117,1410,306,155,0.0423452768729642
0150103,118,1433,424,86,0.0305882352941176
0150104,119,841,201,95,0.0245098039215686
0150205,120,2743,642,212,0.0108695652173913
0150206,121,1346,399,60,0.0272952853598015
0150207,122,731,212,49,0.0239234449760766
0150208,123,643,201,33,0.0146341463414634
0150309,124,625,182,51,0.0212765957446809
0150310,125,2828,493,496,0.036
0150311,126,1147,111,385,0.0636363636363636
0150412,127,655,118,82,0.0423728813559322
0150413,128,1456,419,237,0.0420560747663551
0150414,129,1486,264,366,0.048689138576779
0150415,130,1548,336,337,0.0714285714285714
0170001,131,968,281,410,0.167247386759582
0170002,132,1075,373,278,0.081151832460733
0170003,133,791,137,461,0.304964539007092
0170004,134,508,65,397,0.346666666666667
0170004,135,103,8,15,0.111111111111111
0190101,136,1816,424,226,0.068649885583524
0190102,137,2773,702,341,0.0748587570621469
0190203,138,2358,561,329,0.0720562390158172
0190204,139,1855,479,283,0.0761316872427984
0190305,140,2779,771,336,0.064968152866242
0190306,141,1469,477,101,0.0294117647058824
0190407,142,2466,764,254,0.0611464968152866
0190408,143,268,106,15,0.0540540540540541
0190409,144,944,198,140,0.0752688172043011
0190410,145,518,193,33,0.0510204081632653
0211001,146,373,78,33,0.0649350649350649
0211002,147,675,145,77,0.0547945205479452
0211003,148,2474,440,310,0.0911161731207289
0211004,149,2118,314,339,0.0993788819875776
0211005,150,1225,196,154,0.076530612244898
0211006,151,2617,249,823,0.104417670682731
0211007,152,1878,386,197,0.0670103092783505
0211008,153,1332,210,214,0.0473933649289099
0211009,154,2158,316,519,0.0793650793650794
0212010,155,670,88,73,0.0602409638554217
0212011,156,1896,261,290,0.0695970695970696
0212012,157,1512,414,112,0.0435835351089588
0212013,158,3005,623,404,0.0770440251572327
0212014,159,2993,641,371,0.0279503105590062
0212015,160,2956,625,326,0.0584518167456556
0212016,161,2621,767,237,0.0297927461139896
0213017,162,2598,497,374,0.063872255489022
0213018,163,1582,391,159,0.0201005025125628
0213019,164,2684,299,905,0.118811881188119
0213020,165,3074,230,1343,0.163793103448276
0214021,166,2735,446,443,0.0743243243243243
0214022,167,2277,477,385,0.0502092050209205
0214023,168,1351,316,185,0.0376175548589342
0214024,169,1617,301,338,0.0688524590163934
0214025,170,2405,231,872,0.141025641025641
0214026,171,2070,247,465,0.0714285714285714
0230001,172,630,135,49,0.0638297872340425
0230002,173,579,123,37,0.0158730158730159
0230003,174,577,99,46,0.0505050505050505
0230004,175,555,172,42,0.0327868852459016
0250001,176,2170,266,1210,0.231046931407942
0250002,177,528,120,197,0.161290322580645
0250003,178,1767,208,1024,0.354368932038835
0250004,179,613,135,242,0.210144927536232
0250005,180,902,170,356,0.169590643274854
0250006,181,1262,256,648,0.396363636363636
0250009,182,724,43,623,0.777777777777778
0250010,183,1482,83,1137,0.535714285714286
0250013,184,1549,210,871,0.150943396226415
0250016,185,1039,160,580,0.305389221556886
0250017,186,1145,115,739,0.26271186440678
0250018,187,1716,358,653,0.148459383753501
0250019,188,594,27,477,0.733333333333333
0270101,189,4159,758,375,0.0381194409148666
0270102,190,2922,511,317,0.0409356725146199
0270103,191,2636,271,724,0.0575539568345324
0270104,192,3672,676,321,0.0272206303724928
0270105,193,1686,311,169,0.028125
0270106,194,4355,182,616,0.0752688172043011
0270107,195,598,90,127,0.010989010989011
0270108,196,1743,402,167,0.0194647201946472
0270109,197,3022,124,406,0.153846153846154
0270110,198,3104,33,427,0.0810810810810811
0270111,199,3982,463,483,0.0420168067226891
0270113,200,4060,560,743,0.0575916230366492
0270114,201,2967,291,368,0.0735785953177258
0270115,202,4706,721,382,0.0309139784946237
0270116,203,1589,85,266,0.0919540229885057
0270117,204,0,0,0,0.0
0270118,205,2408,434,195,0.0308370044052863
0270119,206,2525,266,362,0.0766423357664234
0270201,207,3442,251,445,0.0679245283018868
0270202,208,4653,397,558,0.0730478589420655
0270203,209,3981,960,356,0.0327868852459016
0270204,210,2304,66,349,0.15625
0270205,211,5028,218,749,0.0851063829787234
0270206,212,2862,154,445,0.159235668789809
0270207,213,3776,111,595,0.157894736842105
0270208,214,4716,214,710,0.155963302752294
0270209,215,4126,211,484,0.104545454545455
0270210,216,4618,197,585,0.118226600985222
0270211,217,1086,99,140,0.127450980392157
0270212,218,1174,193,125,0.125628140703518
0270213,219,4286,1273,223,0.0267584097859327
0270214,220,4506,287,598,0.0748299319727891
0270215,221,5464,264,713,0.135849056603774
0270216,222,3549,341,413,0.0681818181818182
0270301,223,4169,746,464,0.0511811023622047
0270302,224,4719,539,612,0.035650623885918
0270303,225,5069,501,914,0.0779727095516569
0270304,226,363,80,64,0.0238095238095238
0270305,227,2207,407,228,0.0326340326340326
0270306,228,3813,166,863,0.0526315789473684
0270307,229,3439,113,760,0.0956521739130435
0270308,230,4066,450,507,0.0524109014675052
0270309,231,1346,298,100,0.0465116279069767
0270310,232,525,152,32,0.0129032258064516
0270311,233,3246,705,277,0.040983606557377
