CNTYVTD,VTDKEY,HunterR_22P_State Rep 32,HunterR_22P_State Rep 32_Percentage
70001,69,510,1.0
70002,70,560,1.0
70003,71,1222,1.0
70004,72,991,1.0
7001,73,216,1.0
7004,74,339,1.0
3550002,7149,206,1.0
3550003,7150,376,1.0
3550005,7152,206,1.0
3550006,7153,366,1.0
3550008,7155,155,1.0
3550008,7156,2,1.0
3550008,7157,0,0.0
3550016,7165,113,1.0
3550017,7166,152,1.0
3550018,7167,222,1.0
3550019,7168,676,1.0
3550026,7175,569,1.0
3550029,7178,343,1.0
3550032,7181,173,1.0
3550040,7189,830,1.0
3550042,7191,73,1.0
3550063,7212,358,1.0
3550064,7213,145,1.0
3550065,7214,414,1.0
3550067,7216,307,1.0
3550070,7219,80,1.0
3550081,7230,773,1.0
3550084,7233,37,1.0
3550086,7235,58,1.0
3550088,7237,184,1.0
3550089,7238,35,1.0
3550090,7239,41,1.0
3550091,7240,242,1.0
3550092,7241,210,1.0
3550092,7242,7,1.0
3550109,7259,38,1.0
3550115,7265,173,1.0
3550116,7266,289,1.0
3550117,7267,386,1.0
3550119,7269,319,1.0
3550120,7270,184,1.0
3550122,7272,469,1.0
3550124,7274,250,1.0
3550125,7275,209,1.0
3550126,7276,466,1.0
3550127,7277,270,1.0
3550128,7278,229,1.0
3550129,7279,286,1.0
