CNTYVTD,VTDKEY,DavisR_22P_U.S. Rep 32,DayR_22P_U.S. Rep 32,NamdarR_22P_U.S. Rep 32,OkpaR_22P_U.S. Rep 32,SwadR_22P_U.S. Rep 32,WebbR_22P_U.S. Rep 32,DavisR_22P_U.S. Rep 32_Percentage,DayR_22P_U.S. Rep 32_Percentage,NamdarR_22P_U.S. Rep 32_Percentage,OkpaR_22P_U.S. Rep 32_Percentage,SwadR_22P_U.S. Rep 32_Percentage,WebbR_22P_U.S. Rep 32_Percentage
850023,1656,17,9,11,2,13,19,0.23943661971830985,0.1267605633802817,0.15492957746478872,0.028169014084507043,0.18309859154929578,0.2676056338028169
850026,1659,31,7,10,1,36,23,0.28703703703703703,0.06481481481481481,0.09259259259259259,0.009259259259259259,0.3333333333333333,0.21296296296296297
850046,1679,54,9,17,10,46,42,0.30337078651685395,0.05056179775280899,0.09550561797752809,0.056179775280898875,0.25842696629213485,0.23595505617977527
850048,1681,95,25,78,18,116,83,0.2289156626506024,0.060240963855421686,0.18795180722891566,0.043373493975903614,0.27951807228915665,0.2
850051,1684,37,3,9,0,22,14,0.43529411764705883,0.03529411764705882,0.10588235294117647,0.0,0.25882352941176473,0.16470588235294117
850052,1685,86,26,16,9,44,50,0.3722943722943723,0.11255411255411256,0.06926406926406926,0.03896103896103896,0.19047619047619047,0.21645021645021645
850055,1688,71,21,30,11,80,32,0.2897959183673469,0.08571428571428572,0.12244897959183673,0.044897959183673466,0.32653061224489793,0.1306122448979592
850068,1701,70,17,16,9,49,30,0.36649214659685864,0.08900523560209424,0.08376963350785341,0.04712041884816754,0.25654450261780104,0.15706806282722513
850078,1711,100,19,35,14,79,75,0.3105590062111801,0.059006211180124224,0.10869565217391304,0.043478260869565216,0.2453416149068323,0.2329192546583851
850094,1727,109,31,41,22,90,76,0.2953929539295393,0.08401084010840108,0.1111111111111111,0.05962059620596206,0.24390243902439024,0.20596205962059622
850103,1736,32,6,6,1,25,16,0.37209302325581395,0.06976744186046512,0.06976744186046512,0.011627906976744186,0.29069767441860467,0.18604651162790697
850110,1743,73,69,32,17,96,45,0.21987951807228914,0.20783132530120482,0.0963855421686747,0.05120481927710843,0.2891566265060241,0.1355421686746988
850125,1758,124,41,47,26,107,63,0.30392156862745096,0.10049019607843138,0.11519607843137254,0.06372549019607843,0.2622549019607843,0.15441176470588236
850152,1785,1,0,1,0,2,4,0.125,0.0,0.125,0.0,0.25,0.5
1131004,2031,41,26,19,6,78,24,0.211340206185567,0.13402061855670103,0.0979381443298969,0.030927835051546393,0.4020618556701031,0.12371134020618557
1131039,2034,0,2,0,0,1,0,0.0,0.6666666666666666,0.0,0.0,0.3333333333333333,0.0
1131040,2035,27,20,7,4,50,34,0.19014084507042253,0.14084507042253522,0.04929577464788732,0.028169014084507043,0.352112676056338,0.23943661971830985
1131041,2036,2,0,1,1,1,2,0.2857142857142857,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.2857142857142857
1131045,2039,7,1,0,1,13,4,0.2692307692307692,0.038461538461538464,0.0,0.038461538461538464,0.5,0.15384615384615385
1131046,2040,0,5,1,0,4,3,0.0,0.38461538461538464,0.07692307692307693,0.0,0.3076923076923077,0.23076923076923078
1131047,2041,12,11,1,2,37,18,0.14814814814814814,0.13580246913580246,0.012345679012345678,0.024691358024691357,0.4567901234567901,0.2222222222222222
1131048,2042,40,30,25,13,160,56,0.12345679012345678,0.09259259259259259,0.07716049382716049,0.040123456790123455,0.49382716049382713,0.1728395061728395
1131049,2043,39,15,20,5,72,25,0.2215909090909091,0.08522727272727272,0.11363636363636363,0.028409090909090908,0.4090909090909091,0.14204545454545456
1131050,2044,1,2,1,2,8,1,0.06666666666666667,0.13333333333333333,0.06666666666666667,0.13333333333333333,0.5333333333333333,0.06666666666666667
1131051,2045,1,4,0,0,16,3,0.041666666666666664,0.16666666666666666,0.0,0.0,0.6666666666666666,0.125
1131052,2046,30,25,36,14,94,56,0.11764705882352941,0.09803921568627451,0.1411764705882353,0.054901960784313725,0.3686274509803922,0.2196078431372549
1131054,2047,4,4,8,4,28,6,0.07407407407407407,0.07407407407407407,0.14814814814814814,0.07407407407407407,0.5185185185185185,0.1111111111111111
1131055,2048,3,2,0,2,10,3,0.15,0.1,0.0,0.1,0.5,0.15
1131056,2049,9,6,5,0,36,11,0.13432835820895522,0.08955223880597014,0.07462686567164178,0.0,0.5373134328358209,0.16417910447761194
1131057,2050,8,13,14,1,47,12,0.08421052631578947,0.1368421052631579,0.14736842105263157,0.010526315789473684,0.49473684210526314,0.12631578947368421
1131058,2051,12,6,9,5,37,24,0.12903225806451613,0.06451612903225806,0.0967741935483871,0.053763440860215055,0.3978494623655914,0.25806451612903225
1131059,2052,20,16,31,7,69,21,0.12195121951219512,0.0975609756097561,0.18902439024390244,0.042682926829268296,0.42073170731707316,0.12804878048780488
1131060,2053,52,31,36,19,197,60,0.13164556962025317,0.07848101265822785,0.09113924050632911,0.04810126582278481,0.49873417721518987,0.1518987341772152
1131061,2054,9,8,9,8,73,20,0.07086614173228346,0.06299212598425197,0.07086614173228346,0.06299212598425197,0.5748031496062992,0.15748031496062992
1131062,2055,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,1.0
1131063,2056,9,11,3,2,27,5,0.15789473684210525,0.19298245614035087,0.05263157894736842,0.03508771929824561,0.47368421052631576,0.08771929824561403
1131064,2057,0,0,0,0,3,0,0.0,0.0,0.0,0.0,1.0,0.0
1131065,2058,5,5,4,0,30,6,0.1,0.1,0.08,0.0,0.6,0.12
1131067,2059,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1.0,0.0
1131068,2060,2,1,0,0,5,1,0.2222222222222222,0.1111111111111111,0.0,0.0,0.5555555555555556,0.1111111111111111
1131076,2061,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1131077,2062,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1131078,2063,3,1,0,2,9,2,0.17647058823529413,0.058823529411764705,0.0,0.11764705882352941,0.5294117647058824,0.11764705882352941
1131079,2064,11,13,9,1,30,26,0.12222222222222222,0.14444444444444443,0.1,0.011111111111111112,0.3333333333333333,0.28888888888888886
1131080,2065,3,6,0,1,7,0,0.17647058823529413,0.35294117647058826,0.0,0.058823529411764705,0.4117647058823529,0.0
1131081,2066,15,29,15,12,95,64,0.06521739130434782,0.12608695652173912,0.06521739130434782,0.05217391304347826,0.41304347826086957,0.2782608695652174
1131082,2067,0,0,1,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0
1131084,2069,11,15,2,2,63,21,0.09649122807017543,0.13157894736842105,0.017543859649122806,0.017543859649122806,0.5526315789473685,0.18421052631578946
