CNTYVTD,VTDKEY,GuillenR_22P_State Rep 31,BerlangaR_22P_State Rep 31,MonrealR_22P_State Rep 31
470001,1317,12,3,10
470002,1318,42,1,17
470003,1319,12,0,2
470004,1320,37,0,12
47003,1321,7,2,0
1310001,3209,23,5,7
1310002,3210,13,4,6
1310003,3211,9,0,2
1310004,3212,4,0,3
1310005,3213,5,0,5
1310006,3214,10,0,0
1310007,3215,5,0,0
1310008,3216,45,7,20
1310009,3217,14,2,4
2470001,6155,20,0,1
2470002,6156,9,0,1
2470003,6157,7,0,1
2470004,6158,20,1,3
2470005,6159,0,0,0
2550001,6229,128,19,110
2550002,6230,52,4,19
2550003,6231,37,1,24
2550004,6232,123,5,53
2550005,6233,79,5,26
2550006,6234,68,8,35
2550007,6235,144,16,81
2550008,6236,39,5,11
2550009,6237,32,4,20
2550010,6238,73,6,36
2550011,6239,129,10,72
2550012,6240,71,11,54
2550013,6241,16,0,10
2550014,6242,45,8,20
2550015,6243,5,2,6
2610001,6298,2,1,0
2610002,6299,0,0,0
2610003,6300,0,0,0
2610004,6301,4,0,1
2610005,6302,2,0,2
2610006,6303,0,0,0
2830001,6416,17,2,9
2830002,6417,8,1,1
2830003,6418,9,1,4
2830004,6419,3,1,1
2830005,6420,16,0,2
2830006,6421,9,0,2
2970001,6513,106,8,33
2970002,6514,147,12,95
2970003,6515,126,19,70
2970004,6516,124,8,117
2970005,6517,83,2,68
2970006,6518,80,3,37
2970007,6519,16,1,3
2970008,6520,36,3,14
2970009,6521,256,41,94
2970010,6522,84,8,45
2970011,6523,23,1,16
2970012,6524,32,1,16
2970013,6525,107,9,81
2970014,6526,177,10,138
3110001,6749,28,2,4
3110002,6750,59,3,19
3110003,6751,32,0,6
3110004,6752,71,7,10
4270001,7851,194,7,33
4270002,7852,132,3,17
4270003,7853,21,1,6
4270004,7854,39,1,5
4270005,7855,10,0,0
4270006,7856,42,2,7
4270007,7857,32,0,5
4270008,7858,160,4,7
4270009,7859,99,0,8
4270010,7860,166,1,15
4270011,7861,37,4,6
4270012,7862,145,3,24
4270013,7863,72,4,7
4270014,7864,78,1,4
4930101,9626,312,80,242
4930102,9627,106,34,80
4930103,9628,149,38,109
4930104,9629,131,33,99
4930205,9630,390,61,426
4930206,9631,216,86,235
4930207,9632,303,147,294
4930311,9633,268,60,154
4930312,9634,236,73,233
4930313,9635,304,98,197
4930414,9636,359,88,276
4930415,9637,299,71,326
4930416,9638,203,59,129
5050001,9700,14,1,4
5050002,9701,5,0,3
5050003,9702,24,4,23
5050004,9703,4,0,4
505001,9704,1,0,0
505001,9705,0,0,1
505002,9706,1,0,1
