CNTYVTD,VTDKEY,DavisR_22P_U.S. Rep 32,DayR_22P_U.S. Rep 32,NamdarR_22P_U.S. Rep 32,OkpaR_22P_U.S. Rep 32,SwadR_22P_U.S. Rep 32,WebbR_22P_U.S. Rep 32
850023,1656,17,9,11,2,13,19
850026,1659,31,7,10,1,36,23
850046,1679,54,9,17,10,46,42
850048,1681,95,25,78,18,116,83
850051,1684,37,3,9,0,22,14
850052,1685,86,26,16,9,44,50
850055,1688,71,21,30,11,80,32
850068,1701,70,17,16,9,49,30
850078,1711,100,19,35,14,79,75
850094,1727,109,31,41,22,90,76
850103,1736,32,6,6,1,25,16
850110,1743,73,69,32,17,96,45
850125,1758,124,41,47,26,107,63
850152,1785,1,0,1,0,2,4
1131004,2031,41,26,19,6,78,24
1131039,2034,0,2,0,0,1,0
1131040,2035,27,20,7,4,50,34
1131041,2036,2,0,1,1,1,2
1131045,2039,7,1,0,1,13,4
1131046,2040,0,5,1,0,4,3
1131047,2041,12,11,1,2,37,18
1131048,2042,40,30,25,13,160,56
1131049,2043,39,15,20,5,72,25
1131050,2044,1,2,1,2,8,1
1131051,2045,1,4,0,0,16,3
1131052,2046,30,25,36,14,94,56
1131054,2047,4,4,8,4,28,6
1131055,2048,3,2,0,2,10,3
1131056,2049,9,6,5,0,36,11
1131057,2050,8,13,14,1,47,12
1131058,2051,12,6,9,5,37,24
1131059,2052,20,16,31,7,69,21
1131060,2053,52,31,36,19,197,60
1131061,2054,9,8,9,8,73,20
1131062,2055,0,0,0,0,0,1
1131063,2056,9,11,3,2,27,5
1131064,2057,0,0,0,0,3,0
1131065,2058,5,5,4,0,30,6
1131067,2059,0,0,0,0,1,0
1131068,2060,2,1,0,0,5,1
1131076,2061,0,0,0,0,0,0
1131077,2062,0,0,0,0,0,0
1131078,2063,3,1,0,2,9,2
1131079,2064,11,13,9,1,30,26
1131080,2065,3,6,0,1,7,0
1131081,2066,15,29,15,12,95,64
1131082,2067,0,0,1,0,0,0
1131084,2069,11,15,2,2,63,21
1131086,2071,2,2,0,0,3,0
1131087,2072,4,6,3,2,21,10
1131088,2073,5,4,0,1,19,10
1131089,2074,6,0,1,0,6,3
1131091,2076,2,3,1,0,21,4
1131092,2077,7,5,0,1,13,8
1131093,2078,2,0,2,0,8,1
1131097,2082,8,7,4,1,26,15
1131098,2083,6,4,0,0,16,4
1131099,2084,0,0,0,0,0,0
1131104,2089,4,4,0,1,12,5
1131105,2090,0,0,0,0,1,0
1131106,2091,0,0,0,0,5,0
1131107,2092,1,1,0,0,5,3
1131110,2095,0,0,0,0,0,0
1131114,2098,0,0,1,0,1,2
1131115,2099,7,5,5,0,22,10
1131116,2100,7,8,3,5,35,12
1131121,2101,5,5,3,4,28,11
1131125,2103,14,12,6,3,51,20
1131129,2105,0,0,0,0,0,0
1131133,2106,5,1,6,0,18,8
1131134,2107,0,1,0,0,1,0
1131135,2108,1,1,1,2,7,6
1131137,2110,0,0,0,0,0,0
1131151,2120,0,0,0,0,3,2
1131153,2121,0,0,0,0,0,0
1131159,2122,0,0,0,0,0,0
1131162,2123,0,0,0,0,0,0
1131163,2124,20,8,13,8,51,27
1131164,2125,44,25,48,22,152,40
1131165,2126,23,23,14,13,88,34
1131168,2127,48,32,31,20,141,58
1131169,2128,35,22,25,20,130,41
1131170,2129,19,13,9,18,56,26
1131171,2130,32,16,22,7,66,30
1131172,2131,37,14,11,6,84,26
1131173,2132,10,15,23,2,38,18
1131174,2133,27,23,49,8,123,38
1131176,2134,0,0,0,0,0,0
1131303,2138,0,0,0,0,0,0
1131307,2141,0,1,0,0,0,0
1131309,2143,0,1,0,0,0,0
1131313,2147,1,1,1,0,2,4
1131314,2148,14,10,3,2,40,16
