CNTYVTD,VTDKEY,McAuliffeD_24P_State Rep 32
0070001,69,55
0070002,70,82
0070003,71,142
0070004,72,115
007001,73,20
007004,74,29
3550002,7149,142
3550003,7150,230
3550005,7152,108
3550006,7153,95
3550008,7155,83
3550008,7156,0
3550008,7157,0
3550016,7165,39
3550017,7166,141
3550018,7167,77
3550019,7168,96
3550026,7175,190
3550029,7178,200
3550032,7181,94
3550040,7189,122
3550042,7191,29
3550063,7212,157
3550064,7213,64
3550065,7214,169
3550067,7216,179
3550070,7219,94
3550081,7230,158
3550084,7233,35
3550086,7235,41
3550088,7237,136
3550089,7238,22
3550090,7239,41
3550091,7240,142
3550092,7241,132
3550092,7242,4
3550109,7259,23
3550115,7265,96
3550116,7266,228
3550117,7267,81
3550119,7269,123
3550120,7270,90
3550122,7272,129
3550124,7274,156
3550125,7275,126
3550126,7276,174
3550127,7277,55
3550128,7278,112
3550129,7279,134
