CNTYVTD,VTDKEY,BidenD_24P_President,CornejoD_24P_President,LockeD_24P_President,LozadaD_24P_President,PerezD_24P_President,PhillipsD_24P_President,UygurD_24P_President,WilliamsonD_24P_President,BidenD_24P_President_Percentage,CornejoD_24P_President_Percentage,LockeD_24P_President_Percentage,LozadaD_24P_President_Percentage,PerezD_24P_President_Percentage,PhillipsD_24P_President_Percentage,UygurD_24P_President_Percentage,WilliamsonD_24P_President_Percentage
10001,1,39,0,0,0,1,4,0,1,0.8666666666666667,0.0,0.0,0.0,0.022222222222222223,0.08888888888888889,0.0,0.022222222222222223
10002,2,40,0,0,0,1,0,0,7,0.8333333333333334,0.0,0.0,0.0,0.020833333333333332,0.0,0.0,0.14583333333333334
10003,3,19,0,0,0,0,1,0,0,0.95,0.0,0.0,0.0,0.0,0.05,0.0,0.0
10004,4,16,0,0,0,1,2,1,0,0.8,0.0,0.0,0.0,0.05,0.1,0.05,0.0
10005,5,2,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10006,6,69,0,1,0,1,4,2,2,0.8734177215189873,0.0,0.012658227848101266,0.0,0.012658227848101266,0.05063291139240506,0.02531645569620253,0.02531645569620253
10007,7,57,1,0,0,2,7,0,1,0.8382352941176471,0.014705882352941176,0.0,0.0,0.029411764705882353,0.10294117647058823,0.0,0.014705882352941176
10008,8,27,0,0,0,0,1,0,0,0.9642857142857143,0.0,0.0,0.0,0.0,0.03571428571428571,0.0,0.0
10009,9,34,1,0,0,1,1,0,1,0.8947368421052632,0.02631578947368421,0.0,0.0,0.02631578947368421,0.02631578947368421,0.0,0.02631578947368421
10010,10,7,0,0,0,0,0,0,2,0.7777777777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.2222222222222222
10011,11,27,0,3,0,0,3,0,1,0.7941176470588235,0.0,0.08823529411764706,0.0,0.0,0.08823529411764706,0.0,0.029411764705882353
10013,12,59,1,1,1,5,1,0,1,0.855072463768116,0.014492753623188406,0.014492753623188406,0.014492753623188406,0.07246376811594203,0.014492753623188406,0.0,0.014492753623188406
10015,13,7,0,0,0,0,1,0,2,0.7,0.0,0.0,0.0,0.0,0.1,0.0,0.2
10016,14,23,0,0,0,0,2,0,1,0.8846153846153846,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.038461538461538464
10017,15,17,0,0,0,0,3,0,2,0.7727272727272727,0.0,0.0,0.0,0.0,0.13636363636363635,0.0,0.09090909090909091
10018,16,29,1,0,0,0,2,0,0,0.90625,0.03125,0.0,0.0,0.0,0.0625,0.0,0.0
10019,17,41,2,0,0,0,1,1,0,0.9111111111111111,0.044444444444444446,0.0,0.0,0.0,0.022222222222222223,0.022222222222222223,0.0
10020,18,25,0,0,0,1,1,0,2,0.8620689655172413,0.0,0.0,0.0,0.034482758620689655,0.034482758620689655,0.0,0.06896551724137931
10021,19,14,0,0,0,0,1,0,0,0.9333333333333333,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0
10022,20,20,1,0,0,0,2,0,0,0.8695652173913043,0.043478260869565216,0.0,0.0,0.0,0.08695652173913043,0.0,0.0
10023,21,10,0,0,0,0,0,0,1,0.9090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091
10024,22,11,0,0,1,0,0,0,2,0.7857142857142857,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.14285714285714285
30001,23,18,2,0,0,4,1,0,1,0.6923076923076923,0.07692307692307693,0.0,0.0,0.15384615384615385,0.038461538461538464,0.0,0.038461538461538464
30002,24,19,1,2,2,3,1,2,2,0.59375,0.03125,0.0625,0.0625,0.09375,0.03125,0.0625,0.0625
30003,25,21,1,0,2,2,0,1,1,0.75,0.03571428571428571,0.0,0.07142857142857142,0.07142857142857142,0.0,0.03571428571428571,0.03571428571428571
30004,26,16,2,0,0,1,0,0,0,0.8421052631578947,0.10526315789473684,0.0,0.0,0.05263157894736842,0.0,0.0,0.0
50001,27,9,0,0,0,1,0,0,0,0.9,0.0,0.0,0.0,0.1,0.0,0.0,0.0
50002,28,114,4,0,1,1,0,0,3,0.926829268292683,0.032520325203252036,0.0,0.008130081300813009,0.008130081300813009,0.0,0.0,0.024390243902439025
50003,29,28,0,0,0,2,0,1,0,0.9032258064516129,0.0,0.0,0.0,0.06451612903225806,0.0,0.03225806451612903,0.0
50004,30,34,0,0,0,0,1,0,1,0.9444444444444444,0.0,0.0,0.0,0.0,0.027777777777777776,0.0,0.027777777777777776
50005,31,37,2,0,0,1,2,0,4,0.8043478260869565,0.043478260869565216,0.0,0.0,0.021739130434782608,0.043478260869565216,0.0,0.08695652173913043
50006,32,8,0,0,0,0,1,0,0,0.8888888888888888,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0
50007,33,14,0,0,0,0,3,0,1,0.7777777777777778,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.05555555555555555
50008,34,7,0,0,1,0,2,0,1,0.6363636363636364,0.0,0.0,0.09090909090909091,0.0,0.18181818181818182,0.0,0.09090909090909091
50009,35,7,0,1,1,0,1,1,1,0.5833333333333334,0.0,0.08333333333333333,0.08333333333333333,0.0,0.08333333333333333,0.08333333333333333,0.08333333333333333
50010,36,39,0,0,1,0,3,0,1,0.8863636363636364,0.0,0.0,0.022727272727272728,0.0,0.06818181818181818,0.0,0.022727272727272728
50010,37,5,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50011,38,17,0,1,0,0,2,1,0,0.8095238095238095,0.0,0.047619047619047616,0.0,0.0,0.09523809523809523,0.047619047619047616,0.0
50012,39,11,0,0,1,1,0,0,1,0.7857142857142857,0.0,0.0,0.07142857142857142,0.07142857142857142,0.0,0.0,0.07142857142857142
50013,40,14,0,0,0,0,0,0,1,0.9333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667
50014,41,65,0,1,2,0,4,2,2,0.8552631578947368,0.0,0.013157894736842105,0.02631578947368421,0.0,0.05263157894736842,0.02631578947368421,0.02631578947368421
50015,42,5,0,0,0,1,0,0,0,0.8333333333333334,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0
50016,43,45,0,0,5,5,3,2,4,0.703125,0.0,0.0,0.078125,0.078125,0.046875,0.03125,0.0625
50017,44,14,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50018,45,24,0,1,0,0,0,0,1,0.9230769230769231,0.0,0.038461538461538464,0.0,0.0,0.0,0.0,0.038461538461538464
50019,46,42,0,0,0,0,0,0,1,0.9767441860465116,0.0,0.0,0.0,0.0,0.0,0.0,0.023255813953488372
50020,47,148,2,0,3,1,5,2,5,0.891566265060241,0.012048192771084338,0.0,0.018072289156626505,0.006024096385542169,0.030120481927710843,0.012048192771084338,0.030120481927710843
50021,48,28,0,0,1,0,0,0,0,0.9655172413793104,0.0,0.0,0.034482758620689655,0.0,0.0,0.0,0.0
50022,49,8,0,0,0,0,2,0,0,0.8,0.0,0.0,0.0,0.0,0.2,0.0,0.0
50023,50,8,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50024,51,31,0,1,0,0,2,0,2,0.8611111111111112,0.0,0.027777777777777776,0.0,0.0,0.05555555555555555,0.0,0.05555555555555555
50025,52,22,0,0,1,3,2,0,4,0.6875,0.0,0.0,0.03125,0.09375,0.0625,0.0,0.125
50026,53,18,0,0,0,0,0,0,2,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.1
50027,54,3,0,0,0,0,1,0,1,0.6,0.0,0.0,0.0,0.0,0.2,0.0,0.2
50028,55,16,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50029,56,16,0,0,0,0,0,1,1,0.8888888888888888,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.05555555555555555
50030,57,6,0,0,0,0,1,0,1,0.75,0.0,0.0,0.0,0.0,0.125,0.0,0.125
50031,58,2,2,0,0,0,0,0,1,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.2
50032,59,2,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50033,60,9,0,1,0,0,1,0,1,0.75,0.0,0.08333333333333333,0.0,0.0,0.08333333333333333,0.0,0.08333333333333333
50034,61,36,0,0,0,0,2,1,2,0.8780487804878049,0.0,0.0,0.0,0.0,0.04878048780487805,0.024390243902439025,0.04878048780487805
50035,62,46,0,0,0,0,0,0,1,0.9787234042553191,0.0,0.0,0.0,0.0,0.0,0.0,0.02127659574468085
50037,63,8,0,1,0,0,0,0,0,0.8888888888888888,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0
50038,64,3,0,0,0,1,0,0,1,0.6,0.0,0.0,0.0,0.2,0.0,0.0,0.2
50039,65,11,0,0,1,0,0,0,0,0.9166666666666666,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.0
50040,66,29,0,0,0,1,2,0,1,0.8787878787878788,0.0,0.0,0.0,0.030303030303030304,0.06060606060606061,0.0,0.030303030303030304
5011,67,16,0,0,0,0,1,0,1,0.8888888888888888,0.0,0.0,0.0,0.0,0.05555555555555555,0.0,0.05555555555555555
5017,68,3,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70001,69,54,0,0,1,0,2,0,1,0.9310344827586207,0.0,0.0,0.017241379310344827,0.0,0.034482758620689655,0.0,0.017241379310344827
70002,70,78,2,2,1,1,2,2,7,0.8210526315789474,0.021052631578947368,0.021052631578947368,0.010526315789473684,0.010526315789473684,0.021052631578947368,0.021052631578947368,0.07368421052631578
70003,71,133,2,0,0,2,5,1,6,0.8926174496644296,0.013422818791946308,0.0,0.0,0.013422818791946308,0.03355704697986577,0.006711409395973154,0.040268456375838924
70004,72,117,0,0,0,1,7,0,9,0.8731343283582089,0.0,0.0,0.0,0.007462686567164179,0.05223880597014925,0.0,0.06716417910447761
7001,73,18,0,0,0,0,0,0,1,0.9473684210526315,0.0,0.0,0.0,0.0,0.0,0.0,0.05263157894736842
7004,74,30,0,0,0,1,0,0,1,0.9375,0.0,0.0,0.0,0.03125,0.0,0.0,0.03125
90001,75,8,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90002,76,9,0,0,0,0,0,0,1,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.1
90003,77,1,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90004,78,2,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90005,79,2,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90006,80,10,0,0,0,0,1,0,1,0.8333333333333334,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.08333333333333333
90007,81,1,0,0,0,0,1,0,1,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333
90008,82,2,0,0,0,0,0,0,2,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5
90009,83,4,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90010,84,24,1,0,0,0,2,0,0,0.8888888888888888,0.037037037037037035,0.0,0.0,0.0,0.07407407407407407,0.0,0.0
90011,85,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90012,86,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90013,87,2,0,1,0,0,0,2,0,0.4,0.0,0.2,0.0,0.0,0.0,0.4,0.0
110101,88,1,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110201,89,0,0,0,0,1,0,0,1,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5
110202,90,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110301,91,3,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110303,92,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110401,93,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110402,94,1,0,0,0,0,0,0,1,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5
110404,95,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130001,96,24,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
