CNTYVTD,VTDKEY,Von PfeilD_24P_U.S. Rep 31,WalbridgeD_24P_U.S. Rep 31,WhitlowD_24P_U.S. Rep 31,Von PfeilD_24P_U.S. Rep 31_Percentage,WalbridgeD_24P_U.S. Rep 31_Percentage,WhitlowD_24P_U.S. Rep 31_Percentage
270101,189,27,24,48,0.2727272727272727,0.24242424242424243,0.48484848484848486
270102,190,24,19,30,0.3287671232876712,0.2602739726027397,0.410958904109589
270103,191,19,23,15,0.3333333333333333,0.40350877192982454,0.2631578947368421
270104,192,35,33,50,0.2966101694915254,0.2796610169491525,0.423728813559322
270105,193,10,5,11,0.38461538461538464,0.19230769230769232,0.4230769230769231
270107,195,6,1,3,0.6,0.1,0.3
270108,196,2,5,6,0.15384615384615385,0.38461538461538464,0.46153846153846156
270110,198,2,4,5,0.18181818181818182,0.36363636363636365,0.45454545454545453
270111,199,45,66,99,0.21428571428571427,0.3142857142857143,0.4714285714285714
270113,200,22,25,40,0.25287356321839083,0.28735632183908044,0.45977011494252873
270114,201,18,34,56,0.16666666666666666,0.3148148148148148,0.5185185185185185
270115,202,36,35,44,0.3130434782608696,0.30434782608695654,0.3826086956521739
270118,205,18,20,31,0.2608695652173913,0.2898550724637681,0.4492753623188406
270119,206,15,25,40,0.1875,0.3125,0.5
270201,207,26,23,59,0.24074074074074073,0.21296296296296297,0.5462962962962963
270202,208,37,67,60,0.22560975609756098,0.40853658536585363,0.36585365853658536
270203,209,25,31,39,0.2631578947368421,0.3263157894736842,0.4105263157894737
270212,218,11,17,21,0.22448979591836735,0.3469387755102041,0.42857142857142855
270213,219,42,25,53,0.35,0.20833333333333334,0.44166666666666665
270216,222,38,39,55,0.2878787878787879,0.29545454545454547,0.4166666666666667
270301,223,11,22,28,0.18032786885245902,0.36065573770491804,0.45901639344262296
270302,224,31,41,76,0.20945945945945946,0.27702702702702703,0.5135135135135135
270303,225,64,58,89,0.3033175355450237,0.27488151658767773,0.4218009478672986
270304,226,2,5,1,0.25,0.625,0.125
270305,227,22,11,35,0.3235294117647059,0.16176470588235295,0.5147058823529411
270306,228,20,40,46,0.18867924528301888,0.37735849056603776,0.4339622641509434
270307,229,51,39,54,0.3541666666666667,0.2708333333333333,0.375
270308,230,30,70,52,0.19736842105263158,0.4605263157894737,0.34210526315789475
270309,231,5,3,11,0.2631578947368421,0.15789473684210525,0.5789473684210527
270310,232,3,2,3,0.375,0.25,0.375
270311,233,20,20,31,0.28169014084507044,0.28169014084507044,0.43661971830985913
270312,234,8,5,14,0.2962962962962963,0.18518518518518517,0.5185185185185185
270313,235,54,34,85,0.31213872832369943,0.19653179190751446,0.4913294797687861
270314,236,22,14,38,0.2972972972972973,0.1891891891891892,0.5135135135135135
270315,237,36,36,42,0.3157894736842105,0.3157894736842105,0.3684210526315789
270317,238,24,20,30,0.32432432432432434,0.2702702702702703,0.40540540540540543
270318,239,30,39,63,0.22727272727272727,0.29545454545454547,0.4772727272727273
270319,240,25,38,54,0.21367521367521367,0.3247863247863248,0.46153846153846156
350001,1055,1,1,2,0.25,0.25,0.5
350002,1056,5,6,2,0.38461538461538464,0.46153846153846156,0.15384615384615385
350003,1057,6,6,4,0.375,0.375,0.25
350004,1058,3,7,3,0.23076923076923078,0.5384615384615384,0.23076923076923078
350005,1059,14,12,17,0.32558139534883723,0.27906976744186046,0.3953488372093023
350006,1060,13,15,6,0.38235294117647056,0.4411764705882353,0.17647058823529413
350007,1061,1,6,4,0.09090909090909091,0.5454545454545454,0.36363636363636365
350008,1062,13,14,19,0.2826086956521739,0.30434782608695654,0.41304347826086957
350009,1063,6,3,7,0.375,0.1875,0.4375
350010,1064,11,9,9,0.3793103448275862,0.3103448275862069,0.3103448275862069
350011,1065,2,6,8,0.125,0.375,0.5
530001,1353,16,8,14,0.42105263157894735,0.21052631578947367,0.3684210526315789
530002,1354,34,31,47,0.30357142857142855,0.2767857142857143,0.41964285714285715
530003,1355,7,10,17,0.20588235294117646,0.29411764705882354,0.5
530004,1356,36,50,34,0.3,0.4166666666666667,0.2833333333333333
530005,1357,12,14,25,0.23529411764705882,0.27450980392156865,0.49019607843137253
530006,1358,8,5,15,0.2857142857142857,0.17857142857142858,0.5357142857142857
530007,1359,8,4,5,0.47058823529411764,0.23529411764705882,0.29411764705882354
530008,1360,13,7,11,0.41935483870967744,0.22580645161290322,0.3548387096774194
530009,1361,23,30,27,0.2875,0.375,0.3375
