CNTYVTD,VTDKEY,ButcherD_24P_U.S. Rep 32,ChaudhryD_24P_U.S. Rep 32,CornwallisD_24P_U.S. Rep 32,FelderD_24P_U.S. Rep 32,JohnsonD_24P_U.S. Rep 32,ManningD_24P_U.S. Rep 32,McDowellD_24P_U.S. Rep 32,MooreD_24P_U.S. Rep 32,PanayiotouD_24P_U.S. Rep 32,WilliamsD_24P_U.S. Rep 32,ButcherD_24P_U.S. Rep 32_Percentage,ChaudhryD_24P_U.S. Rep 32_Percentage,CornwallisD_24P_U.S. Rep 32_Percentage,FelderD_24P_U.S. Rep 32_Percentage,JohnsonD_24P_U.S. Rep 32_Percentage,ManningD_24P_U.S. Rep 32_Percentage,McDowellD_24P_U.S. Rep 32_Percentage,MooreD_24P_U.S. Rep 32_Percentage,PanayiotouD_24P_U.S. Rep 32_Percentage,WilliamsD_24P_U.S. Rep 32_Percentage
850023,1656,12,29,6,1,51,9,4,38,1,24,0.06857142857142857,0.1657142857142857,0.03428571428571429,0.005714285714285714,0.2914285714285714,0.05142857142857143,0.022857142857142857,0.21714285714285714,0.005714285714285714,0.13714285714285715
850026,1659,4,2,1,0,42,1,1,2,1,16,0.05714285714285714,0.02857142857142857,0.014285714285714285,0.0,0.6,0.014285714285714285,0.014285714285714285,0.02857142857142857,0.014285714285714285,0.22857142857142856
850046,1679,12,8,10,4,93,1,8,8,3,28,0.06857142857142857,0.045714285714285714,0.05714285714285714,0.022857142857142857,0.5314285714285715,0.005714285714285714,0.045714285714285714,0.045714285714285714,0.017142857142857144,0.16
850048,1681,16,8,7,0,114,4,8,9,0,122,0.05555555555555555,0.027777777777777776,0.024305555555555556,0.0,0.3958333333333333,0.013888888888888888,0.027777777777777776,0.03125,0.0,0.4236111111111111
850051,1684,7,0,4,1,32,0,6,6,0,17,0.0958904109589041,0.0,0.0547945205479452,0.0136986301369863,0.4383561643835616,0.0,0.0821917808219178,0.0821917808219178,0.0,0.2328767123287671
850052,1685,14,83,13,3,72,7,8,274,0,49,0.02676864244741874,0.1586998087954111,0.0248565965583174,0.0057361376673040155,0.13766730401529637,0.01338432122370937,0.015296367112810707,0.5239005736137667,0.0,0.09369024856596558
850055,1688,25,14,7,3,143,4,11,8,4,69,0.08680555555555555,0.04861111111111111,0.024305555555555556,0.010416666666666666,0.4965277777777778,0.013888888888888888,0.03819444444444445,0.027777777777777776,0.013888888888888888,0.23958333333333334
850068,1701,13,3,5,2,62,0,9,6,1,24,0.104,0.024,0.04,0.016,0.496,0.0,0.072,0.048,0.008,0.192
850078,1711,14,9,5,1,166,3,15,18,5,59,0.04745762711864407,0.030508474576271188,0.01694915254237288,0.003389830508474576,0.5627118644067797,0.010169491525423728,0.05084745762711865,0.061016949152542375,0.01694915254237288,0.2
850094,1727,5,27,8,1,174,11,5,88,1,89,0.012224938875305624,0.06601466992665037,0.019559902200488997,0.0024449877750611247,0.4254278728606357,0.02689486552567237,0.012224938875305624,0.21515892420537897,0.0024449877750611247,0.2176039119804401
