CNTYVTD,VTDKEY,Voter_Registration,Turnout,Spanish_Surname_Voter_Registration,Spanish_Surname_Turnout,Turnout_Rate
10001,1,1827,46,204,0.0638297872340425,0.025177887246852763
10002,2,2762,49,110,0.04,0.01774076755973932
10003,3,1251,21,84,0.0952380952380952,0.016786570743405275
10004,4,1643,22,61,0.227272727272727,0.013390139987827145
10005,5,293,2,6,0.0,0.006825938566552901
10006,6,1464,82,143,0.0238095238095238,0.056010928961748634
10007,7,1295,70,256,0.0410958904109589,0.05405405405405406
10008,8,405,28,74,0.0689655172413793,0.0691358024691358
10009,9,1452,41,85,0.0,0.028236914600550965
10010,10,585,9,48,0.444444444444444,0.015384615384615385
10011,11,1276,35,69,0.0,0.0274294670846395
10013,12,1815,72,216,0.0972222222222222,0.03966942148760331
10015,13,920,10,47,0.1,0.010869565217391304
10016,14,971,27,56,0.0,0.027806385169927908
10017,15,851,25,85,0.0,0.02937720329024677
10018,16,2201,34,81,0.0,0.015447523852794184
10019,17,2296,46,241,0.0652173913043478,0.02003484320557491
10020,18,1169,29,169,0.0333333333333333,0.02480752780153978
10021,19,1945,16,157,0.0,0.008226221079691516
10022,20,1056,25,60,0.0,0.023674242424242424
10023,21,1349,11,36,0.0909090909090909,0.00815418828762046
10024,22,908,16,31,0.0,0.01762114537444934
30001,23,2549,28,1088,0.714285714285714,0.010984699882306787
30002,24,2920,34,922,0.485714285714286,0.011643835616438357
30003,25,2537,30,1105,0.533333333333333,0.011824990145841546
30004,26,2434,20,1215,0.5,0.008216926869350863
50001,27,562,10,179,0.0,0.017793594306049824
50002,28,2583,132,636,0.0510948905109489,0.05110336817653891
50003,29,2122,32,306,0.151515151515152,0.015080113100848256
50004,30,1587,39,254,0.179487179487179,0.024574669187145556
50005,31,1840,50,314,0.0384615384615385,0.02717391304347826
50006,32,600,9,37,0.0,0.015
50007,33,1470,18,94,0.0,0.012244897959183673
50008,34,1379,12,51,0.0,0.00870195794053662
50009,35,292,12,18,0.214285714285714,0.0410958904109589
50010,36,1246,45,231,0.0625,0.036115569823434994
50010,37,174,6,42,0.0,0.034482758620689655
50011,38,2315,23,86,0.0,0.009935205183585313
50012,39,944,14,89,0.125,0.014830508474576272
50013,40,731,15,144,0.0588235294117647,0.02051983584131327
50014,41,1997,77,234,0.0365853658536585,0.0385578367551327
50015,42,754,6,173,0.166666666666667,0.007957559681697613
50016,43,2239,70,890,0.287671232876712,0.03126395712371594
50017,44,1841,17,38,0.0,0.009234111895708854
50018,45,789,26,61,0.0,0.032953105196451206
50019,46,1481,45,97,0.0612244897959184,0.03038487508440243
50020,47,2694,177,610,0.032258064516129,0.06570155902004454
50021,48,1090,32,102,0.09375,0.029357798165137616
50022,49,1187,12,59,0.0833333333333333,0.010109519797809604
50023,50,753,10,49,0.2,0.013280212483399735
50024,51,2867,37,415,0.0833333333333333,0.012905476107429368
50025,52,2548,33,315,0.142857142857143,0.012951334379905808
50026,53,1727,21,105,0.0476190476190476,0.012159814707585408
50027,54,372,5,22,0.0,0.013440860215053764
50028,55,1285,17,185,0.111111111111111,0.013229571984435798
50029,56,1590,19,106,0.105263157894737,0.011949685534591196
50030,57,1171,9,28,0.0,0.007685738684884714
50031,58,478,5,133,0.4,0.010460251046025104
50032,59,119,2,2,0.0,0.01680672268907563
50033,60,1430,12,34,0.0,0.008391608391608392
50034,61,2283,41,152,0.0232558139534884,0.017958826106000875
50035,62,1861,48,141,0.06,0.025792584631918324
50037,63,588,9,72,0.0,0.015306122448979591
50038,64,443,5,84,0.2,0.011286681715575621
50039,65,527,13,61,0.0714285714285714,0.024667931688804556
50040,66,842,34,108,0.0303030303030303,0.040380047505938245
5011,67,1293,21,57,0.0,0.016241299303944315
5017,68,461,4,7,0.25,0.008676789587852495
70001,69,2589,59,327,0.114754098360656,0.022788721514098106
70002,70,4088,99,1190,0.29126213592233,0.024217221135029353
70003,71,4971,156,516,0.0817610062893082,0.03138201569100785
70004,72,4166,137,387,0.164285714285714,0.0328852616418627
7001,73,2025,20,438,0.0952380952380952,0.009876543209876543
7004,74,1277,33,99,0.121212121212121,0.025841816758026624
90001,75,1448,8,45,0.0,0.0055248618784530384
90002,76,893,10,26,0.0909090909090909,0.011198208286674132
90003,77,374,1,24,0.0,0.00267379679144385
90004,78,723,4,56,0.0,0.005532503457814661
90005,79,199,2,6,0.0,0.010050251256281407
90006,80,1137,12,40,0.0,0.010554089709762533
90007,81,221,3,8,0.0,0.013574660633484163
90008,82,387,4,15,0.0,0.0103359173126615
90009,83,181,4,4,0.0,0.022099447513812154
90010,84,918,27,50,0.0714285714285714,0.029411764705882353
90011,85,22,0,1,0.0,0.0
90012,86,96,0,10,0.0,0.0
90013,87,180,5,8,0.2,0.027777777777777776
110101,88,374,1,19,0.0,0.00267379679144385
110201,89,210,2,9,0.5,0.009523809523809525
110202,90,80,0,1,0.0,0.0
110301,91,287,3,7,0.0,0.010452961672473868
110303,92,57,0,2,0.0,0.0
110401,93,182,0,5,0.0,0.0
110402,94,186,2,9,0.0,0.010752688172043012
110404,95,29,0,0,0.0,0.0
130001,96,944,25,355,0.76,0.026483050847457626
130003,97,1571,50,743,0.654545454545455,0.031826861871419476
130004,98,1137,31,675,0.6,0.027264731750219876
130005,99,1699,68,1122,0.655737704918033,0.04002354326074161
130006,100,510,28,254,0.678571428571429,0.054901960784313725
130007,101,2009,44,1205,0.647058823529412,0.021901443504230962
130008,102,573,26,272,0.730769230769231,0.04537521815008726
130009,103,2611,91,1592,0.691489361702128,0.03485254691689008
130010,104,750,27,428,0.62962962962963,0.036
130011,105,1901,92,992,0.619565217391304,0.0483955812730142
130012,106,1496,63,908,0.666666666666667,0.042112299465240643
130013,107,2753,112,1215,0.675438596491228,0.04068289139120959
130014,108,215,7,62,0.714285714285714,0.03255813953488372
130015,109,2678,84,1622,0.844444444444444,0.03136669156086632
130017,110,2092,170,1622,0.880239520958084,0.08126195028680688
130018,111,1856,75,1114,0.869565217391304,0.04040948275862069
130019,112,526,20,247,0.789473684210526,0.03802281368821293
130020,113,3812,129,1272,0.511278195488722,0.0338405036726128
130021,114,1035,16,353,0.4375,0.015458937198067632
130022,115,794,19,275,0.789473684210526,0.02392947103274559
150101,116,1446,34,156,0.0857142857142857,0.02351313969571231
150102,117,1488,40,177,0.0731707317073171,0.026881720430107527
150103,118,1456,40,102,0.0512820512820513,0.027472527472527472
150104,119,890,17,110,0.0555555555555556,0.019101123595505618
150205,120,2814,50,210,0.0588235294117647,0.017768301350390904
150206,121,1409,32,69,0.0,0.0227111426543648
150207,122,763,20,54,0.0,0.02621231979030144
150208,123,673,35,35,0.0,0.05200594353640416
150309,124,680,5,61,0.0,0.007352941176470588
150310,125,2975,64,545,0.153846153846154,0.021512605042016807
150311,126,1150,41,406,0.075,0.035652173913043476
150412,127,666,23,97,0.0,0.03453453453453453
150413,128,1509,22,256,0.227272727272727,0.0145791915175613
150414,129,1843,27,493,0.115384615384615,0.01465002712967987
150415,130,1575,46,365,0.104166666666667,0.029206349206349208
170001,131,902,12,398,0.583333333333333,0.013303769401330377
170002,132,989,6,273,0.5,0.006066734074823054
170003,133,706,9,433,0.6,0.012747875354107648
170004,134,446,14,342,0.6,0.03139013452914798
170004,135,93,1,12,1.0,0.010752688172043012
190101,136,1920,41,245,0.111111111111111,0.021354166666666667
190102,137,2904,78,386,0.10126582278481,0.026859504132231406
190203,138,2440,90,352,0.173913043478261,0.036885245901639344
190204,139,1936,60,314,0.333333333333333,0.030991735537190084
190305,140,2936,54,357,0.2,0.018392370572207085
190306,141,1552,39,113,0.0,0.025128865979381444
190407,142,2854,65,327,0.191176470588235,0.022775052557813594
190408,143,275,18,17,0.0555555555555556,0.06545454545454546
190409,144,1022,27,161,0.148148148148148,0.026418786692759294
190410,145,537,12,35,0.181818181818182,0.0223463687150838
211001,146,397,30,48,0.0666666666666667,0.07556675062972293
211002,147,721,57,89,0.0847457627118644,0.07905686546463246
211003,148,2679,174,359,0.0818713450292398,0.06494960806270997
211004,149,2338,265,370,0.107806691449814,0.11334473909324208
211005,150,1178,93,163,0.100917431192661,0.07894736842105263
211006,151,2855,121,926,0.248,0.04238178633975482
211007,152,2857,223,373,0.125541125541126,0.07805390269513476
211008,153,1627,102,286,0.144230769230769,0.0626920712968654
211009,154,2256,141,567,0.244755244755245,0.0625
212010,155,685,37,96,0.0285714285714286,0.05401459854014599
212011,156,2585,179,475,0.141242937853107,0.06924564796905222
212012,157,1668,94,147,0.0909090909090909,0.05635491606714628
212013,158,3190,224,461,0.125541125541126,0.07021943573667712
212014,159,3192,164,409,0.0909090909090909,0.05137844611528822
212015,160,3098,239,336,0.08,0.07714654615881214
212016,161,2770,149,262,0.0849673202614379,0.053790613718411553
213017,162,2794,161,453,0.115151515151515,0.0576234788833214
213018,163,1680,114,176,0.087719298245614,0.06785714285714285
213019,164,2853,151,993,0.282894736842105,0.052926743778478794
213020,165,3532,145,1575,0.301369863013699,0.04105322763306908
214021,166,2789,166,493,0.129411764705882,0.05951954105414127
214022,167,2479,147,465,0.0878378378378378,0.05929810407422348
214023,168,1476,72,226,0.152777777777778,0.04878048780487805
214024,169,1718,77,388,0.155844155844156,0.044819557625145515
214025,170,2463,220,914,0.234513274336283,0.08932196508323183
214026,171,2421,188,596,0.169312169312169,0.07765386204047914
230001,172,634,8,51,0.0,0.012618296529968454
230002,173,618,4,39,0.0,0.006472491909385114
230003,174,562,9,43,0.111111111111111,0.01601423487544484
230004,175,565,15,51,0.0769230769230769,0.02654867256637168
250001,176,2217,90,1214,0.777777777777778,0.04059539918809202
250002,177,547,6,207,0.857142857142857,0.010968921389396709
250003,178,1749,65,1051,0.782608695652174,0.037164093767867355
250004,179,640,23,242,0.347826086956522,0.0359375
250005,180,926,14,376,0.5625,0.01511879049676026
250006,181,1256,21,638,0.590909090909091,0.016719745222929936
250009,182,724,47,619,0.96,0.0649171270718232
250010,183,1482,42,1129,0.863636363636364,0.02834008097165992
250013,184,1549,47,886,0.8,0.030342156229825695
250016,185,1022,31,574,0.7,0.030332681017612523
250017,186,1169,56,755,0.864406779661017,0.04790419161676647
250018,187,1698,67,683,0.686567164179104,0.039458186101295645
250019,188,593,25,475,0.7,0.04215851602023609
270101,189,3992,118,378,0.103174603174603,0.029559118236472944
270102,190,3352,92,375,0.0927835051546392,0.027446300715990454
270103,191,2527,70,707,0.169014084507042,0.027700831024930747
270104,192,3712,144,324,0.116438356164384,0.03879310344827586
270105,193,1814,29,193,0.133333333333333,0.015986769570011026
270106,194,4321,239,629,0.0740740740740741,0.055311270539227034
270107,195,623,15,122,0.266666666666667,0.024077046548956663
270108,196,1847,17,174,0.1,0.009204114780725501
270109,197,2956,118,402,0.0852713178294574,0.039918809201623814
270110,198,2985,11,435,0.111111111111111,0.0036850921273031824
270111,199,4370,243,552,0.0763052208835341,0.05560640732265446
270113,200,4343,107,821,0.123893805309735,0.0246373474556758
270114,201,3135,121,412,0.0826446280991736,0.03859649122807018
270115,202,5135,133,435,0.0633802816901408,0.025900681596884127
270116,203,1563,101,260,0.0679611650485437,0.06461932181701856
270117,204,0,0,0,0.0,0.0
270118,205,2606,83,238,0.0705882352941176,0.0318495778971604
270119,206,3567,93,548,0.043956043956044,0.02607232968881413
270201,207,3649,127,503,0.0962962962962963,0.0348040559057276
270202,208,4728,184,610,0.0591397849462366,0.038917089678511
270203,209,4446,115,409,0.032258064516129,0.0258659469185785
270204,210,2171,66,339,0.111111111111111,0.030400736987563334
270205,211,5038,272,809,0.0491228070175439,0.05398967844382691
270206,212,2901,172,422,0.102857142857143,0.05928990003447087
270207,213,3634,173,579,0.101694915254237,0.04760594386351128
270208,214,4685,313,737,0.0747663551401869,0.06680896478121665
270209,215,4964,290,607,0.0808080808080808,0.05842062852538275
270210,216,5239,337,666,0.061624649859944,0.06432525291086084
270211,217,1263,68,149,0.0540540540540541,0.053840063341250986
270212,218,1211,54,128,0.127272727272727,0.04459124690338563
270213,219,4823,144,275,0.0684931506849315,0.029856935517312874
270214,220,4795,148,628,0.0897435897435897,0.03086548488008342
270215,221,5106,330,706,0.0660660660660661,0.06462984723854288
270216,222,3474,150,420,0.115384615384615,0.04317789291882556
270301,223,4711,73,586,0.131578947368421,0.015495648482275526
270302,224,4833,174,685,0.106145251396648,0.03600248292985723
270303,225,5178,252,953,0.180392156862745,0.04866743916570104
270304,226,382,10,62,0.2,0.02617801047120419
270305,227,2145,81,233,0.108433734939759,0.03776223776223776
270306,228,4041,122,891,0.157142857142857,0.030190546894333085
270307,229,3578,185,808,0.119791666666667,0.05170486305198435
270308,230,4312,174,556,0.12972972972973,0.040352504638218926
270309,231,1383,25,117,0.115384615384615,0.018076644974692697
270310,232,549,11,36,0.0909090909090909,0.020036429872495445
270311,233,3490,81,318,0.168674698795181,0.023209169054441262
270312,234,2298,35,327,0.171428571428571,0.015230635335073977
270313,235,4636,206,488,0.0981308411214953,0.04443485763589301
270314,236,3302,91,638,0.166666666666667,0.027559055118110236
270315,237,5243,135,800,0.0579710144927536,0.025748617203890902
270317,238,2071,90,231,0.0659340659340659,0.04345726702076291
270318,239,5441,147,731,0.133333333333333,0.027017092446241498
270319,240,3857,140,406,0.122448979591837,0.036297640653357534
270401,241,3877,174,482,0.0604395604395604,0.04488006190353366
270402,242,5087,275,639,0.0758620689655172,0.054059367013957145
