CNTYVTD,VTDKEY,Von PfeilD_24P_U.S. Rep 31,WalbridgeD_24P_U.S. Rep 31,WhitlowD_24P_U.S. Rep 31
270101,189,27,24,48
270102,190,24,19,30
270103,191,19,23,15
270104,192,35,33,50
270105,193,10,5,11
270107,195,6,1,3
270108,196,2,5,6
270110,198,2,4,5
270111,199,45,66,99
270113,200,22,25,40
270114,201,18,34,56
270115,202,36,35,44
270118,205,18,20,31
270119,206,15,25,40
270201,207,26,23,59
270202,208,37,67,60
270203,209,25,31,39
270212,218,11,17,21
270213,219,42,25,53
270216,222,38,39,55
270301,223,11,22,28
270302,224,31,41,76
270303,225,64,58,89
270304,226,2,5,1
270305,227,22,11,35
270306,228,20,40,46
270307,229,51,39,54
270308,230,30,70,52
270309,231,5,3,11
270310,232,3,2,3
270311,233,20,20,31
270312,234,8,5,14
270313,235,54,34,85
270314,236,22,14,38
270315,237,36,36,42
270317,238,24,20,30
270318,239,30,39,63
270319,240,25,38,54
350001,1055,1,1,2
350002,1056,5,6,2
350003,1057,6,6,4
350004,1058,3,7,3
350005,1059,14,12,17
350006,1060,13,15,6
350007,1061,1,6,4
350008,1062,13,14,19
350009,1063,6,3,7
350010,1064,11,9,9
350011,1065,2,6,8
530001,1353,16,8,14
530002,1354,34,31,47
530003,1355,7,10,17
530004,1356,36,50,34
530005,1357,12,14,25
530006,1358,8,5,15
530007,1359,8,4,5
530008,1360,13,7,11
530009,1361,23,30,27
530010,1362,13,20,28
530011,1363,6,7,3
530012,1364,23,14,23
530013,1365,14,13,8
530014,1366,2,7,7
530015,1367,5,9,8
530016,1368,5,12,7
530017,1369,17,20,12
530018,1370,7,22,14
530019,1371,45,49,44
530020,1372,36,35,53
990101,1985,36,63,88
990102,1986,4,4,7
990103,1987,1,4,4
990104,1988,46,59,48
990205,1989,10,9,15
990206,1990,19,9,17
990207,1991,43,71,68
990308,1992,15,13,17
990309,1993,4,6,5
990310,1994,1,2,6
990311,1995,0,0,0
990412,1996,37,35,40
990413,1997,11,13,15
990414,1998,0,0,2
990415,1999,1,1,2
990416,2000,23,32,48
1930001,4192,4,3,4
1930004,4193,0,1,0
1930005,4194,0,0,0
1930007,4195,5,5,4
1930009,4196,0,1,0
1930012,4197,0,0,0
1930014,4198,0,3,0
1930015,4199,4,1,0
1930017,4200,0,0,1
1930022,4201,3,3,1
1930023,4202,3,10,2
4910119,9464,49,50,138
4910182,9489,11,12,36
4910184,9490,15,11,26
4910191,9493,16,14,25
4910192,9494,9,9,11
4910201,9496,46,44,93
4910202,9497,3,6,10
4910203,9498,2,0,0
4910204,9499,42,28,92
4910205,9500,9,1,13
4910206,9501,16,15,38
4910207,9502,29,24,36
4910208,9503,11,15,23
4910209,9504,16,28,53
4910210,9505,24,31,72
4910229,9507,8,0,4
4910230,9508,54,50,108
4910231,9509,17,20,48
4910243,9510,19,21,34
4910244,9511,48,56,74
4910245,9512,43,31,69
4910251,9513,1,0,4
4910252,9514,38,60,79
4910253,9515,62,48,112
4910254,9516,40,44,121
4910255,9517,30,21,51
4910256,9518,26,28,59
4910257,9519,39,53,91
4910258,9520,6,5,17
4910259,9521,19,28,48
4910261,9522,33,40,63
4910262,9523,41,24,50
4910263,9524,32,51,94
4910264,9525,41,40,54
4910267,9527,41,48,62
4910276,9528,24,15,39
4910277,9529,74,62,202
4910278,9530,58,55,137
4910279,9531,3,1,3
4910283,9532,41,43,98
4910284,9533,48,55,130
4910287,9534,30,31,67
4910301,9535,62,59,108
4910302,9536,5,7,27
4910305,9538,15,21,41
4910306,9539,45,40,104
4910307,9540,13,16,46
4910308,9541,7,7,15
4910309,9542,51,37,63
4910310,9543,9,14,23
4910311,9544,1,0,1
4910312,9545,15,10,25
4910314,9546,50,44,131
4910318,9548,5,2,12
4910319,9549,1,5,5
4910320,9550,19,14,51
4910331,9554,4,12,23
4910332,9555,28,20,53
4910333,9556,8,4,15
4910341,9559,31,39,74
4910342,9560,13,24,52
4910343,9561,56,49,139
4910344,9562,34,30,76
4910345,9563,13,13,36
4910346,9564,18,15,53
4910360,9565,49,51,149
4910367,9566,3,4,3
4910368,9567,48,34,123
4910369,9568,49,57,83
4910370,9569,36,34,71
4910371,9570,32,30,90
4910372,9571,75,56,153
4910379,9572,34,32,82
4910380,9573,3,1,0
4910381,9574,95,78,167
4910390,9575,53,50,107
4910390,9576,0,0,0
4910391,9577,24,13,28
4910392,9578,55,52,105
4910393,9579,92,72,176
4910394,9580,82,70,202
4910395,9581,39,32,76
4910396,9582,63,42,129
4910397,9583,74,66,138
4910401,9586,59,67,91
4910402,9587,46,59,95
4910403,9588,32,45,74
4910409,9589,10,13,12
4910410,9590,27,53,49
4910411,9591,20,18,41
4910412,9592,10,10,14
4910415,9594,22,10,25
4910419,9596,16,14,28
4910420,9597,56,59,90
4910422,9599,47,76,117
4910424,9600,60,47,129
4910425,9601,2,5,8
4910427,9603,75,24,72
4910428,9604,68,36,54
4910429,9605,50,20,64
4910432,9606,1,6,4
4910433,9607,97,76,129
4910434,9608,10,5,11
4910436,9609,12,8,12
4910437,9610,60,73,130
4910456,9611,37,31,43
4910468,9612,17,13,17
4910470,9613,39,42,72
4910471,9614,3,1,2
4910472,9615,3,3,0
4910473,9616,8,8,16
4910482,9617,35,25,98
4910484,9618,44,58,81
4910485,9619,25,25,62
4910486,9620,43,37,117
4910487,9621,0,1,2
4910488,9622,27,38,110
4910491,9625,57,48,121
