CNTYVTD,VTDKEY,ButcherD_24P_U.S. Rep 32,ChaudhryD_24P_U.S. Rep 32,CornwallisD_24P_U.S. Rep 32,FelderD_24P_U.S. Rep 32,JohnsonD_24P_U.S. Rep 32,ManningD_24P_U.S. Rep 32,McDowellD_24P_U.S. Rep 32,MooreD_24P_U.S. Rep 32,PanayiotouD_24P_U.S. Rep 32,WilliamsD_24P_U.S. Rep 32
850023,1656,12,29,6,1,51,9,4,38,1,24
850026,1659,4,2,1,0,42,1,1,2,1,16
850046,1679,12,8,10,4,93,1,8,8,3,28
850048,1681,16,8,7,0,114,4,8,9,0,122
850051,1684,7,0,4,1,32,0,6,6,0,17
850052,1685,14,83,13,3,72,7,8,274,0,49
850055,1688,25,14,7,3,143,4,11,8,4,69
850068,1701,13,3,5,2,62,0,9,6,1,24
850078,1711,14,9,5,1,166,3,15,18,5,59
850094,1727,5,27,8,1,174,11,5,88,1,89
850103,1736,3,2,5,1,29,0,3,5,1,8
850110,1743,7,1,4,9,123,3,7,11,1,68
850125,1758,20,37,13,6,161,13,16,133,7,86
850152,1785,2,1,0,0,15,0,0,1,0,2
1131004,2031,4,2,3,3,145,15,9,5,3,30
1131039,2034,1,0,0,0,7,6,1,0,0,2
1131040,2035,8,3,6,8,137,22,12,10,0,36
1131041,2036,1,1,4,0,9,7,1,5,0,4
1131045,2039,3,6,6,5,26,13,6,4,1,24
1131046,2040,2,0,3,1,20,1,4,0,0,2
1131047,2041,7,2,2,2,72,17,4,5,0,19
1131048,2042,5,3,10,3,246,31,17,12,1,78
1131049,2043,7,17,3,2,101,18,10,8,1,32
1131050,2044,0,0,0,0,16,2,0,0,0,10
1131051,2045,1,0,1,0,25,7,2,0,0,11
1131052,2046,9,3,8,4,378,45,18,12,3,72
1131054,2047,5,1,6,2,60,12,5,3,3,13
1131055,2048,2,1,3,0,13,5,2,4,0,6
1131056,2049,1,2,2,1,53,8,5,4,2,9
1131057,2050,9,4,5,4,113,8,9,6,2,21
1131058,2051,10,2,13,4,162,17,12,5,2,23
1131059,2052,5,3,4,0,171,22,3,2,3,38
1131060,2053,18,8,11,8,528,34,22,8,1,135
1131061,2054,2,5,4,3,191,8,4,12,0,32
1131062,2055,0,0,0,0,1,0,0,0,0,0
1131063,2056,3,6,4,10,48,4,8,0,0,15
1131064,2057,0,1,1,0,4,1,1,1,0,1
1131065,2058,4,4,7,48,78,10,8,7,2,34
1131067,2059,0,0,0,0,1,0,0,0,0,1
1131068,2060,0,1,0,0,9,0,0,0,0,1
1131076,2061,0,0,0,0,0,0,0,0,0,1
1131077,2062,0,0,0,0,0,0,0,0,0,0
1131078,2063,4,1,4,10,48,4,2,4,0,18
1131079,2064,7,2,5,30,120,9,11,12,2,47
1131080,2065,5,0,0,8,29,2,1,6,0,11
1131081,2066,17,6,13,54,251,18,15,15,3,96
1131082,2067,0,0,0,2,4,0,0,0,1,3
1131084,2069,9,9,10,144,206,42,12,59,5,139
1131086,2071,1,0,0,4,14,4,1,2,0,13
1131087,2072,8,10,14,112,136,34,14,71,3,111
1131088,2073,4,11,7,7,48,3,9,16,5,27
1131089,2074,6,6,6,26,35,17,10,30,1,56
1131091,2076,3,7,7,7,41,10,7,16,4,46
1131092,2077,2,6,9,34,51,3,8,30,4,69
1131093,2078,5,2,4,17,37,5,7,14,1,45
1131097,2082,2,4,7,16,58,7,7,26,2,36
1131098,2083,4,9,7,17,39,9,10,12,2,62
1131099,2084,0,1,0,0,3,0,0,0,0,1
1131104,2089,5,5,9,18,57,7,10,18,5,47
1131105,2090,0,0,0,0,3,0,0,1,0,0
1131106,2091,1,0,1,0,9,2,2,0,0,1
1131107,2092,5,2,1,5,9,1,4,2,0,9
1131110,2095,0,0,0,0,0,0,0,0,0,0
1131114,2098,3,0,1,4,10,6,1,3,3,9
1131115,2099,5,6,8,1,53,11,7,3,2,15
1131116,2100,5,6,2,5,54,3,11,4,4,13
1131121,2101,4,5,5,5,55,18,6,9,2,17
1131125,2103,5,4,1,4,50,10,4,2,1,27
1131129,2105,0,0,1,0,5,2,0,0,0,0
1131133,2106,7,0,1,3,50,2,2,0,1,2
1131134,2107,1,1,1,5,7,2,1,3,1,6
1131135,2108,1,6,4,7,33,4,7,14,2,39
1131137,2110,0,0,0,0,0,0,0,0,0,1
1131151,2120,0,0,0,2,3,0,1,0,0,1
1131153,2121,0,0,0,0,0,0,0,0,0,0
1131159,2122,0,0,0,0,0,0,0,0,0,0
1131162,2123,0,0,0,0,0,0,0,0,0,0
1131163,2124,4,0,1,1,145,5,8,3,0,38
1131164,2125,11,2,6,1,175,5,8,7,2,63
1131165,2126,5,0,1,2,207,6,5,5,2,69
1131168,2127,3,2,0,4,275,9,14,4,2,131
1131169,2128,6,6,4,2,272,16,10,10,1,96
1131170,2129,9,4,6,1,103,5,4,4,1,77
1131171,2130,37,6,6,2,229,16,20,13,3,64
1131172,2131,5,2,6,2,144,25,6,6,2,60
1131173,2132,5,1,1,4,150,12,4,4,1,28
1131174,2133,7,8,4,1,295,35,14,11,4,63
1131176,2134,0,0,0,0,0,0,0,0,0,0
1131303,2138,0,0,0,0,1,0,0,0,0,0
1131307,2141,0,0,0,1,0,0,0,1,0,0
1131309,2143,0,0,0,2,3,1,0,0,0,2
1131313,2147,2,1,2,4,8,2,3,5,0,15
1131314,2148,9,7,8,7,54,7,13,11,1,52
1131328,2156,0,0,0,0,0,0,0,0,0,0
1131329,2157,0,0,0,0,0,0,0,0,0,0
1131401,2158,0,1,1,0,7,2,2,1,1,8
1131402,2159,3,9,9,7,32,14,6,4,1,43
1131403,2160,0,0,0,0,0,0,0,0,0,1
1131404,2161,3,2,4,3,23,2,6,4,1,13
1131405,2162,0,0,1,0,5,2,1,0,0,5
1131406,2163,0,1,4,2,9,3,3,1,0,12
1131407,2164,0,0,0,0,0,0,0,0,0,0
1131408,2165,0,0,0,0,0,0,0,0,0,0
1131409,2166,0,4,1,1,12,4,3,1,2,7
1131410,2167,2,8,5,8,44,10,4,7,3,32
1131411,2168,7,10,10,11,58,16,14,16,1,58
1131412,2169,0,1,1,1,3,1,0,2,0,2
1131703,2173,9,16,9,5,80,10,17,22,1,51
1131704,2174,4,6,4,2,48,6,9,2,0,15
1131705,2175,12,11,7,2,64,9,7,8,2,22
