CNTYVTD,VTDKEY,BidenD_24P_President,CornejoD_24P_President,LockeD_24P_President,LozadaD_24P_President,PerezD_24P_President,PhillipsD_24P_President,UygurD_24P_President,WilliamsonD_24P_President
"0010001",1,39,0,0,0,1,4,0,1
"0010002",2,40,0,0,0,1,0,0,7
"0010003",3,19,0,0,0,0,1,0,0
"0010004",4,16,0,0,0,1,2,1,0
"0010005",5,2,0,0,0,0,0,0,0
"0010006",6,69,0,1,0,1,4,2,2
"0010007",7,57,1,0,0,2,7,0,1
"0010008",8,27,0,0,0,0,1,0,0
"0010009",9,34,1,0,0,1,1,0,1
"0010010",10,7,0,0,0,0,0,0,2
"0010011",11,27,0,3,0,0,3,0,1
"0010013",12,59,1,1,1,5,1,0,1
"0010015",13,7,0,0,0,0,1,0,2
"0010016",14,23,0,0,0,0,2,0,1
"0010017",15,17,0,0,0,0,3,0,2
"0010018",16,29,1,0,0,0,2,0,0
"0010019",17,41,2,0,0,0,1,1,0
"0010020",18,25,0,0,0,1,1,0,2
"0010021",19,14,0,0,0,0,1,0,0
"0010022",20,20,1,0,0,0,2,0,0
"0010023",21,10,0,0,0,0,0,0,1
"0010024",22,11,0,0,1,0,0,0,2
"0030001",23,18,2,0,0,4,1,0,1
"0030002",24,19,1,2,2,3,1,2,2
"0030003",25,21,1,0,2,2,0,1,1
"0030004",26,16,2,0,0,1,0,0,0
"0050001",27,9,0,0,0,1,0,0,0
"0050002",28,114,4,0,1,1,0,0,3
"0050003",29,28,0,0,0,2,0,1,0
"0050004",30,34,0,0,0,0,1,0,1
"0050005",31,37,2,0,0,1,2,0,4
"0050006",32,8,0,0,0,0,1,0,0
"0050007",33,14,0,0,0,0,3,0,1
"0050008",34,7,0,0,1,0,2,0,1
"0050009",35,7,0,1,1,0,1,1,1
"0050010A",36,39,0,0,1,0,3,0,1
"0050010B",37,5,0,0,0,0,0,0,0
"0050011",38,17,0,1,0,0,2,1,0
"0050012",39,11,0,0,1,1,0,0,1
"0050013",40,14,0,0,0,0,0,0,1
"0050014",41,65,0,1,2,0,4,2,2
"0050015",42,5,0,0,0,1,0,0,0
"0050016",43,45,0,0,5,5,3,2,4
"0050017",44,14,0,0,0,0,0,0,0
"0050018",45,24,0,1,0,0,0,0,1
"0050019",46,42,0,0,0,0,0,0,1
"0050020",47,148,2,0,3,1,5,2,5
"0050021",48,28,0,0,1,0,0,0,0
"0050022",49,8,0,0,0,0,2,0,0
"0050023",50,8,0,0,0,0,0,0,0
"0050024",51,31,0,1,0,0,2,0,2
"0050025",52,22,0,0,1,3,2,0,4
"0050026",53,18,0,0,0,0,0,0,2
"0050027",54,3,0,0,0,0,1,0,1
"0050028",55,16,0,0,0,0,0,0,0
"0050029",56,16,0,0,0,0,0,1,1
"0050030",57,6,0,0,0,0,1,0,1
"0050031",58,2,2,0,0,0,0,0,1
"0050032",59,2,0,0,0,0,0,0,0
"0050033",60,9,0,1,0,0,1,0,1
"0050034",61,36,0,0,0,0,2,1,2
"0050035",62,46,0,0,0,0,0,0,1
"0050037",63,8,0,1,0,0,0,0,0
"0050038",64,3,0,0,0,1,0,0,1
"0050039",65,11,0,0,1,0,0,0,0
"0050040",66,29,0,0,0,1,2,0,1
"005011B",67,16,0,0,0,0,1,0,1
"005017B",68,3,0,0,0,0,0,0,0
"0070001",69,54,0,0,1,0,2,0,1
"0070002",70,78,2,2,1,1,2,2,7
"0070003",71,133,2,0,0,2,5,1,6
"0070004",72,117,0,0,0,1,7,0,9
"007001A",73,18,0,0,0,0,0,0,1
"007004A",74,30,0,0,0,1,0,0,1
"0090001",75,8,0,0,0,0,0,0,0
"0090002",76,9,0,0,0,0,0,0,1
"0090003",77,1,0,0,0,0,0,0,0
"0090004",78,2,0,0,0,0,0,0,0
"0090005",79,2,0,0,0,0,0,0,0
"0090006",80,10,0,0,0,0,1,0,1
"0090007",81,1,0,0,0,0,1,0,1
"0090008",82,2,0,0,0,0,0,0,2
"0090009",83,4,0,0,0,0,0,0,0
"0090010",84,24,1,0,0,0,2,0,0
"0090011",85,0,0,0,0,0,0,0,0
"0090012",86,0,0,0,0,0,0,0,0
"0090013",87,2,0,1,0,0,0,2,0
"0110101",88,1,0,0,0,0,0,0,0
"0110201",89,0,0,0,0,1,0,0,1
"0110202",90,0,0,0,0,0,0,0,0
"0110301",91,3,0,0,0,0,0,0,0
