CNTYVTD,VTDKEY,BinkleyR_24P_President,HaleyR_24P_President,StuckenbergR_24P_President,TrumpR_24P_President,ChristieR_24P_President,RamaswamyR_24P_President,HutchinsonR_24P_President,DeSantisR_24P_President,UncommittedR_24P_President
0010001,1,1,58,0,319,1,2,1,13,17
0010002,2,1,52,0,848,2,2,0,5,19
0010003,3,0,49,0,376,4,1,0,3,5
0010004,4,0,47,0,529,0,0,0,5,9
0010005,5,0,12,1,116,0,0,0,0,3
0010006,6,2,21,1,160,1,1,2,2,5
0010007,7,0,14,0,39,0,3,1,2,7
0010008,8,0,10,1,39,0,0,0,0,3
0010009,9,0,29,0,347,0,1,1,3,9
0010010,10,0,17,0,134,0,0,0,1,2
0010011,11,0,35,0,338,1,4,1,5,10
0010013,12,0,64,0,327,1,1,0,7,16
0010015,13,1,50,0,320,0,1,0,6,14
0010016,14,0,30,0,305,0,0,0,4,9
0010017,15,0,23,0,230,1,3,0,4,7
0010018,16,0,54,1,536,0,0,0,5,9
0010019,17,0,45,0,402,1,1,1,4,10
0010020,18,0,59,0,260,1,2,0,4,9
0010021,19,1,54,0,475,3,0,0,3,16
0010022,20,1,44,1,337,1,0,1,8,6
0010023,21,1,51,1,412,0,1,1,7,6
0010024,22,0,25,0,238,0,0,0,6,2
0030001,23,0,21,0,422,0,3,0,8,9
0030002,24,1,77,0,545,4,10,1,16,14
0030003,25,0,52,0,452,3,6,1,11,14
0030004,26,0,19,1,252,2,1,0,3,8
0050001,27,0,21,0,58,0,0,0,2,4
0050002,28,1,7,0,77,0,0,2,0,5
0050003,29,0,47,0,354,3,1,0,1,7
0050004,30,0,10,0,135,0,0,1,2,6
0050005,31,0,24,0,185,1,2,3,3,6
0050006,32,0,13,0,126,0,0,0,0,1
0050007,33,2,52,0,328,1,1,1,4,11
0050008,34,0,61,0,387,3,1,1,8,3
0050009,35,0,18,0,56,2,0,0,1,3
0050010,36,0,9,1,126,0,1,0,3,6
0050010,37,0,1,0,18,0,0,0,0,0
0050011,38,0,45,2,620,2,0,1,3,5
0050012,39,0,21,0,188,0,1,0,4,4
0050013,40,0,17,0,75,1,0,0,3,2
0050014,41,0,61,1,294,5,2,1,8,15
0050015,42,0,19,0,150,0,1,2,3,4
0050016,43,0,31,0,236,3,0,1,5,6
0050017,44,0,27,0,480,2,1,1,1,3
0050018,45,1,36,0,115,0,0,0,5,5
0050019,46,0,117,0,233,1,2,1,7,16
0050020,47,0,11,0,53,0,0,1,1,2
0050021,48,0,17,0,170,2,1,0,0,4
0050022,49,0,23,1,310,1,1,1,1,6
0050023,50,1,28,0,134,2,1,1,3,1
0050024,51,0,48,0,358,0,0,1,3,8
0050025,52,0,31,0,494,4,2,2,7,10
0050026,53,0,45,0,474,4,1,0,2,13
0050027,54,0,9,0,102,0,0,1,0,2
0050028,55,0,32,0,320,0,1,0,6,3
0050029,56,0,24,1,356,0,1,2,3,3
0050030,57,0,21,0,269,1,0,0,4,1
0050031,58,1,7,0,80,0,0,0,0,4
0050032,59,0,0,0,42,0,0,0,1,0
0050033,60,0,19,0,336,1,1,0,3,3
0050034,61,1,130,0,399,4,2,2,10,14
0050035,62,1,61,0,350,2,6,0,11,9
0050037,63,0,12,0,111,0,0,1,1,2
0050038,64,0,5,0,102,0,1,0,0,1
0050039,65,0,21,0,75,1,1,1,1,2
0050040,66,0,20,0,136,2,0,1,3,2
005011,67,0,11,0,222,0,0,0,2,7
005017,68,1,3,0,71,0,0,0,2,0
0070001,69,0,75,0,523,1,3,0,8,11
0070002,70,1,98,0,605,3,6,1,12,22
0070003,71,1,270,0,1078,1,3,1,29,49
0070004,72,0,188,0,925,3,5,0,17,36
007001,73,0,16,0,225,0,0,0,4,3
007004,74,0,55,0,341,1,2,1,7,8
0090001,75,0,40,0,348,4,1,0,6,8
0090002,76,0,30,0,246,2,1,0,2,12
0090003,77,0,13,0,113,0,0,0,2,3
0090004,78,0,18,0,239,1,1,0,1,5
0090005,79,0,7,0,61,0,0,0,0,1
0090006,80,0,39,0,353,0,1,1,7,16
0090007,81,0,4,0,89,0,0,0,0,1
0090008,82,0,11,0,105,0,0,0,3,4
0090009,83,0,3,0,46,1,0,0,0,0
0090010,84,1,29,1,247,1,3,0,6,5
0090011,85,0,1,0,3,0,0,0,0,0
0090012,86,0,7,0,23,0,0,0,0,0
0090013,87,1,9,0,55,0,0,0,1,5
0110101,88,0,12,0,113,0,1,0,6,5
0110201,89,0,11,0,98,1,1,0,3,4
0110202,90,0,0,0,0,0,0,0,0,0
0110301,91,0,15,0,121,0,1,0,2,3
0110303,92,0,5,0,20,1,0,0,2,0
0110401,93,0,8,0,72,0,0,0,4,2
0110402,94,0,8,0,64,0,1,0,1,0
0110404,95,0,0,0,0,0,0,0,0,0
0130001,96,0,26,0,214,1,0,0,5,6
0130003,97,0,41,2,219,2,1,1,5,5
0130004,98,0,6,0,84,0,0,0,2,6
0130005,99,0,14,0,137,0,1,0,4,4
0130006,100,0,8,0,85,0,0,0,1,1
0130007,101,0,29,0,235,2,0,0,3,10
0130008,102,1,22,0,132,0,1,0,0,5
0130009,103,0,18,0,246,0,3,0,4,6
0130010,104,0,24,0,122,0,0,0,2,5
0130011,105,0,36,1,267,0,2,3,2,0
0130012,106,0,20,0,203,0,0,1,11,3
0130013,107,0,52,1,469,2,0,1,11,11
0130014,108,0,6,0,62,0,2,0,2,0
0130015,109,0,39,0,349,2,2,0,6,12
0130017,110,1,28,0,189,1,1,0,4,6
0130018,111,0,25,0,262,0,0,0,6,7
0130019,112,0,10,0,74,0,1,0,2,2
0130020,113,2,157,0,945,8,5,0,20,47
0130021,114,0,31,0,221,1,1,0,9,4
0130022,115,0,24,0,208,0,0,1,2,9
0150101,116,0,31,0,309,1,1,0,2,7
0150102,117,0,33,0,349,0,1,0,3,10
0150103,118,2,72,0,385,1,0,0,5,8
0150104,119,1,30,0,220,0,3,1,1,2
0150205,120,0,116,1,677,3,0,1,11,23
0150206,121,0,51,0,360,1,2,0,1,4
0150207,122,1,28,1,237,1,0,0,3,3
0150208,123,0,29,0,187,0,0,0,0,0
0150309,124,0,30,0,224,1,0,0,2,5
0150310,125,0,80,0,599,1,3,0,11,9
0150311,126,1,16,0,97,0,2,0,1,2
0150412,127,0,8,1,127,1,0,0,4,4
0150413,128,1,46,0,348,2,0,1,5,6
0150414,129,0,30,0,252,0,0,0,3,2
0150415,130,0,39,1,282,0,0,0,3,3
0170001,131,1,13,0,207,0,0,0,2,7
0170002,132,1,25,3,247,0,1,3,5,4
0170003,133,0,20,0,110,0,1,0,3,6
0170004,134,0,9,0,41,1,0,0,0,0
0170004,135,0,1,0,5,0,0,0,0,0
0190101,136,1,69,1,454,4,1,0,9,12
0190102,137,0,124,0,720,1,1,0,14,28
0190203,138,1,111,1,528,1,2,0,10,12
0190204,139,0,62,0,509,1,2,0,8,13
0190305,140,0,121,0,828,1,1,1,10,14
0190306,141,0,66,1,484,2,0,0,8,6
0190407,142,0,138,2,841,3,2,1,14,23
0190408,143,0,13,0,80,1,0,0,1,3
0190409,144,0,27,1,195,0,1,0,4,3
0190410,145,0,15,0,188,0,0,0,6,2
0211001,146,0,11,0,74,0,0,0,3,4
0211002,147,0,33,0,121,1,1,1,3,4
0211003,148,0,87,0,459,5,5,2,22,19
0211004,149,0,95,2,312,3,3,0,6,14
0211005,150,0,34,0,172,1,2,0,4,10
0211006,151,0,28,0,283,1,2,0,5,7
0211007,152,0,142,3,463,4,4,0,14,12
0211008,153,0,59,0,213,1,3,0,7,4
0211009,154,0,42,1,262,0,1,1,8,4
0212010,155,0,18,0,84,1,1,1,6,3
0212011,156,0,49,0,296,1,3,0,11,8
0212012,157,0,85,1,378,1,2,0,8,14
0212013,158,2,118,0,605,3,5,0,11,10
0212014,159,1,121,3,654,7,3,3,11,14
0212015,160,1,110,0,603,4,3,0,15,18
0212016,161,1,114,0,669,1,4,1,20,20
0213017,162,0,91,1,475,0,1,1,7,12
0213018,163,0,65,0,382,2,1,0,6,4
0213019,164,1,31,0,272,1,1,0,5,5
0213020,165,0,49,1,202,2,2,0,4,11
0214021,166,0,78,1,368,3,1,0,10,11
0214022,167,3,101,1,371,3,2,0,9,8
0214023,168,1,38,0,321,0,2,0,5,6
0214024,169,0,52,0,265,1,1,2,2,8
0214025,170,1,45,0,194,3,2,1,7,10
0214026,171,1,41,0,226,2,2,3,3,11
0230001,172,0,25,0,188,0,2,0,1,4
0230002,173,0,10,0,118,0,0,0,0,1
0230003,174,0,4,0,108,0,1,1,3,1
0230004,175,0,12,0,136,0,0,0,2,2
0250001,176,0,93,2,445,5,2,2,6,42
0250002,177,0,11,0,155,1,2,0,3,3
0250003,178,0,31,1,248,7,3,1,5,16
0250004,179,0,12,0,115,0,0,0,3,1
0250005,180,0,30,0,212,1,1,0,3,6
0250006,181,1,14,0,219,2,0,0,6,7
0250009,182,1,42,0,100,3,0,0,5,16
0250010,183,1,42,1,153,7,1,3,7,26
0250013,184,0,71,1,337,10,2,0,8,23
0250016,185,1,40,0,225,2,1,0,5,18
0250017,186,2,48,0,199,2,1,0,2,9
0250018,187,0,73,0,475,5,4,2,10,26
0250019,188,0,10,0,46,0,0,0,2,14
0270101,189,2,272,2,829,5,8,0,32,62
0270102,190,1,177,1,563,5,10,5,17,27
0270103,191,1,43,0,256,1,1,1,8,17
0270104,192,0,183,0,749,3,4,1,19,22
0270105,193,0,67,0,362,1,2,1,7,7
0270106,194,0,23,1,201,2,1,0,1,8
0270107,195,0,6,0,97,0,1,0,2,2
0270108,196,0,52,0,388,2,1,1,9,11
0270109,197,0,22,1,114,0,1,0,0,4
0270110,198,0,8,0,22,1,0,0,0,1
0270111,199,0,113,5,593,4,4,3,11,16
0270113,200,0,164,1,640,3,2,4,17,25
0270114,201,1,83,0,376,2,4,0,4,9
0270115,202,2,297,0,801,5,4,3,30,43
0270116,203,0,9,0,86,1,0,0,0,1
0270117,204,0,0,0,0,0,0,0,0,0
0270118,205,1,144,2,522,4,3,0,14,21
0270119,206,2,101,0,474,2,5,0,10,16
0270201,207,0,53,1,269,5,1,2,10,6
0270202,208,0,89,0,417,5,0,0,9,11
0270203,209,0,192,2,911,0,5,3,19,28
0270204,210,0,15,0,55,0,0,0,1,1
0270205,211,0,35,0,203,1,2,0,7,7
0270206,212,1,36,1,137,0,1,0,2,5
0270207,213,1,26,0,105,1,2,0,2,1
0270208,214,0,47,2,228,2,1,0,2,14
0270209,215,1,72,1,329,5,4,1,5,18
0270210,216,0,59,0,281,2,3,0,5,8
0270211,217,0,33,0,99,1,1,0,3,6
0270212,218,0,34,0,197,3,0,0,5,5
0270213,219,0,309,1,1123,16,6,2,35,39
0270214,220,0,72,0,376,1,0,2,4,10
0270215,221,0,60,1,291,2,0,1,6,11
0270216,222,1,99,1,349,1,2,2,4,13
0270301,223,4,126,0,851,2,3,1,11,29
0270302,224,0,151,2,550,5,7,3,18,35
0270303,225,3,156,1,552,8,5,0,23,34
0270304,226,0,13,0,79,0,1,0,3,0
0270305,227,0,116,2,381,7,4,1,10,21
0270306,228,1,32,0,214,0,0,1,6,7
0270307,229,1,30,1,118,3,0,0,1,9
0270308,230,1,113,0,485,6,3,1,9,20
0270309,231,0,44,1,319,2,0,0,5,9
0270310,232,0,21,2,165,0,1,0,2,2
0270311,233,2,141,1,772,1,4,2,6,21
0270312,234,0,74,1,437,1,3,1,8,5
0270313,235,2,305,2,840,7,6,3,37,35
0270314,236,0,59,1,290,7,4,0,9,17
0270315,237,0,143,2,562,2,6,0,13,29
0270317,238,0,154,2,360,4,1,0,11,14
0270318,239,4,182,1,755,3,13,2,24,34
0270319,240,2,177,2,515,6,4,0,24,28
0270401,241,0,59,2,291,3,4,0,4,3
0270402,242,0,69,2,306,4,0,0,6,10
0270404,243,0,11,1,124,0,0,1,1,4
0270405,244,1,23,1,121,1,1,0,0,1
0270406,245,1,41,1,162,2,2,1,2,9
0270408,246,0,46,1,207,1,1,0,4,4
0270409,247,0,40,1,203,0,1,0,2,16
0270410,248,0,9,2,77,0,2,0,1,2
0270412,249,0,29,0,102,1,1,0,2,4
0270413,250,0,20,1,156,2,1,0,1,7
0270414,251,0,12,2,84,2,1,0,1,5
0270415,252,1,16,0,129,2,1,0,3,3
0270419,253,0,25,0,216,1,0,0,1,4
0291001,254,0,14,0,9,0,0,0,0,0
0291002,255,0,10,0,32,0,0,0,0,0
0291003,256,0,25,0,41,1,0,0,0,1
0291004,257,0,3,0,17,0,0,0,0,1
0291005,258,0,3,0,27,0,0,0,0,0
0291006,259,0,5,0,60,0,0,0,1,0
