CNTYVTD,VTDKEY,BlewettR_24P_U.S. Rep 32,DayR_24P_U.S. Rep 32,FeriaR_24P_U.S. Rep 32,KhanR_24P_U.S. Rep 32
0850023,1656,26,40,4,20
0850026,1659,36,47,2,7
0850046,1679,73,86,23,16
0850048,1681,137,183,29,34
0850051,1684,41,60,6,6
0850052,1685,80,105,16,60
0850055,1688,106,111,27,19
0850068,1701,71,85,17,13
0850078,1711,112,191,34,31
0850094,1727,175,177,35,34
0850103,1736,37,40,5,1
0850110,1743,120,207,30,18
0850125,1758,158,235,24,46
0850152,1785,7,1,1,1
1131004,2031,110,71,9,9
1131039,2034,0,2,1,1
1131040,2035,81,59,18,14
1131041,2036,2,2,0,1
1131045,2039,12,7,1,1
1131046,2040,10,5,1,1
1131047,2041,37,24,9,10
1131048,2042,144,115,40,21
1131049,2043,115,62,18,10
1131050,2044,10,7,2,0
1131051,2045,12,11,0,0
1131052,2046,121,113,24,17
1131054,2047,25,23,8,6
1131055,2048,12,3,9,1
1131056,2049,26,30,10,5
1131057,2050,26,35,9,6
1131058,2051,47,50,18,8
1131059,2052,81,73,10,10
1131060,2053,240,113,68,34
1131061,2054,75,47,14,8
1131062,2055,0,1,0,0
1131063,2056,20,23,14,10
1131064,2057,4,1,0,0
1131065,2058,25,17,8,4
1131067,2059,0,1,0,0
1131068,2060,5,4,0,1
1131076,2061,0,0,0,0
1131077,2062,0,1,0,0
1131078,2063,7,3,1,1
1131079,2064,43,19,14,6
1131080,2065,3,5,5,2
1131081,2066,71,84,29,11
1131082,2067,0,0,3,1
1131084,2069,59,30,24,3
1131086,2071,6,2,0,0
1131087,2072,22,21,6,4
1131088,2073,8,13,7,2
1131089,2074,7,6,3,1
1131091,2076,17,14,7,0
1131092,2077,18,5,3,2
1131093,2078,5,1,9,0
1131097,2082,21,19,7,3
1131098,2083,8,10,7,4
1131099,2084,0,0,0,0
1131104,2089,11,7,5,1
1131105,2090,1,0,0,0
1131106,2091,4,2,0,0
1131107,2092,0,5,4,1
1131110,2095,0,0,0,0
1131114,2098,3,0,1,0
1131115,2099,30,16,8,7
1131116,2100,23,25,11,3
1131121,2101,27,26,7,7
1131125,2103,51,38,11,5
1131129,2105,0,0,0,0
1131133,2106,19,7,4,3
1131134,2107,1,5,1,1
1131135,2108,7,3,1,0
1131137,2110,1,0,0,0
1131151,2120,2,0,0,1
1131153,2121,0,0,0,0
1131159,2122,0,0,0,0
1131162,2123,0,0,0,0
1131163,2124,113,39,13,10
1131164,2125,208,97,21,19
1131165,2126,191,47,15,6
1131168,2127,221,113,20,21
1131169,2128,214,71,25,23
1131170,2129,59,54,13,4
1131171,2130,89,78,22,17
1131172,2131,84,78,25,12
1131173,2132,44,45,16,11
1131174,2133,142,92,23,21
1131176,2134,0,0,0,0
1131303,2138,0,0,0,0
