CNTYVTD,VTDKEY,CruzR_24P_U.S. Sen,GibsonR_24P_U.S. Sen,LopezR_24P_U.S. Sen
0010001,1,339,27,26
0010002,2,853,27,17
0010003,3,385,20,18
0010004,4,538,17,13
0010005,5,112,10,5
0010006,6,162,11,9
0010007,7,52,4,6
0010008,8,37,4,10
0010009,9,357,15,8
0010010,10,138,6,5
0010011,11,344,12,16
0010013,12,342,23,30
0010015,13,344,17,17
0010016,14,311,11,12
0010017,15,241,10,11
0010018,16,540,26,18
0010019,17,401,21,22
0010020,18,281,20,21
0010021,19,494,21,15
0010022,20,342,24,12
0010023,21,430,16,17
0010024,22,238,11,5
0030001,23,411,13,17
0030002,24,585,12,37
0030003,25,465,23,25
0030004,26,240,8,21
0050001,27,67,4,7
0050002,28,74,6,5
0050003,29,362,15,12
0050004,30,136,8,3
0050005,31,199,8,7
0050006,32,127,4,3
0050007,33,368,12,8
0050008,34,405,23,11
0050009,35,69,3,3
0050010,36,133,3,3
0050010,37,17,0,0
0050011,38,622,18,10
0050012,39,206,2,5
0050013,40,75,6,5
0050014,41,311,23,24
0050015,42,149,8,5
0050016,43,239,8,10
0050017,44,478,11,9
0050018,45,135,14,4
0050019,46,307,18,24
0050020,47,55,6,4
0050021,48,174,8,3
0050022,49,313,8,7
0050023,50,159,9,3
0050024,51,374,17,6
0050025,52,501,15,7
0050026,53,494,18,10
0050027,54,101,8,1
0050028,55,324,13,10
0050029,56,340,14,12
0050030,57,274,8,3
0050031,58,81,2,3
0050032,59,40,2,0
0050033,60,334,8,3
0050034,61,471,34,27
0050035,62,390,15,7
0050037,63,114,2,2
0050038,64,102,1,2
0050039,65,86,8,1
0050040,66,147,6,4
005011,67,221,8,1
005017,68,68,5,1
0070001,69,552,22,31
0070002,70,663,32,36
0070003,71,1234,79,82
0070004,72,1033,62,54
007001,73,237,6,5
007004,74,373,14,19
0090001,75,368,18,9
0090002,76,275,8,4
0090003,77,124,2,3
0090004,78,258,6,1
0090005,79,64,2,0
0090006,80,374,20,9
0090007,81,86,4,3
0090008,82,113,3,3
0090009,83,44,2,2
0090010,84,266,8,12
0090011,85,4,0,0
0090012,86,26,1,3
0090013,87,64,3,2
0110101,88,116,8,1
0110201,89,103,6,6
0110202,90,0,0,0
0110301,91,129,4,6
0110303,92,22,2,2
0110401,93,80,3,1
0110402,94,70,2,0
0110404,95,0,0,0
0130001,96,210,14,15
0130003,97,214,16,25
0130004,98,76,3,7
0130005,99,141,3,8
0130006,100,82,2,10
0130007,101,226,16,17
0130008,102,135,5,13
0130009,103,243,14,14
0130010,104,119,9,13
0130011,105,276,11,14
0130012,106,199,14,12
0130013,107,470,31,30
0130014,108,62,2,3
0130015,109,343,12,33
0130017,110,178,9,23
