CNTYVTD,VTDKEY,Voter_Registration,Turnout,Spanish_Surname_Voter_Registration,Spanish_Surname_Turnout
10001,1,1827,417,204,0.0423529411764706
10002,2,2762,933,110,0.0182795698924731
10003,3,1251,439,84,0.0158013544018059
10004,4,1643,592,61,0.0134907251264755
10005,5,293,133,6,0.0148148148148148
10006,6,1464,200,143,0.0422535211267606
10007,7,1295,72,256,0.123287671232877
10008,8,405,53,74,0.0909090909090909
10009,9,1452,394,85,0.0176767676767677
10010,10,585,154,48,0.0666666666666667
10011,11,1276,407,69,0.0246305418719212
10013,12,1815,419,216,0.0562347188264059
10015,13,920,393,47,0.0459183673469388
10016,14,971,351,56,0.028328611898017
10017,15,851,271,85,0.044280442804428
10018,16,2201,609,81,0.0097087378640776
10019,17,2296,467,241,0.0504201680672269
10020,18,1169,337,169,0.0385756676557863
10021,19,1945,555,157,0.024866785079929
10022,20,1056,401,60,0.0375
10023,21,1349,483,36,0.0183299389002037
10024,22,908,272,31,0.0223048327137546
30001,23,2549,464,1088,0.165217391304348
30002,24,2920,670,922,0.151197604790419
30003,25,2537,546,1105,0.177655677655678
30004,26,2434,287,1215,0.213559322033898
50001,27,562,86,179,0.0465116279069767
50002,28,2583,93,636,0.133333333333333
50003,29,2122,415,306,0.0383693045563549
50004,30,1587,154,254,0.0064516129032258
50005,31,1840,225,314,0.0497737556561086
50006,32,600,141,37,0.034965034965035
50007,33,1470,401,94,0.0246913580246914
50008,34,1379,465,51,0.0236051502145923
50009,35,292,81,18,0.0240963855421687
50010,36,1246,146,231,0.0410958904109589
50010,37,174,20,42,0.0
50011,38,2315,681,86,0.0161054172767204
50012,39,944,223,89,0.0225225225225225
50013,40,731,99,144,0.0618556701030928
50014,41,1997,391,234,0.0354430379746835
50015,42,754,182,173,0.104395604395604
50016,43,2239,285,890,0.164335664335664
50017,44,1841,518,38,0.0173076923076923
50018,45,789,165,61,0.0303030303030303
50019,46,1481,380,97,0.0155844155844156
50020,47,2694,68,610,0.0454545454545455
50021,48,1090,194,102,0.0357142857142857
50022,49,1187,344,59,0.023121387283237
50023,50,753,172,49,0.0114942528735632
50024,51,2867,420,415,0.0307328605200946
50025,52,2548,552,315,0.0363636363636364
50026,53,1727,541,105,0.0238532110091743
50027,54,372,115,22,0.043859649122807
50028,55,1285,362,185,0.0661157024793388
50029,56,1590,391,106,0.0179028132992327
50030,57,1171,297,28,0.03
50031,58,478,93,133,0.148936170212766
50032,59,119,43,2,0.0
50033,60,1430,366,34,0.0026954177897574
50034,61,2283,569,152,0.0231729055258467
50035,62,1861,442,141,0.027027027027027
50037,63,588,128,72,0.0076923076923076
50038,64,443,109,84,0.100917431192661
50039,65,527,103,61,0.058252427184466
50040,66,842,166,108,0.0542168674698795
5011,67,1293,243,57,0.0081632653061224
5017,68,461,77,7,0.0256410256410256
70001,69,2589,621,327,0.0814696485623003
70002,70,4088,759,1190,0.150918635170604
70003,71,4971,1440,516,0.0550964187327824
70004,72,4166,1180,387,0.0593220338983051
7001,73,2025,249,438,0.0796812749003984
7004,74,1277,417,99,0.052757793764988
90001,75,1448,407,45,0.0175438596491228
90002,76,893,293,26,0.0
90003,77,374,131,24,0.0077519379844961
90004,78,723,265,56,0.0
90005,79,199,69,6,0.0
90006,80,1137,417,40,0.0141843971631206
90007,81,221,94,8,0.0
90008,82,387,123,15,0.016260162601626
90009,83,181,50,4,0.0
90010,84,918,293,50,0.0269360269360269
90011,85,22,4,1,0.0
90012,86,96,30,10,0.0333333333333333
90013,87,180,71,8,0.028169014084507
110101,88,374,140,19,0.0074626865671641
110201,89,210,119,9,0.0263157894736842
110202,90,80,0,1,0.0
110301,91,287,142,7,0.015748031496063
110303,92,57,28,2,0.0
110401,93,182,89,5,0.0
110402,94,186,74,9,0.0
110404,95,29,0,0,0.0
130001,96,944,253,355,0.173913043478261
130003,97,1571,280,743,0.247272727272727
130004,98,1137,98,675,0.360824742268041
130005,99,1699,161,1122,0.348387096774194
130006,100,510,100,254,0.345238095238095
130007,101,2009,284,1205,0.398576512455516
130008,102,573,163,272,0.251572327044025
130009,103,2611,283,1592,0.302816901408451
130010,104,750,154,428,0.368421052631579
130011,105,1901,311,992,0.276527331189711
130012,106,1496,238,908,0.336134453781513
130013,107,2753,555,1215,0.213143872113677
130014,108,215,74,62,0.108108108108108
130015,109,2678,414,1622,0.320293398533007
130017,110,2092,233,1622,0.519480519480519
130018,111,1856,300,1114,0.260504201680672
130019,112,526,90,247,0.252747252747253
130020,113,3812,1195,1272,0.20534223706177
130021,114,1035,268,353,0.127340823970037
130022,115,794,245,275,0.180327868852459
150101,116,1446,356,156,0.03601108033241
150102,117,1488,401,177,0.0597014925373134
150103,118,1456,474,102,0.0383795309168444
150104,119,890,263,110,0.0306513409961686
150205,120,2814,840,210,0.0200945626477541
150206,121,1409,423,69,0.035377358490566
150207,122,763,276,54,0.0178571428571429
150208,123,673,218,35,0.0272727272727273
150309,124,680,263,61,0.0458015267175573
150310,125,2975,706,545,0.0623229461756374
150311,126,1150,120,406,0.116666666666667
150412,127,666,146,97,0.0335570469798658
150413,128,1509,410,256,0.0421836228287841
150414,129,1843,287,493,0.0804195804195804
150415,130,1575,328,365,0.0727272727272727
170001,131,902,230,398,0.12987012987013
170002,132,989,289,273,0.0680272108843537
170003,133,706,140,433,0.331081081081081
170004,134,446,51,342,0.183673469387755
