CNTYVTD,VTDKEY,BinkleyR_24P_President,HaleyR_24P_President,StuckenbergR_24P_President,TrumpR_24P_President,ChristieR_24P_President,RamaswamyR_24P_President,HutchinsonR_24P_President,DeSantisR_24P_President,UncommittedR_24P_President,BinkleyR_24P_President_Percentage,HaleyR_24P_President_Percentage,StuckenbergR_24P_President_Percentage,TrumpR_24P_President_Percentage,ChristieR_24P_President_Percentage,RamaswamyR_24P_President_Percentage,HutchinsonR_24P_President_Percentage,DeSantisR_24P_President_Percentage,UncommittedR_24P_President_Percentage
10001,1,1,58,0,319,1,2,1,13,17,0.0024271844660194173,0.1407766990291262,0.0,0.7742718446601942,0.0024271844660194173,0.0048543689320388345,0.0024271844660194173,0.03155339805825243,0.0412621359223301
10002,2,1,52,0,848,2,2,0,5,19,0.001076426264800861,0.05597416576964478,0.0,0.9128094725511302,0.002152852529601722,0.002152852529601722,0.0,0.005382131324004306,0.02045209903121636
10003,3,0,49,0,376,4,1,0,3,5,0.0,0.11187214611872145,0.0,0.8584474885844748,0.0091324200913242,0.00228310502283105,0.0,0.00684931506849315,0.01141552511415525
10004,4,0,47,0,529,0,0,0,5,9,0.0,0.07966101694915254,0.0,0.8966101694915254,0.0,0.0,0.0,0.00847457627118644,0.015254237288135594
10005,5,0,12,1,116,0,0,0,0,3,0.0,0.09090909090909091,0.007575757575757576,0.8787878787878788,0.0,0.0,0.0,0.0,0.022727272727272728
10006,6,2,21,1,160,1,1,2,2,5,0.010256410256410256,0.1076923076923077,0.005128205128205128,0.8205128205128205,0.005128205128205128,0.005128205128205128,0.010256410256410256,0.010256410256410256,0.02564102564102564
10007,7,0,14,0,39,0,3,1,2,7,0.0,0.21212121212121213,0.0,0.5909090909090909,0.0,0.045454545454545456,0.015151515151515152,0.030303030303030304,0.10606060606060606
10008,8,0,10,1,39,0,0,0,0,3,0.0,0.18867924528301888,0.018867924528301886,0.7358490566037735,0.0,0.0,0.0,0.0,0.05660377358490566
10009,9,0,29,0,347,0,1,1,3,9,0.0,0.07435897435897436,0.0,0.8897435897435897,0.0,0.002564102564102564,0.002564102564102564,0.007692307692307693,0.023076923076923078
10010,10,0,17,0,134,0,0,0,1,2,0.0,0.11038961038961038,0.0,0.8701298701298701,0.0,0.0,0.0,0.006493506493506494,0.012987012987012988
10011,11,0,35,0,338,1,4,1,5,10,0.0,0.08883248730964467,0.0,0.8578680203045685,0.0025380710659898475,0.01015228426395939,0.0025380710659898475,0.012690355329949238,0.025380710659898477
10013,12,0,64,0,327,1,1,0,7,16,0.0,0.15384615384615385,0.0,0.7860576923076923,0.002403846153846154,0.002403846153846154,0.0,0.016826923076923076,0.038461538461538464
10015,13,1,50,0,320,0,1,0,6,14,0.002551020408163265,0.12755102040816327,0.0,0.8163265306122449,0.0,0.002551020408163265,0.0,0.015306122448979591,0.03571428571428571
10016,14,0,30,0,305,0,0,0,4,9,0.0,0.08620689655172414,0.0,0.8764367816091954,0.0,0.0,0.0,0.011494252873563218,0.02586206896551724
10017,15,0,23,0,230,1,3,0,4,7,0.0,0.08582089552238806,0.0,0.8582089552238806,0.0037313432835820895,0.011194029850746268,0.0,0.014925373134328358,0.026119402985074626
10018,16,0,54,1,536,0,0,0,5,9,0.0,0.08925619834710743,0.001652892561983471,0.8859504132231405,0.0,0.0,0.0,0.008264462809917356,0.01487603305785124
10019,17,0,45,0,402,1,1,1,4,10,0.0,0.09698275862068965,0.0,0.8663793103448276,0.0021551724137931034,0.0021551724137931034,0.0021551724137931034,0.008620689655172414,0.021551724137931036
10020,18,0,59,0,260,1,2,0,4,9,0.0,0.1761194029850746,0.0,0.7761194029850746,0.0029850746268656717,0.005970149253731343,0.0,0.011940298507462687,0.026865671641791045
10021,19,1,54,0,475,3,0,0,3,16,0.0018115942028985507,0.09782608695652174,0.0,0.8605072463768116,0.005434782608695652,0.0,0.0,0.005434782608695652,0.028985507246376812
10022,20,1,44,1,337,1,0,1,8,6,0.002506265664160401,0.11027568922305764,0.002506265664160401,0.8446115288220551,0.002506265664160401,0.0,0.002506265664160401,0.020050125313283207,0.015037593984962405
10023,21,1,51,1,412,0,1,1,7,6,0.0020833333333333333,0.10625,0.0020833333333333333,0.8583333333333333,0.0,0.0020833333333333333,0.0020833333333333333,0.014583333333333334,0.0125
10024,22,0,25,0,238,0,0,0,6,2,0.0,0.09225092250922509,0.0,0.8782287822878229,0.0,0.0,0.0,0.02214022140221402,0.007380073800738007
30001,23,0,21,0,422,0,3,0,8,9,0.0,0.04535637149028078,0.0,0.9114470842332614,0.0,0.0064794816414686825,0.0,0.017278617710583154,0.019438444924406047
30002,24,1,77,0,545,4,10,1,16,14,0.0014970059880239522,0.11526946107784432,0.0,0.8158682634730539,0.005988023952095809,0.014970059880239521,0.0014970059880239522,0.023952095808383235,0.020958083832335328
30003,25,0,52,0,452,3,6,1,11,14,0.0,0.09647495361781076,0.0,0.8385899814471243,0.0055658627087198514,0.011131725417439703,0.0018552875695732839,0.02040816326530612,0.025974025974025976
30004,26,0,19,1,252,2,1,0,3,8,0.0,0.06643356643356643,0.0034965034965034965,0.8811188811188811,0.006993006993006993,0.0034965034965034965,0.0,0.01048951048951049,0.027972027972027972
50001,27,0,21,0,58,0,0,0,2,4,0.0,0.24705882352941178,0.0,0.6823529411764706,0.0,0.0,0.0,0.023529411764705882,0.047058823529411764
50002,28,1,7,0,77,0,0,2,0,5,0.010869565217391304,0.07608695652173914,0.0,0.8369565217391305,0.0,0.0,0.021739130434782608,0.0,0.05434782608695652
50003,29,0,47,0,354,3,1,0,1,7,0.0,0.11380145278450363,0.0,0.8571428571428571,0.007263922518159807,0.002421307506053269,0.0,0.002421307506053269,0.01694915254237288
50004,30,0,10,0,135,0,0,1,2,6,0.0,0.06493506493506493,0.0,0.8766233766233766,0.0,0.0,0.006493506493506494,0.012987012987012988,0.03896103896103896
50005,31,0,24,0,185,1,2,3,3,6,0.0,0.10714285714285714,0.0,0.8258928571428571,0.004464285714285714,0.008928571428571428,0.013392857142857142,0.013392857142857142,0.026785714285714284
50006,32,0,13,0,126,0,0,0,0,1,0.0,0.09285714285714286,0.0,0.9,0.0,0.0,0.0,0.0,0.007142857142857143
50007,33,2,52,0,328,1,1,1,4,11,0.005,0.13,0.0,0.82,0.0025,0.0025,0.0025,0.01,0.0275
50008,34,0,61,0,387,3,1,1,8,3,0.0,0.1314655172413793,0.0,0.834051724137931,0.00646551724137931,0.0021551724137931034,0.0021551724137931034,0.017241379310344827,0.00646551724137931
50009,35,0,18,0,56,2,0,0,1,3,0.0,0.225,0.0,0.7,0.025,0.0,0.0,0.0125,0.0375
50010,36,0,9,1,126,0,1,0,3,6,0.0,0.06164383561643835,0.00684931506849315,0.863013698630137,0.0,0.00684931506849315,0.0,0.02054794520547945,0.0410958904109589
