CNTYVTD,VTDKEY,AbelR_24P_U.S. Rep 31,AndersonR_24P_U.S. Rep 31,CarterR_24P_U.S. Rep 31,GarapatiR_24P_U.S. Rep 31,LatimerR_24P_U.S. Rep 31,WilliamsR_24P_U.S. Rep 31,AbelR_24P_U.S. Rep 31_Percentage,AndersonR_24P_U.S. Rep 31_Percentage,CarterR_24P_U.S. Rep 31_Percentage,GarapatiR_24P_U.S. Rep 31_Percentage,LatimerR_24P_U.S. Rep 31_Percentage,WilliamsR_24P_U.S. Rep 31_Percentage
270101,189,42,27,709,56,156,100,0.03853211009174312,0.024770642201834864,0.6504587155963303,0.05137614678899083,0.14311926605504588,0.09174311926605505
270102,190,40,26,501,34,74,60,0.05442176870748299,0.03537414965986395,0.6816326530612244,0.04625850340136054,0.10068027210884353,0.08163265306122448
270103,191,11,10,198,10,30,36,0.03728813559322034,0.03389830508474576,0.6711864406779661,0.03389830508474576,0.1016949152542373,0.12203389830508475
270104,192,57,37,581,40,103,90,0.06277533039647577,0.040748898678414094,0.6398678414096917,0.04405286343612335,0.11343612334801761,0.09911894273127753
270105,193,15,9,265,12,69,50,0.03571428571428571,0.02142857142857143,0.6309523809523809,0.02857142857142857,0.16428571428571428,0.11904761904761904
270107,195,8,2,63,4,13,16,0.07547169811320754,0.018867924528301886,0.5943396226415094,0.03773584905660377,0.12264150943396226,0.1509433962264151
270108,196,29,12,324,7,23,45,0.0659090909090909,0.02727272727272727,0.7363636363636363,0.015909090909090907,0.05227272727272727,0.10227272727272728
270110,198,3,1,18,4,1,2,0.10344827586206896,0.034482758620689655,0.6206896551724138,0.13793103448275862,0.034482758620689655,0.06896551724137931
270111,199,35,16,489,27,68,52,0.050946142649199416,0.023289665211062592,0.7117903930131004,0.039301310043668124,0.09898107714701601,0.07569141193595343
270113,200,57,31,527,22,85,78,0.07125,0.03875,0.65875,0.0275,0.10625,0.0975
270114,201,27,13,308,9,44,42,0.060948081264108354,0.029345372460496615,0.6952595936794582,0.020316027088036117,0.09932279909706546,0.09480812641083522
270115,202,75,44,682,54,136,97,0.06893382352941177,0.04044117647058824,0.6268382352941176,0.04963235294117647,0.125,0.08915441176470588
270118,205,35,17,409,32,98,68,0.05311077389984825,0.025796661608497723,0.6206373292867982,0.048558421851289835,0.14871016691957512,0.10318664643399089
270119,206,25,21,384,23,63,45,0.044563279857397504,0.0374331550802139,0.6844919786096256,0.040998217468805706,0.11229946524064172,0.08021390374331551
270201,207,12,14,233,4,33,30,0.03680981595092025,0.04294478527607362,0.7147239263803681,0.012269938650306749,0.10122699386503067,0.09202453987730061
270202,208,23,15,359,16,46,35,0.0465587044534413,0.030364372469635626,0.7267206477732794,0.032388663967611336,0.0931174089068826,0.0708502024291498
270203,209,53,25,774,27,108,92,0.04911955514365153,0.023169601482854494,0.7173308619091752,0.025023169601482854,0.10009267840593142,0.08526413345690455
270212,218,9,12,165,4,21,18,0.039301310043668124,0.05240174672489083,0.7205240174672489,0.017467248908296942,0.09170305676855896,0.07860262008733625
270213,219,53,41,983,47,159,131,0.03748231966053748,0.028995756718528994,0.6951909476661952,0.03323903818953324,0.11244695898161244,0.09264497878359264
270216,222,17,16,300,14,63,36,0.03811659192825112,0.03587443946188341,0.672645739910314,0.03139013452914798,0.1412556053811659,0.08071748878923767
270301,223,31,27,667,26,92,94,0.033084311632870865,0.0288153681963714,0.7118463180362861,0.02774813233724653,0.09818569903948772,0.10032017075773746
