CNTYVTD,VTDKEY,BlewettR_24P_U.S. Rep 32,DayR_24P_U.S. Rep 32,FeriaR_24P_U.S. Rep 32,KhanR_24P_U.S. Rep 32,BlewettR_24P_U.S. Rep 32_Percentage,DayR_24P_U.S. Rep 32_Percentage,FeriaR_24P_U.S. Rep 32_Percentage,KhanR_24P_U.S. Rep 32_Percentage
850023,1656,26,40,4,20,0.28888888888888886,0.4444444444444444,0.044444444444444446,0.2222222222222222
850026,1659,36,47,2,7,0.391304347826087,0.5108695652173914,0.021739130434782608,0.07608695652173914
850046,1679,73,86,23,16,0.3686868686868687,0.43434343434343436,0.11616161616161616,0.08080808080808081
850048,1681,137,183,29,34,0.3577023498694517,0.47780678851174935,0.07571801566579635,0.08877284595300261
850051,1684,41,60,6,6,0.36283185840707965,0.5309734513274337,0.05309734513274336,0.05309734513274336
850052,1685,80,105,16,60,0.3065134099616858,0.40229885057471265,0.06130268199233716,0.22988505747126436
850055,1688,106,111,27,19,0.40304182509505704,0.4220532319391635,0.10266159695817491,0.07224334600760456
850068,1701,71,85,17,13,0.3817204301075269,0.45698924731182794,0.0913978494623656,0.06989247311827956
850078,1711,112,191,34,31,0.30434782608695654,0.5190217391304348,0.09239130434782608,0.08423913043478261
850094,1727,175,177,35,34,0.4156769596199525,0.42042755344418054,0.0831353919239905,0.08076009501187649
850103,1736,37,40,5,1,0.4457831325301205,0.4819277108433735,0.060240963855421686,0.012048192771084338
850110,1743,120,207,30,18,0.32,0.552,0.08,0.048
850125,1758,158,235,24,46,0.3412526997840173,0.5075593952483801,0.05183585313174946,0.09935205183585313
850152,1785,7,1,1,1,0.7,0.1,0.1,0.1
1131004,2031,110,71,9,9,0.5527638190954773,0.35678391959798994,0.04522613065326633,0.04522613065326633
1131039,2034,0,2,1,1,0.0,0.5,0.25,0.25
1131040,2035,81,59,18,14,0.47093023255813954,0.3430232558139535,0.10465116279069768,0.08139534883720931
1131041,2036,2,2,0,1,0.4,0.4,0.0,0.2
1131045,2039,12,7,1,1,0.5714285714285714,0.3333333333333333,0.047619047619047616,0.047619047619047616
1131046,2040,10,5,1,1,0.5882352941176471,0.29411764705882354,0.058823529411764705,0.058823529411764705
1131047,2041,37,24,9,10,0.4625,0.3,0.1125,0.125
1131048,2042,144,115,40,21,0.45,0.359375,0.125,0.065625
1131049,2043,115,62,18,10,0.5609756097560976,0.3024390243902439,0.08780487804878048,0.04878048780487805
1131050,2044,10,7,2,0,0.5263157894736842,0.3684210526315789,0.10526315789473684,0.0
1131051,2045,12,11,0,0,0.5217391304347826,0.4782608695652174,0.0,0.0
1131052,2046,121,113,24,17,0.44,0.4109090909090909,0.08727272727272728,0.06181818181818182
1131054,2047,25,23,8,6,0.4032258064516129,0.3709677419354839,0.12903225806451613,0.0967741935483871
1131055,2048,12,3,9,1,0.48,0.12,0.36,0.04
1131056,2049,26,30,10,5,0.36619718309859156,0.4225352112676056,0.14084507042253522,0.07042253521126761
1131057,2050,26,35,9,6,0.34210526315789475,0.4605263157894737,0.11842105263157894,0.07894736842105263
1131058,2051,47,50,18,8,0.3821138211382114,0.4065040650406504,0.14634146341463414,0.06504065040650407
1131059,2052,81,73,10,10,0.46551724137931033,0.41954022988505746,0.05747126436781609,0.05747126436781609
1131060,2053,240,113,68,34,0.5274725274725275,0.24835164835164836,0.14945054945054945,0.07472527472527472
1131061,2054,75,47,14,8,0.5208333333333334,0.3263888888888889,0.09722222222222222,0.05555555555555555
1131062,2055,0,1,0,0,0.0,1.0,0.0,0.0
1131063,2056,20,23,14,10,0.29850746268656714,0.34328358208955223,0.208955223880597,0.14925373134328357
1131064,2057,4,1,0,0,0.8,0.2,0.0,0.0
1131065,2058,25,17,8,4,0.46296296296296297,0.3148148148148148,0.14814814814814814,0.07407407407407407
1131067,2059,0,1,0,0,0.0,1.0,0.0,0.0
1131068,2060,5,4,0,1,0.5,0.4,0.0,0.1
1131076,2061,0,0,0,0,0.0,0.0,0.0,0.0
1131077,2062,0,1,0,0,0.0,1.0,0.0,0.0
1131078,2063,7,3,1,1,0.5833333333333334,0.25,0.08333333333333333,0.08333333333333333
1131079,2064,43,19,14,6,0.524390243902439,0.23170731707317074,0.17073170731707318,0.07317073170731707
1131080,2065,3,5,5,2,0.2,0.3333333333333333,0.3333333333333333,0.13333333333333333
1131081,2066,71,84,29,11,0.3641025641025641,0.4307692307692308,0.14871794871794872,0.05641025641025641
1131082,2067,0,0,3,1,0.0,0.0,0.75,0.25
1131084,2069,59,30,24,3,0.5086206896551724,0.25862068965517243,0.20689655172413793,0.02586206896551724
1131086,2071,6,2,0,0,0.75,0.25,0.0,0.0
1131087,2072,22,21,6,4,0.41509433962264153,0.39622641509433965,0.11320754716981132,0.07547169811320754
1131088,2073,8,13,7,2,0.26666666666666666,0.43333333333333335,0.23333333333333334,0.06666666666666667
1131089,2074,7,6,3,1,0.4117647058823529,0.35294117647058826,0.17647058823529413,0.058823529411764705
1131091,2076,17,14,7,0,0.4473684210526316,0.3684210526315789,0.18421052631578946,0.0
1131092,2077,18,5,3,2,0.6428571428571429,0.17857142857142858,0.10714285714285714,0.07142857142857142
1131093,2078,5,1,9,0,0.3333333333333333,0.06666666666666667,0.6,0.0
1131097,2082,21,19,7,3,0.42,0.38,0.14,0.06
1131098,2083,8,10,7,4,0.27586206896551724,0.3448275862068966,0.2413793103448276,0.13793103448275862
1131099,2084,0,0,0,0,0.0,0.0,0.0,0.0
1131104,2089,11,7,5,1,0.4583333333333333,0.2916666666666667,0.20833333333333334,0.041666666666666664
1131105,2090,1,0,0,0,1.0,0.0,0.0,0.0
1131106,2091,4,2,0,0,0.6666666666666666,0.3333333333333333,0.0,0.0
1131107,2092,0,5,4,1,0.0,0.5,0.4,0.1
1131110,2095,0,0,0,0,0.0,0.0,0.0,0.0
1131114,2098,3,0,1,0,0.75,0.0,0.25,0.0
1131115,2099,30,16,8,7,0.4918032786885246,0.26229508196721313,0.13114754098360656,0.11475409836065574
1131116,2100,23,25,11,3,0.3709677419354839,0.4032258064516129,0.1774193548387097,0.04838709677419355
1131121,2101,27,26,7,7,0.40298507462686567,0.3880597014925373,0.1044776119402985,0.1044776119402985
1131125,2103,51,38,11,5,0.4857142857142857,0.3619047619047619,0.10476190476190476,0.047619047619047616
1131129,2105,0,0,0,0,0.0,0.0,0.0,0.0
1131133,2106,19,7,4,3,0.5757575757575758,0.21212121212121213,0.12121212121212122,0.09090909090909091
1131134,2107,1,5,1,1,0.125,0.625,0.125,0.125
1131135,2108,7,3,1,0,0.6363636363636364,0.2727272727272727,0.09090909090909091,0.0
1131137,2110,1,0,0,0,1.0,0.0,0.0,0.0
1131151,2120,2,0,0,1,0.6666666666666666,0.0,0.0,0.3333333333333333
1131153,2121,0,0,0,0,0.0,0.0,0.0,0.0
1131159,2122,0,0,0,0,0.0,0.0,0.0,0.0
1131162,2123,0,0,0,0,0.0,0.0,0.0,0.0
1131163,2124,113,39,13,10,0.6457142857142857,0.22285714285714286,0.07428571428571429,0.05714285714285714
1131164,2125,208,97,21,19,0.6028985507246377,0.2811594202898551,0.06086956521739131,0.05507246376811594
