CNTY,Total
1,57922
3,18610
5,86395
7,23830
9,8560
11,1848
13,48981
15,30167
17,6904
19,20851
21,97216
23,3465
25,31047
27,370647
29,2009324
31,11374
33,631
35,18235
37,92893
39,372031
41,233849
43,9546
45,1435
47,7076
49,38095
51,17642
53,49130
55,45883
57,20106
59,13708
61,421017
63,12464
65,5807
67,28454
69,7371
71,46571
73,50412
75,6664
77,10218
79,2547
81,3285
83,7684
85,1064465
87,2652
89,20557
91,161501
93,13594
95,3303
97,41668
99,83093
101,1380
103,4675
105,3098
107,5133
109,2188
111,7115
113,2613539
115,12456
117,18583
119,5230
121,906422
123,19824
125,1770
127,8615
129,3258
131,9831
133,17725
135,165171
137,1422
139,192455
141,865657
143,42545
145,16968
147,35662
149,24435
151,3672
153,5402
155,1095
157,822779
159,10359
161,19435
163,18385
165,21598
167,350682
169,5816
171,26725
173,1116
175,7012
177,19653
179,21227
181,135543
183,124239
185,29268
187,172706
189,32522
191,2825
193,8222
195,5285
197,3549
199,56231
201,4731145
203,68839
205,5382
207,5416
209,241067
211,3382
213,82150
215,870781
217,35874
219,21537
221,61598
223,36787
225,22066
227,34860
229,3202
231,99956
233,20617
235,1513
237,8472
239,14988
241,32980
243,1996
245,256526
247,4838
249,38891
251,179927
253,19663
255,14710
257,145310
259,44279
261,350
263,753
265,52598
267,4286
269,265
271,3129
273,31040
275,3353
277,50088
279,13045
281,21627
283,6664
285,20337
287,17478
289,15719
291,91628
293,22146
295,3059
297,11335
299,21243
301,64
303,310639
305,5596
307,7630
309,260579
311,600
313,13455
315,9725
317,5237
319,3953
321,36255
323,57887
325,50748
327,1962
329,169983
331,24754
333,4456
335,8990
337,19965
339,620443
341,21358
343,11973
345,1063
347,64653
349,52624
351,12217
353,14738
355,353178
357,10015
359,1758
361,84808
363,28409
365,22491
367,148222
369,9869
371,15193
373,50123
375,118525
377,6131
379,12164
381,140753
383,3385
385,2758
387,11587
389,14748
391,6741
393,827
395,16757
397,107819
399,9900
401,52214
403,9894
405,7918
407,27402
409,68755
411,5730
413,2451
415,16932
417,3105
419,24022
421,2782
423,233479
425,9205
427,65920
429,9101
431,1372
433,1245
435,3372
437,6971
439,2110640
441,143208
443,760
445,11831
447,1440
449,31247
451,120003
453,1290188
455,13602
457,19798
459,40892
461,3308
463,24564
465,47586
467,59541
469,91319
471,76400
473,56794
475,11644
477,35805
479,267114
481,41570
483,4990
485,129350
487,12887
489,20164
491,609017
493,49753
495,7791
497,68632
499,44843
501,7694
503,17867
505,13889
507,9670
